age,BRS07 Sr/Ca [mmol/mol],BRS05 Sr/Ca [mmol/mol],BRS composite [mmol/mol],"BRS07 Sr/Ca SST [°C]
(WLS 1982-2011 calib. period)","BRS07 Sr/Ca SST [°C]
(WLS 1961-2011 calib. period)","BRS05 Sr/Ca SST [°C]
(WLS 1982-2011 calib. period)","BRS composite [°C]
(WLS 1982-2011 calib. period)",year,month
2011.583,8.94,9.061,9.001,26.23,26.51,26.34,26.23,2011,August
2011.5,8.934,9.019,8.976,26.36,26.64,27.19,26.76,2011,July
2011.417,8.901,8.995,8.948,27.1,27.41,27.68,27.39,2011,June
2011.333,8.868,8.973,8.92,27.82,28.16,28.13,27.99,2011,May
2011.25,8.836,8.988,8.912,28.52,28.89,27.82,28.17,2011,April
2011.167,8.876,9.03,8.953,27.64,27.97,26.97,27.27,2011,March
2011.083,8.854,9.016,8.935,28.13,28.48,27.25,27.67,2011,February
2011,8.801,8.945,8.873,29.3,29.69,28.69,29.03,2011,January
2010.917,8.747,8.889,8.818,30.49,30.93,29.83,30.24,2010,December
2010.833,8.783,8.91,8.846,29.7,30.11,29.4,29.62,2010,November
2010.75,8.8,8.948,8.874,29.31,29.71,28.63,29,2010,October
2010.667,8.806,8.991,8.899,29.18,29.57,27.76,28.47,2010,September
2010.583,8.853,9.021,8.937,28.15,28.51,27.15,27.63,2010,August
2010.5,8.881,9.051,8.966,27.53,27.86,26.54,26.99,2010,July
2010.417,8.859,8.973,8.916,28.02,28.36,28.12,28.08,2010,June
2010.333,8.817,8.913,8.865,28.94,29.33,29.35,29.21,2010,May
2010.25,8.765,8.841,8.803,30.1,30.53,30.8,30.57,2010,April
2010.167,8.744,8.899,8.822,30.55,31,29.63,30.16,2010,March
2010.083,8.777,8.939,8.858,29.83,30.25,28.82,29.36,2010,February
2010,8.806,8.96,8.883,29.19,29.58,28.39,28.81,2010,January
2009.917,8.78,8.952,8.866,29.75,30.17,28.55,29.18,2009,December
2009.833,8.759,8.933,8.846,30.22,30.66,28.94,29.62,2009,November
2009.75,8.834,8.952,8.893,28.57,28.94,28.55,28.59,2009,October
2009.667,8.875,8.988,8.931,27.66,28,27.82,27.75,2009,September
2009.583,8.896,8.991,8.943,27.2,27.52,27.76,27.48,2009,August
2009.5,8.849,8.992,8.921,28.24,28.6,27.73,27.98,2009,July
2009.417,8.801,8.969,8.885,29.3,29.69,28.21,28.77,2009,June
2009.333,8.762,8.939,8.85,30.16,30.59,28.82,29.53,2009,May
2009.25,8.741,8.912,8.827,30.62,31.07,29.36,30.05,2009,April
2009.167,8.77,8.933,8.851,29.98,30.41,28.95,29.51,2009,March
2009.083,8.796,8.953,8.874,29.41,29.81,28.53,29,2009,February
2009,8.794,8.928,8.861,29.45,29.86,29.04,29.29,2009,January
2008.917,8.756,8.915,8.836,30.29,30.73,29.3,29.85,2008,December
2008.833,8.786,8.916,8.851,29.63,30.04,29.28,29.51,2008,November
2008.75,8.839,8.954,8.897,28.46,28.82,28.51,28.51,2008,October
2008.667,8.892,9.005,8.949,27.29,27.61,27.47,27.37,2008,September
2008.583,8.937,9.059,8.998,26.29,26.58,26.38,26.28,2008,August
2008.5,8.935,9.029,8.982,26.34,26.62,26.99,26.64,2008,July
2008.417,8.866,8.943,8.904,27.86,28.2,28.73,28.34,2008,June
2008.333,8.791,8.94,8.866,29.51,29.92,28.8,29.19,2008,May
2008.25,8.732,8.875,8.804,30.82,31.28,30.11,30.56,2008,April
