year,month,day,mean temperature kelvin,mean temperature deg C,mean temperature uncertainty,fraction of sea-ice-covered ocean,Lat,Lon
1981,9,1,296.06,[[22.90999756]],0.43,0,-21.836,114.178
1981,9,2,296.17999,[[23.02999268]],0.49,0,-21.836,114.178
1981,9,3,296.20999,[[23.05999146]],0.55,0,-21.836,114.178
1981,9,4,296.03998,[[22.88997803]],0.58,0,-21.836,114.178
1981,9,5,296.09,[[22.93999634]],0.52,0,-21.836,114.178
1981,9,6,296.29999,[[23.14998779]],0.45,0,-21.836,114.178
1981,9,7,296.34,[[23.18999634]],0.42,0,-21.836,114.178
1981,9,8,296.38998,[[23.23998413]],0.39,0,-21.836,114.178
1981,9,9,296.38,[[23.23000488]],0.37,0,-21.836,114.178
1981,9,10,296.23999,[[23.08999023]],0.36,0,-21.836,114.178
1981,9,11,296.07999,[[22.92998657]],0.39,0,-21.836,114.178
1981,9,12,296.03998,[[22.88997803]],0.45,0,-21.836,114.178
1981,9,13,296.35999,[[23.20998535]],0.49,0,-21.836,114.178
1981,9,14,296.44998,[[23.29998169]],0.45,0,-21.836,114.178
1981,9,15,296.57999,[[23.42998657]],0.39,0,-21.836,114.178
1981,9,16,296.63998,[[23.48998413]],0.34,0,-21.836,114.178
1981,9,17,296.62,[[23.46999512]],0.33,0,-21.836,114.178
1981,9,18,296.60999,[[23.45998535]],0.34,0,-21.836,114.178
1981,9,19,296.62,[[23.46999512]],0.39,0,-21.836,114.178
1981,9,20,296.57001,[[23.42000732]],0.44,0,-21.836,114.178
1981,9,21,296.5,[[23.35]],0.6,0,-21.836,114.178
1981,9,22,296.48999,[[23.33999023]],0.61,0,-21.836,114.178
1981,9,23,296.28,[[23.12999878]],0.45,0,-21.836,114.178
1981,9,24,296.10999,[[22.95998535]],0.39,0,-21.836,114.178
1981,9,25,295.84,[[22.68999634]],0.34,0,-21.836,114.178
1981,9,26,295.63998,[[22.48998413]],0.33,0,-21.836,114.178
1981,9,27,295.69,[[22.54000244]],0.34,0,-21.836,114.178
1981,9,28,295.87,[[22.71999512]],0.36,0,-21.836,114.178
1981,9,29,295.84,[[22.68999634]],0.4,0,-21.836,114.178
1981,9,30,295.59,[[22.43999634]],0.46,0,-21.836,114.178
1981,10,1,295.63998,[[22.48998413]],0.46,0,-21.836,114.178
1981,10,2,295.94998,[[22.79998169]],0.38,0,-21.836,114.178
1981,10,3,296.07001,[[22.92000732]],0.36,0,-21.836,114.178
1981,10,4,296.10999,[[22.95998535]],0.39,0,-21.836,114.178
1981,10,5,296.17999,[[23.02999268]],0.5,0,-21.836,114.178
1981,10,6,296.39999,[[23.2499939]],0.46,0,-21.836,114.178
1981,10,7,296.51999,[[23.36998901]],0.47,0,-21.836,114.178
1981,10,8,296.47,[[23.32000122]],0.52,0,-21.836,114.178
1981,10,9,296.34,[[23.18999634]],0.55,0,-21.836,114.178
1981,10,10,296.29999,[[23.14998779]],0.42,0,-21.836,114.178
1981,10,11,296.25,[[23.1]],0.38,0,-21.836,114.178
1981,10,12,296.28998,[[23.13997803]],0.34,0,-21.836,114.178
1981,10,13,296.42999,[[23.27999268]],0.34,0,-21.836,114.178
1981,10,14,296.75,[[23.6]],0.38,0,-21.836,114.178
1981,10,15,297.19998,[[24.04998169]],0.41,0,-21.836,114.178
1981,10,16,296.82999,[[23.67998657]],0.44,0,-21.836,114.178
1981,10,17,296.78998,[[23.63997803]],0.46,0,-21.836,114.178
1981,10,18,296.78998,[[23.63997803]],0.51,0,-21.836,114.178
1981,10,19,296.63,[[23.48000488]],0.44,0,-21.836,114.178
1981,10,20,296.81,[[23.65999756]],0.38,0,-21.836,114.178
1981,10,21,297.10999,[[23.95998535]],0.36,0,-21.836,114.178
1981,10,22,297.19,[[24.04000244]],0.36,0,-21.836,114.178
1981,10,23,297.07001,[[23.92000732]],0.37,0,-21.836,114.178
1981,10,24,297.10999,[[23.95998535]],0.38,0,-21.836,114.178
1981,10,25,297.35001,[[24.2000061]],0.41,0,-21.836,114.178
1981,10,26,297.28,[[24.12999878]],0.63,0,-21.836,114.178
1981,10,27,296.78,[[23.62999878]],0.53,0,-21.836,114.178
1981,10,28,296.45999,[[23.30999146]],0.49,0,-21.836,114.178
1981,10,29,296.66,[[23.51000366]],0.42,0,-21.836,114.178
1981,10,30,296.85001,[[23.7000061]],0.36,0,-21.836,114.178
1981,10,31,296.95999,[[23.80999146]],0.34,0,-21.836,114.178
1981,11,1,297.03,[[23.87999878]],0.35,0,-21.836,114.178
1981,11,2,297,[[23.85]],0.37,0,-21.836,114.178
1981,11,3,296.92999,[[23.77999268]],0.42,0,-21.836,114.178
1981,11,4,296.95999,[[23.80999146]],0.5,0,-21.836,114.178
1981,11,5,296.78,[[23.62999878]],0.53,0,-21.836,114.178
1981,11,6,296.44998,[[23.29998169]],0.38,0,-21.836,114.178
