year,month,day,mean temperature kelvin,mean temperature deg C,mean temperature uncertainty,fraction of sea-ice-covered ocean,Lat,Lon
1981,9,1,300.17999,[[27.02999268]],0.28,0,-12.0875,96.875
1981,9,2,300.38,[[27.23000488]],0.26,0,-12.0875,96.875
1981,9,3,300.54999,[[27.39998779]],0.22,0,-12.0875,96.875
1981,9,4,300.63,[[27.48000488]],0.22,0,-12.0875,96.875
1981,9,5,300.28998,[[27.13997803]],0.22,0,-12.0875,96.875
1981,9,6,299.85999,[[26.70998535]],0.22,0,-12.0875,96.875
1981,9,7,299.69998,[[26.54998169]],0.22,0,-12.0875,96.875
1981,9,8,300.07001,[[26.92000732]],0.22,0,-12.0875,96.875
1981,9,9,300.09,[[26.93999634]],0.23,0,-12.0875,96.875
1981,9,10,300.10999,[[26.95998535]],0.23,0,-12.0875,96.875
1981,9,11,299.70999,[[26.55999146]],0.22,0,-12.0875,96.875
1981,9,12,299.57999,[[26.42998657]],0.22,0,-12.0875,96.875
1981,9,13,299.45999,[[26.30999146]],0.22,0,-12.0875,96.875
1981,9,14,299.29999,[[26.14998779]],0.22,0,-12.0875,96.875
1981,9,15,299.47998,[[26.32998047]],0.22,0,-12.0875,96.875
1981,9,16,299.53998,[[26.38997803]],0.23,0,-12.0875,96.875
1981,9,17,299.60001,[[26.4500061]],0.22,0,-12.0875,96.875
1981,9,18,299.69,[[26.54000244]],0.23,0,-12.0875,96.875
1981,9,19,299.75,[[26.6]],0.22,0,-12.0875,96.875
1981,9,20,299.73999,[[26.58999023]],0.22,0,-12.0875,96.875
1981,9,21,299.69,[[26.54000244]],0.23,0,-12.0875,96.875
1981,9,22,299.64999,[[26.4999939]],0.24,0,-12.0875,96.875
1981,9,23,299.69,[[26.54000244]],0.28,0,-12.0875,96.875
1981,9,24,299.62,[[26.46999512]],0.33,0,-12.0875,96.875
1981,9,25,299.72998,[[26.57998047]],0.23,0,-12.0875,96.875
1981,9,26,300.01999,[[26.86998901]],0.22,0,-12.0875,96.875
