year,month,day,mean temperature kelvin,mean temperature deg C,mean temperature uncertainty,fraction of sea-ice-covered ocean,Lat,Lon
1981,9,1,293.57999,[[20.42998657]],0.25,0,-28.28,113.46
1981,9,2,293.53,[[20.37999878]],0.27,0,-28.28,113.46
1981,9,3,293.25998,[[20.10997925]],0.52,0,-28.28,113.46
1981,9,4,293.25998,[[20.10997925]],0.29,0,-28.28,113.46
1981,9,5,293.70999,[[20.55999146]],0.25,0,-28.28,113.46
1981,9,6,293.97998,[[20.82998047]],0.25,0,-28.28,113.46
1981,9,7,294.03998,[[20.88997803]],0.25,0,-28.28,113.46
1981,9,8,293.82999,[[20.67998657]],0.29,0,-28.28,113.46
1981,9,9,293.98999,[[20.83999023]],0.33,0,-28.28,113.46
1981,9,10,294.07001,[[20.92000732]],0.27,0,-28.28,113.46
1981,9,11,294.09,[[20.93999634]],0.26,0,-28.28,113.46
1981,9,12,294.03998,[[20.88997803]],0.27,0,-28.28,113.46
1981,9,13,294.06,[[20.90999756]],0.29,0,-28.28,113.46
1981,9,14,294.29999,[[21.14998779]],0.26,0,-28.28,113.46
1981,9,15,294.25,[[21.1]],0.25,0,-28.28,113.46
1981,9,16,294.12,[[20.96999512]],0.25,0,-28.28,113.46
1981,9,17,294,[[20.85]],0.25,0,-28.28,113.46
1981,9,18,294.19,[[21.04000244]],0.26,0,-28.28,113.46
1981,9,19,294.20999,[[21.05999146]],0.28,0,-28.28,113.46
1981,9,20,294.19,[[21.04000244]],0.41,0,-28.28,113.46
1981,9,21,294.01999,[[20.86998901]],0.6,0,-28.28,113.46
1981,9,22,293.70999,[[20.55999146]],0.3,0,-28.28,113.46
1981,9,23,293.75,[[20.6]],0.26,0,-28.28,113.46
1981,9,24,293.76999,[[20.61998901]],0.25,0,-28.28,113.46
1981,9,25,293.32001,[[20.17000732]],0.25,0,-28.28,113.46
1981,9,26,293.57001,[[20.42000732]],0.25,0,-28.28,113.46
1981,9,27,294.03998,[[20.88997803]],0.24,0,-28.28,113.46
1981,9,28,294.41,[[21.26000366]],0.25,0,-28.28,113.46
