Year,core_id,reef,country,lat,long,Sr/Ca,d18O,Sr/CaA,d18OA,Sr/Ca SST_A,d18O SST_A,Isotope,value,AVHRR_A,HadSST1_A,ERSST_A,AVHRR SST,HadSST1,ERSST,year,month
1808.17,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.77,-4.91,-0.0773,-0.142,1.288875,0.71,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1808,March
1808.25,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.78,-4.94,-0.08,-0.195,1.333331667,0.975,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1808,April
1808.33,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.79,-4.91,-0.093,-0.218667,1.549991667,1.093335,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1808,May
1808.42,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.81,-4.82,-0.101332,-0.209334,1.688866667,1.04667,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1808,June
1808.5,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.83,-4.77,-0.104667,-0.216666,1.74445,1.08333,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1808,July
1808.58,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.84,-4.76,-0.107667,-0.224667,1.79445,1.123335,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1808,August
1808.67,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.83,-4.78,-0.12,-0.23,2,1.15,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1808,September
1808.75,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.82,-4.75,-0.124667,-0.193,2.077783333,0.965,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1808,October
1808.83,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.81,-4.82,-0.119666,-0.250666,1.994433333,1.25333,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1808,November
1808.92,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.78,-4.97,-0.120667,-0.362334,2.011116667,1.81167,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1808,December
1809,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.78,-5.01,-0.095,-0.336333,1.583321667,1.681665,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1809,January
1809.08,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.77,-5,-0.089,-0.263333,1.483328333,1.316665,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1809,February
1809.17,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.75,-4.96,-0.0973,-0.192,1.622216667,0.96,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1809,March
1809.25,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.79,-4.87,-0.07,-0.125,1.166661667,0.625,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1809,April
1809.33,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.84,-4.78,-0.043,-0.0887,0.716655,0.4433345,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1809,May
1809.42,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.85,-4.72,-0.0613,-0.109334,1.022195,0.54667,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1809,June
1809.5,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.84,-4.68,-0.0947,-0.126666,1.577775,0.63333,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1809,July
1809.58,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.83,-4.66,-0.117667,-0.124667,1.961116667,0.623335,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1809,August
1809.67,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.82,-4.69,-0.13,-0.14,2.166666667,0.7,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1809,September
1809.75,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.81,-4.73,-0.134666,-0.173,2.244433333,0.865,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1809,October
1809.83,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.8,-4.82,-0.129666,-0.250666,2.1611,1.25333,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1809,November
1809.92,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.8,-4.93,-0.100667,-0.322334,1.677783333,1.61167,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1809,December
1810,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.79,-4.97,-0.085,-0.296333,1.416651667,1.481665,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1810,January
1810.08,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.74,-4.93,-0.119,-0.193333,1.983333333,0.966665,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1810,February
1810.17,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.71,-4.91,-0.137333,-0.142,2.288883333,0.71,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1810,March
1810.25,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.72,-5.02,-0.139999,-0.275,2.333316667,1.375,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1810,April
1810.33,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.75,-5.12,-0.132999,-0.428667,2.21665,2.143335,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1810,May
1810.42,DAR Long,Cocos Keeling,Australia,-12.0953,96.875,8.79,-5.02,-0.121332,-0.409334,2.0222,2.04667,Sr/Ca,-999,-999,-999,-999,-999,-999,-999,1810,June
