Year,core id,reef,country,lat,long,Sr/Ca,d18O,Sr/CaA,d18OA,Sr/Ca SST_A,d18O SST_A,Isotope,value,AVHRR_A,HadSST1_A,ERSST_A,AVHRR SST,HadSST1,ERSST,year,month
1794.666667,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.535367727,-999,0.121171,-999,-0.605855,d18O,-999,-999,-999,-999,-999,-999,-999,1794,September
1794.75,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.70542758,-999,0.0701,-999,-0.350461,d18O,-999,-999,-999,-999,-999,-999,-999,1794,October
1794.833333,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.875487432,-999,0.0287,-999,-0.143554,d18O,-999,-999,-999,-999,-999,-999,-999,1794,November
1794.916667,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.8817348,-999,0.141493,-999,-0.707465,d18O,-999,-999,-999,-999,-999,-999,-999,1794,December
1795,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.822635003,-999,0.295221,-999,-1.476105,d18O,-999,-999,-999,-999,-999,-999,-999,1795,January
1795.083333,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.877693191,-999,0.298151,-999,-1.490755,d18O,-999,-999,-999,-999,-999,-999,-999,1795,February
1795.166667,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-4.085175651,-999,0.109844,-999,-0.54922,d18O,-999,-999,-999,-999,-999,-999,-999,1795,March
1795.25,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-4.139764563,-999,0.0211,-999,-0.1053335,d18O,-999,-999,-999,-999,-999,-999,-999,1795,April
1795.333333,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-4.133215918,-999,-0.012,-999,0.0600555,d18O,-999,-999,-999,-999,-999,-999,-999,1795,May
1795.416667,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-4.069497441,-999,-0.0382,-999,0.1907895,d18O,-999,-999,-999,-999,-999,-999,-999,1795,June
1795.5,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.929749124,-999,-0.0259,-999,0.129535,d18O,-999,-999,-999,-999,-999,-999,-999,1795,July
1795.583333,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.626817043,-999,0.164382,-999,-0.82191,d18O,-999,-999,-999,-999,-999,-999,-999,1795,August
1795.666667,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.258476496,-999,0.398063,-999,-1.990315,d18O,-999,-999,-999,-999,-999,-999,-999,1795,September
1795.75,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.381950943,-999,0.393569,-999,-1.967845,d18O,-999,-999,-999,-999,-999,-999,-999,1795,October
1795.833333,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.319115068,-999,0.585083,-999,-2.925415,d18O,-999,-999,-999,-999,-999,-999,-999,1795,November
1795.916667,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.402383716,-999,0.620844,-999,-3.10422,d18O,-999,-999,-999,-999,-999,-999,-999,1795,December
1796,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.677263072,-999,0.440593,-999,-2.202965,d18O,-999,-999,-999,-999,-999,-999,-999,1796,January
1796.083333,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.948269899,-999,0.227574,-999,-1.13787,d18O,-999,-999,-999,-999,-999,-999,-999,1796,February
1796.166667,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-4.172175517,-999,0.0228,-999,-0.1142215,d18O,-999,-999,-999,-999,-999,-999,-999,1796,March
1796.25,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-4.217523319,-999,-0.0567,-999,0.283458,d18O,-999,-999,-999,-999,-999,-999,-999,1796,April
1796.333333,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-4.223637198,-999,-0.102432,-999,0.51216,d18O,-999,-999,-999,-999,-999,-999,-999,1796,May
1796.416667,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.985067989,-999,0.0463,-999,-0.231358,d18O,-999,-999,-999,-999,-999,-999,-999,1796,June
1796.5,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.748725173,-999,0.155117,-999,-0.775585,d18O,-999,-999,-999,-999,-999,-999,-999,1796,July
1796.583333,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.542726537,-999,0.248473,-999,-1.242365,d18O,-999,-999,-999,-999,-999,-999,-999,1796,August
1796.666667,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.3367279,-999,0.319811,-999,-1.599055,d18O,-999,-999,-999,-999,-999,-999,-999,1796,September
1796.75,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.398206462,-999,0.377313,-999,-1.886565,d18O,-999,-999,-999,-999,-999,-999,-999,1796,October
1796.833333,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.459685024,-999,0.444513,-999,-2.222565,d18O,-999,-999,-999,-999,-999,-999,-999,1796,November
1796.916667,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.521163586,-999,0.502064,-999,-2.51032,d18O,-999,-999,-999,-999,-999,-999,-999,1796,December
1797,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.6257595,-999,0.492096,-999,-2.46048,d18O,-999,-999,-999,-999,-999,-999,-999,1797,January
1797.083333,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.795190133,-999,0.380654,-999,-1.90327,d18O,-999,-999,-999,-999,-999,-999,-999,1797,February
1797.166667,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.949620963,-999,0.245399,-999,-1.226995,d18O,-999,-999,-999,-999,-999,-999,-999,1797,March
1797.25,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-4.061335303,-999,0.0995,-999,-0.497482,d18O,-999,-999,-999,-999,-999,-999,-999,1797,April
1797.333333,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-4.017396861,-999,0.103808,-999,-0.51904,d18O,-999,-999,-999,-999,-999,-999,-999,1797,May
1797.416667,HAB,H. Abrolhos,W Australia,-28.45,113.77,-999,-3.97345842,-999,0.0579,-999,-0.2894055,d18O,-999,-999,-999,-999,-999,-999,-999,1797,June
