X1,parameter,site,site_id,subsite,subsite_id,series,series_id,lat,lon,depth,serial_num,from_date,thru_date,time,uncal_val,cal_val,qc_val,qc_flag,parameter_id,date,mean_SST
0,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-02T00:29:00Z,NA,27.4,27.4,1,1,2005-01-02,27.4
24,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-03T00:29:00Z,NA,27.4,27.4,1,1,2005-01-03,27.4
48,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-04T00:29:00Z,NA,27.4,27.4,1,1,2005-01-04,27.4
72,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-05T00:29:00Z,NA,27.4,27.4,1,1,2005-01-05,27.4
96,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-06T00:29:00Z,NA,27.7,27.7,1,1,2005-01-06,27.7
120,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-07T00:29:00Z,NA,27.7,27.7,1,1,2005-01-07,27.7
144,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-08T00:29:00Z,NA,28.1,28.1,1,1,2005-01-08,28.1
168,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-09T00:29:00Z,NA,27.7,27.7,1,1,2005-01-09,27.7
192,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-10T00:29:00Z,NA,28.1,28.1,1,1,2005-01-10,28.1
216,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-11T00:29:00Z,NA,28.1,28.1,1,1,2005-01-11,28.1
240,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-12T00:29:00Z,NA,28.1,28.1,1,1,2005-01-12,28.1
264,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-13T00:29:00Z,NA,28.1,28.1,1,1,2005-01-13,28.1
288,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-14T00:29:00Z,NA,28.1,28.1,1,1,2005-01-14,28.1
312,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-15T00:29:00Z,NA,28.1,28.1,1,1,2005-01-15,28.1
336,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-16T00:29:00Z,NA,27.7,27.7,1,1,2005-01-16,27.7
360,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-17T00:29:00Z,NA,28.1,28.1,1,1,2005-01-17,28.1
384,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-18T00:29:00Z,NA,28.1,28.1,1,1,2005-01-18,28.1
408,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-19T00:29:00Z,NA,27.7,27.7,1,1,2005-01-19,27.7
432,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-20T00:29:00Z,NA,28.1,28.1,1,1,2005-01-20,28.1
456,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-21T00:29:00Z,NA,28.1,28.1,1,1,2005-01-21,28.1
480,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-22T00:29:00Z,NA,28.1,28.1,1,1,2005-01-22,28.1
504,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-23T00:29:00Z,NA,28.1,28.1,1,1,2005-01-23,28.1
528,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-24T00:29:00Z,NA,28.1,28.1,1,1,2005-01-24,28.1
552,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-25T00:29:00Z,NA,27.7,27.7,1,1,2005-01-25,27.7
576,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-26T00:29:00Z,NA,28.1,28.1,1,1,2005-01-26,28.1
600,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-27T00:29:00Z,NA,27.7,27.7,1,1,2005-01-27,27.7
624,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-28T00:29:00Z,NA,27.7,27.7,1,1,2005-01-28,27.7
648,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-29T00:29:00Z,NA,28.1,28.1,1,1,2005-01-29,28.1
672,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-30T00:29:00Z,NA,28.4,28.4,1,1,2005-01-30,28.4
696,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-01-31T00:29:00Z,NA,28.1,28.1,1,1,2005-01-31,28.1
720,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-02-01T00:29:00Z,NA,28.4,28.4,1,1,2005-02-01,28.4
744,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-02-02T00:29:00Z,NA,28.8,28.8,1,1,2005-02-02,28.8
768,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-02-03T00:29:00Z,NA,28.8,28.8,1,1,2005-02-03,28.8
792,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-02-04T00:29:00Z,NA,29.2,29.2,1,1,2005-02-04,29.2
816,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-02-05T00:29:00Z,NA,29.2,29.2,1,1,2005-02-05,29.2
840,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-02-06T00:29:00Z,NA,28.8,28.8,1,1,2005-02-06,28.8
864,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-02-07T00:29:00Z,NA,28.4,28.4,1,1,2005-02-07,28.4
888,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-02-08T00:29:00Z,NA,28.4,28.4,1,1,2005-02-08,28.4
912,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-02-09T00:29:00Z,NA,28.8,28.8,1,1,2005-02-09,28.8
936,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-02-10T00:29:00Z,NA,28.8,28.8,1,1,2005-02-10,28.8
960,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-02-11T00:29:00Z,NA,28.8,28.8,1,1,2005-02-11,28.8
984,Water Temperature,100th Site,1034,100THSITE,3237,100THSITE,3237,-12.1069,96.8709,3,SST-0,2005-01-01,2007-02-26,2005-02-12T00:29:00Z,NA,28.8,28.8,1,1,2005-02-12,28.8
