Year,core id,reef,country,lat,long,Sr/Ca,d18O,Sr/CaA,d18OA,Sr/Ca SST_A,d18O SST_A,Isotope,value,AVHRR_A,HadSST1_A,ERSST_A,AVHRR SST,HadSST1,ERSST,date,year,month
1998.25,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.901,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1998-04-02T06:00:00Z,1998,April
1998.319,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.932,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1998-04-27T10:26:23Z,1998,April
1998.389,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.952,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1998-05-22T23:38:23Z,1998,May
1998.458,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.013,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1998-06-17T04:04:48Z,1998,June
1998.528,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.162,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1998-07-12T17:16:48Z,1998,July
1998.597,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.329,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1998-08-06T21:43:11Z,1998,August
1998.667,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.357,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1998-09-01T10:55:11Z,1998,September
1998.729,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.243,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1998-09-24T02:02:24Z,1998,September
1998.792,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.153,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1998-10-17T01:55:11Z,1998,October
1998.854,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.066,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1998-11-08T17:02:24Z,1998,November
1998.917,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.026,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1998-12-01T16:55:11Z,1998,December
1998.979,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.987,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1998-12-24T08:02:24Z,1998,December
1999.042,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.889,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1999-01-16T07:55:11Z,1999,January
1999.104,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.89,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1999-02-07T23:02:24Z,1999,February
1999.167,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.847,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1999-03-02T22:55:11Z,1999,March
1999.267,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.916,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1999-04-08T10:55:12Z,1999,April
1999.367,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.948,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1999-05-14T22:55:11Z,1999,May
1999.467,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.101,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1999-06-20T10:55:12Z,1999,June
1999.567,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.293,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1999-07-26T22:55:12Z,1999,July
1999.667,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.328,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1999-09-01T10:55:11Z,1999,September
1999.738,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.232,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1999-09-27T08:52:48Z,1999,September
1999.81,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.146,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1999-10-23T15:35:59Z,1999,October
1999.881,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.108,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1999-11-18T13:33:36Z,1999,November
1999.952,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.046,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1999-12-14T11:31:12Z,1999,December
2000.024,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.974,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2000-01-09T18:48:57Z,2000,January
2000.095,08BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.906,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2000-02-04T18:28:48Z,2000,February
