Year,core id,reef,country,lat,long,Sr/Ca,d18O,Sr/CaA,d18OA,Sr/Ca SST_A,d18O SST_A,Isotope,value,AVHRR_A,HadSST1_A,ERSST_A,AVHRR SST,HadSST1,ERSST,date,year,month
1996.25,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,8.997,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1996-04-01T12:00:00Z,1996,April
1996.389,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.104,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1996-05-22T08:58:33Z,1996,May
1996.528,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.113,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1996-07-12T05:57:07Z,1996,July
1996.667,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.19,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1996-09-01T02:55:40Z,1996,September
1996.767,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.14,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1996-10-07T17:19:40Z,1996,October
1996.867,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.099,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1996-11-13T07:43:40Z,1996,November
1996.967,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.012,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1996-12-19T22:07:40Z,1996,December
1997.067,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,8.893,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1997-01-25T10:55:12Z,1997,January
1997.167,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,8.865,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1997-03-02T22:55:11Z,1997,March
1997.25,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,8.977,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1997-04-02T06:00:00Z,1997,April
1997.333,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,8.921,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1997-05-02T13:04:48Z,1997,May
1997.417,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,8.968,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1997-06-02T04:55:11Z,1997,June
1997.5,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.091,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1997-07-02T12:00:00Z,1997,July
1997.583,08TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.184,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,1997-08-01T19:04:48Z,1997,August
