Year,core id,reef,country,lat,long,Sr/Ca,d18O,Sr/CaA,d18OA,Sr/Ca SST_A,d18O SST_A,Isotope,value,AVHRR_A,HadSST1_A,ERSST_A,AVHRR SST,HadSST1,ERSST,date,year,month
1878.666667,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.106125,-999,0.177348,-999,-0.88674,d18O,-999,-999,-0.263304,-0.11957,-999,22.53,22.84,1878-09-01T08:00:11Z,1878,September
1878.75,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.267583333,-999,0.109658,-999,-0.54829,d18O,-999,-999,-0.256605,0.533079,-999,22.55,23.89,1878-10-01T18:00:00Z,1878,October
1878.833333,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.435098039,-999,0.0474,-999,-0.237217,d18O,-999,-999,-0.0746,0.111414,-999,23.41,24.17,1878-11-01T03:59:50Z,1878,November
1878.916667,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.704705882,-999,-0.0966,-999,0.4829265,d18O,-999,-999,-0.00907,0.310575,-999,24.34,25.45,1878-12-01T14:00:11Z,1878,December
1879,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.971882353,-999,-0.235956,-999,1.17978,d18O,-999,-999,0.011,0.542339,-999,25.71,26.91,1879-01-01T00:00:00Z,1879,January
1879.083333,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-5.089529412,-999,-0.219018,-999,1.09509,d18O,-999,-999,-0.308134,0.588913,-999,26.33,27.94,1879-01-31T09:59:50Z,1879,January
1879.166667,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-5.207176471,-999,-0.259321,-999,1.296605,d18O,-999,-999,-0.234951,0.174042,-999,26.75,27.92,1879-03-02T20:00:11Z,1879,March
1879.25,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.9355,-999,-0.0325,-999,0.16274,d18O,-999,-999,-0.336172,0.239965,-999,26.37,27.65,1879-04-02T06:00:00Z,1879,April
1879.333333,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.660117647,-999,0.156026,-999,-0.78013,d18O,-999,-999,-0.20019,0.557961,-999,25.8,26.93,1879-05-02T15:59:50Z,1879,May
1879.416667,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.483647059,-999,0.188471,-999,-0.942355,d18O,-999,-999,-0.289623,-0.277246,-999,24.3,24.63,1879-06-02T02:00:11Z,1879,June
1879.5,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.309921569,-999,0.217574,-999,-1.08787,d18O,-999,-999,0.0521,0.930511,-999,23.71,24.62,1879-07-02T12:00:00Z,1879,July
1879.583333,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.305019608,-999,0.0953,-999,-0.476749,d18O,-999,-999,-0.221306,0.953413,-999,22.52,24.01,1879-08-01T21:59:50Z,1879,August
1879.666667,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.300117647,-999,-0.0166,-999,0.083225,d18O,-999,-999,-0.113052,-0.31148,-999,22.64,22.65,1879-09-01T08:00:11Z,1879,September
1879.75,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.366083333,-999,0.0112,-999,-0.05579,d18O,-999,-999,-0.552135,-0.321472,-999,22.31,23.03,1879-10-01T18:00:00Z,1879,October
1879.833333,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.436588235,-999,0.046,-999,-0.2297665,d18O,-999,-999,-0.103596,0.224413,-999,23.24,24.28,1879-11-01T03:59:50Z,1879,November
1879.916667,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.554235294,-999,0.053900000000000003,-999,-0.269425,d18O,-999,-999,-0.0368,0.507116,-999,24.18,25.65,1879-12-01T14:00:11Z,1879,December
1880,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.672039216,-999,0.0639,-999,-0.319438,d18O,-999,-999,0.0958,0.239408,-999,25.8,26.61,1880-01-01T00:00:00Z,1880,January
1880.083333,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.799490196,-999,0.071,-999,-0.35511,d18O,-999,-999,0.519365,0.328663,-999,27.35,27.68,1880-01-31T11:59:50Z,1880,January
1880.166667,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.926941176,-999,0.0209,-999,-0.1045705,d18O,-999,-999,0.380049,-0.194918,-999,27.48,27.55,1880-03-02T00:00:11Z,1880,March
1880.25,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.868333333,-999,0.0346,-999,-0.1730945,d18O,-999,-999,0.312576,-0.652025,-999,27.16,26.76,1880-04-01T12:00:00Z,1880,April
1880.333333,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.776740741,-999,0.0394,-999,-0.197017,d18O,-999,-999,-0.0954,-1.13189,-999,25.87,25.24,1880-05-01T23:59:50Z,1880,May
1880.416667,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.897111111,-999,-0.224993,-999,1.124965,d18O,-999,-999,-0.392622,-0.763716,-999,24.06,24.15,1880-06-01T12:00:11Z,1880,June
1880.5,TNT,Ningaloo,W Australia,-21.9,113.97,-999,-4.529166667,-999,-0.00167,-999,0.0083542,d18O,-999,-999,-0.174395,-0.198179,-999,23.28,23.49,1880-07-02T00:00:00Z,1880,July
