year,month,day,mean temperature kelvin,mean temperature deg C,mean temperature uncertainty,fraction of sea-ice-covered ocean,Lat,Lon,daily_date,monthly_date
1981,9,1,292.75998,[[19.60997925]],0.25,0,-28.4589,113.749,1981-09-01,1981-Sep
1981,9,2,292.78,[[19.62999878]],0.28,0,-28.4589,113.749,1981-09-02,1981-Sep
1981,9,3,292.63998,[[19.48998413]],0.61,0,-28.4589,113.749,1981-09-03,1981-Sep
1981,9,4,292.28998,[[19.13997803]],0.33,0,-28.4589,113.749,1981-09-04,1981-Sep
1981,9,5,292.91998,[[19.76998291]],0.27,0,-28.4589,113.749,1981-09-05,1981-Sep
1981,9,6,293.44998,[[20.29998169]],0.25,0,-28.4589,113.749,1981-09-06,1981-Sep
1981,9,7,293.63998,[[20.48998413]],0.26,0,-28.4589,113.749,1981-09-07,1981-Sep
1981,9,8,293.45999,[[20.30999146]],0.32,0,-28.4589,113.749,1981-09-08,1981-Sep
1981,9,9,293.75,[[20.6]],0.35,0,-28.4589,113.749,1981-09-09,1981-Sep
1981,9,10,293.69998,[[20.54998169]],0.27,0,-28.4589,113.749,1981-09-10,1981-Sep
1981,9,11,293.66998,[[20.51998291]],0.26,0,-28.4589,113.749,1981-09-11,1981-Sep
1981,9,12,293.60999,[[20.45998535]],0.29,0,-28.4589,113.749,1981-09-12,1981-Sep
1981,9,13,293.69998,[[20.54998169]],0.32,0,-28.4589,113.749,1981-09-13,1981-Sep
1981,9,14,293.91998,[[20.76998291]],0.28,0,-28.4589,113.749,1981-09-14,1981-Sep
1981,9,15,293.94998,[[20.79998169]],0.27,0,-28.4589,113.749,1981-09-15,1981-Sep
1981,9,16,293.94,[[20.79000244]],0.28,0,-28.4589,113.749,1981-09-16,1981-Sep
1981,9,17,293.91998,[[20.76998291]],0.27,0,-28.4589,113.749,1981-09-17,1981-Sep
1981,9,18,294,[[20.85]],0.26,0,-28.4589,113.749,1981-09-18,1981-Sep
1981,9,19,293.97998,[[20.82998047]],0.29,0,-28.4589,113.749,1981-09-19,1981-Sep
