year,HAB05B d18O,HAB05B Sr/Ca,HAB10A d18O,HAB10A Sr/Ca
1795,-3.910497828,,,
1796,-3.765716913,,,
1797,-3.708690985,,,
1798,-3.915157041,9.411761693,,
1799,-3.649198224,9.348158737,,
1800,-3.696319346,9.462612695,,
1801,-3.538873098,9.385861412,,
1802,-3.689736665,,,
1803,-3.710907916,9.352613291,,
1804,-3.839988629,9.403419621,,
1805,-3.720470672,9.298095176,,
1806,-3.853899247,9.317137756,,
1807,-3.600104959,9.338699886,,
1808,-3.700163284,9.389295214,,
1809,-3.799480593,9.284855084,,
1810,-3.832758092,9.311123048,,
1811,-3.762246019,9.378014511,,
1812,-3.707648573,,,
1813,-3.743239923,9.320271105,,
1814,-3.788153444,9.378387831,,
1815,-3.774746774,9.369525844,,
1816,-3.6690907,9.28890297,,
1817,-3.806947924,9.338604517,,
1818,-3.738767547,9.344428765,,
1819,-3.771124162,9.314636615,,
1820,-3.733149371,9.362372593,,
1821,-3.705898612,9.370389496,,
1822,-3.555335031,9.30274629,,
1823,-3.704008644,9.249862683,,
1824,-4.0526215,9.245394566,,
1825,-3.8890814,9.24312544,,
1826,-3.796329606,,,
1827,-3.696474756,9.27862493,,
1828,-3.8086333,,,
1829,-3.813911735,9.280355224,,
1830,-3.892736404,9.255252274,,
1831,-3.854171833,9.263951985,,
1832,-3.856501564,9.396498375,,
1833,-3.746030711,9.36210625,,
1834,-3.753766189,9.39078672,,
1835,-3.936959262,9.320741713,,
1836,-3.779999176,,,
1837,-3.577456987,9.355843477,,
1838,-3.753398415,9.278417208,,
1839,-3.667039877,9.330136305,,
1840,-3.590383571,9.391321506,,
1841,-3.826827204,9.277132441,,
1842,-3.624471444,9.256347018,,
1843,-3.811480765,9.241998105,,
1844,-3.786622372,9.259110581,,
1845,-3.938386895,9.245033528,,
1846,-3.815194293,9.214703624,,
1847,-3.799998574,9.272020037,-2.963531469,
1848,-3.602857039,9.348382222,-2.889080062,9.238645786
1849,-3.80823113,,-3.119403732,9.22468198
1850,-3.875020133,9.265116924,-3.293086807,9.170891616
1851,-3.849808937,9.239690702,-3.189651345,9.213116191
1852,-3.93189703,9.249168253,-3.177095276,9.191941499
1853,-3.8088562,9.267471426,-3.236584495,9.258292206
1854,-3.527227224,9.294803562,-2.775135115,9.375093533
1855,-3.750535708,9.273360754,-3.056678698,9.250596466
1856,-3.877491029,9.377398502,-3.274722864,9.209347627
1857,-3.845204938,9.316176432,-3.202594606,9.19838585
1858,-3.823063071,9.326686403,-3.209080065,9.221314897
1859,-3.665994969,,-3.009704064,9.306768572
1860,-3.818906111,9.402519217,-3.036765989,9.246640657
1861,-3.83866531,,-3.208582247,9.240813207
1862,-3.961781212,9.349905104,-3.20912155,9.21620929
1863,-4.051204352,9.319852852,-3.66074259,9.210149777
1864,-3.876473968,9.31417343,-3.276401518,9.200775778
1865,-3.847658728,9.315552393,-3.310871076,9.200440384
1866,-3.727748512,9.293260209,-3.006591884,9.237024939
1867,-3.795664168,9.358807417,,9.233733548
1868,-4.018088316,9.277639618,-3.64917932,9.181196654
1869,-3.957913968,9.260555654,-3.15614351,
1870,-3.959276406,9.279221761,-3.522266531,9.22153872
1871,-3.957841578,9.301215794,-3.444894882,9.19169505
1872,-3.985793407,9.298563908,-3.52925169,
1873,-4.177968954,9.255077565,-3.657548925,9.180231662
1874,-4.042664371,9.305391036,-3.538282053,9.178298076
1875,-4.026768553,9.290825659,-3.554801011,9.187269002
1876,-4.008546784,9.324092124,-3.667900804,9.208426477
1877,-3.953561375,9.289109321,-3.165834632,9.22980202
1878,-3.909342743,9.318565325,-3.36703553,9.271277722
1879,-4.041833588,9.322659065,-3.467580917,9.210051475
1880,-4.087318451,9.253192562,-3.471104961,9.173563767
1881,-4.011827242,,-3.461634092,9.207595336
1882,-3.935648612,9.226607247,-3.260355291,9.199814009
1883,-3.844899202,9.313315192,-3.221778833,9.225640766
1884,-3.823096957,9.272345566,-3.232681345,9.258830769
1885,-3.843179972,9.273686898,-3.229928185,9.258697113
1886,-3.82228809,9.268531763,-3.387408911,9.307561631
1887,-3.763404283,9.346438631,,9.344408279
1888,-3.858975875,9.271646733,,9.366801859
1889,-3.821124087,,-3.109449924,9.245694406
1890,-3.854224827,9.307619701,-3.188190287,9.242940183
1891,-3.895772447,9.244522628,-3.137091646,9.254476867
1892,-3.780348531,9.320796645,-3.281907838,9.270419138
1893,-3.817419289,9.276667823,-3.204819371,
1894,-3.931818758,9.26788164,-3.259221803,9.243888891
1895,-3.834917447,9.266990011,-3.287964789,9.286946692
1896,-3.925119366,9.292294236,-3.116387886,9.297471689
1897,-3.782561786,9.334120845,-3.04932092,9.341955675
1898,-3.826285487,,-3.098877792,9.30588963
1899,-3.916351699,9.297816495,-3.310210318,9.264921439
1900,-3.98006086,,,9.231918876
1901,-3.922135468,,-3.342036842,9.311944213
1902,-3.895921923,9.287305101,-3.332455847,
1903,-3.78049756,9.307940064,-3.131915706,9.281431344
