year,HAB05B,HAB10A
1795,,
1796,,
1797,,
1798,9.411761693,
1799,9.348158737,
1800,9.462612695,
1801,9.385861412,
1802,,
1803,9.352613291,
1804,9.403419621,
1805,9.298095176,
1806,9.317137756,
1807,9.338699886,
1808,9.389295214,
1809,9.284855084,
1810,9.311123048,
1811,9.378014511,
1812,,
1813,9.320271105,
1814,9.378387831,
1815,9.369525844,
1816,9.28890297,
1817,9.338604517,
1818,9.344428765,
1819,9.314636615,
1820,9.362372593,
1821,9.370389496,
1822,9.30274629,
1823,9.249862683,
1824,9.245394566,
1825,9.24312544,
1826,,
1827,9.27862493,
1828,,
1829,9.280355224,
1830,9.255252274,
1831,9.263951985,
1832,9.396498375,
1833,9.36210625,
1834,9.39078672,
1835,9.320741713,
1836,,
1837,9.355843477,
1838,9.278417208,
1839,9.330136305,
1840,9.391321506,
1841,9.277132441,
1842,9.256347018,
1843,9.241998105,
1844,9.259110581,
1845,9.245033528,
1846,9.214703624,
1847,9.272020037,
1848,9.348382222,9.238645786
1849,,9.22468198
1850,9.265116924,9.170891616
1851,9.239690702,9.213116191
1852,9.249168253,9.191941499
1853,9.267471426,9.258292206
1854,9.294803562,9.375093533
1855,9.273360754,9.250596466
1856,9.377398502,9.209347627
1857,9.316176432,9.19838585
1858,9.326686403,9.221314897
1859,,9.306768572
1860,9.402519217,9.246640657
1861,,9.240813207
1862,9.349905104,9.21620929
1863,9.319852852,9.210149777
1864,9.31417343,9.200775778
1865,9.315552393,9.200440384
1866,9.293260209,9.237024939
1867,9.358807417,9.233733548
1868,9.277639618,9.181196654
1869,9.260555654,
1870,9.279221761,9.22153872
1871,9.301215794,9.19169505
1872,9.298563908,
1873,9.255077565,9.180231662
1874,9.305391036,9.178298076
1875,9.290825659,9.187269002
1876,9.324092124,9.208426477
1877,9.289109321,9.22980202
1878,9.318565325,9.271277722
1879,9.322659065,9.210051475
1880,9.253192562,9.173563767
1881,,9.207595336
1882,9.226607247,9.199814009
1883,9.313315192,9.225640766
1884,9.272345566,9.258830769
1885,9.273686898,9.258697113
1886,9.268531763,9.307561631
1887,9.346438631,9.344408279
1888,9.271646733,9.366801859
1889,,9.245694406
1890,9.307619701,9.242940183
1891,9.244522628,9.254476867
1892,9.320796645,9.270419138
1893,9.276667823,
1894,9.26788164,9.243888891
1895,9.266990011,9.286946692
1896,9.292294236,9.297471689
1897,9.334120845,9.341955675
1898,,9.30588963
1899,9.297816495,9.264921439
1900,,9.231918876
1901,,9.311944213
1902,9.287305101,
1903,9.307940064,9.281431344
1904,9.258194478,9.288707297
1905,9.304425647,9.26217658
1906,9.233812017,9.281434332
1907,9.257165614,9.266523207
1908,9.213935569,9.240592507
1909,9.172022611,9.212929047
1910,9.242120104,
1911,,
1912,9.20530434,9.318477667
1913,9.165254557,9.344200802
1914,9.288126055,9.267922699
1915,9.256284094,9.26621304
1916,9.22391652,9.232358992
1917,9.227273237,9.27540019
1918,9.190749565,9.218754499
1919,9.288209971,9.230284771
1920,9.256199903,9.211399554
1921,9.186037834,9.203823733
1922,9.197576394,9.214307092
1923,9.261357598,9.184534344
1924,9.306685151,
1925,9.321572888,9.231139794
1926,9.284167239,9.238530255
1927,9.281427325,9.207815295
1928,9.272371903,9.240502067
1929,9.246058751,9.260837258
1930,9.249591133,9.217407878
1931,9.255708644,9.234552197
1932,9.20216618,
1933,9.261609164,
1934,9.182754959,9.158367588
1935,9.200079003,9.239996415
1936,,9.23158413
1937,9.254102714,9.215548189
1938,9.236806899,9.24419735
1939,9.267650649,9.218497278
1940,9.268338553,9.222148336
1941,9.261511451,9.209804062
1942,9.267106289,9.21389352
1943,9.258738753,9.167061814
1944,9.299093089,9.26600097
1945,9.265955229,9.240874785
1946,9.280428368,9.274120663
1947,9.280327108,9.184250115
1948,,9.172778239
1949,9.207562139,9.189106115
1950,,9.194725076
1951,9.242500354,9.144650651
1952,,9.124198582
1953,9.261397953,9.196081774
1954,9.293133467,9.152971938
