Year,core id,reef,country,lat,long,Sr/Ca,d18O,Sr/CaA,d18OA,Sr/Ca SST_A,d18O SST_A,Isotope,value,AVHRR_A,HadSST1_A,ERSST_A,AVHRR SST,HadSST1,ERSST,date,year,month
2004.067,13TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.069,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2004-01-25T12:31:40Z,2004,January
2004.167,13TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.034,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2004-03-02T02:55:40Z,2004,March
2004.267,13TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.122,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2004-04-07T17:19:40Z,2004,April
2004.367,13TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.244,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2004-05-14T07:43:40Z,2004,May
2004.467,13TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.306,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2004-06-19T22:07:40Z,2004,June
2004.567,13TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.327,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2004-07-26T12:31:40Z,2004,July
2004.667,13TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.337,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2004-09-01T02:55:40Z,2004,September
2004.75,13TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.278,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2004-10-01T12:00:00Z,2004,October
2004.834,13TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.218,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2004-11-01T05:51:21Z,2004,November
2004.917,13TNT,Ningaloo Tantabidi,Australia,-21.54,113.58,9.184,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2004-12-01T14:55:40Z,2004,December
