year,Tantabiddi Sr/Ca
1952,9.045546577
1953,9.140710738
1954,9.083002043
1955,9.079869192
1956,9.094760996
1957,9.101296962
1958,9.094441527
1959,9.063725821
1960,9.066481093
1961,9.080280953
1962,9.027417147
1963,9.047027423
1964,9.079970591
1965,9.042491457
1966,9.05917433
1967,9.083481445
1968,9.118503807
1969,9.071372191
1970,9.048361002
1971,9.081348654
1972,9.110665653
1973,9.154807693
1974,9.069363373
1975,9.068135218
1976,8.978657202
1977,9.114645828
1978,9.086387908
1979,9.086838459
1980,9.051721704
1981,9.07219216
1982,9.091161508
1983,9.066381135
1984,9.028619424
1985,9.068626585
1986,9.120552403
1987,9.129915106
1988,9.059761731
1989,9.038907515
1990,9.06971289
1991,9.05717044
1992,9.128366606
1993,9.148703227
1994,9.119906519
1995,9.120726192
1996,9.045872785
1997,9.082240204
1998,9.074033336
1999,9.027687438
2000,8.999708671
2001,9.056148074
2002,9.102891822
2003,9.105011407
2004,9.124284993
2005,9.159298486
2006,9.060423841
2007,9.028857423
2008,8.998070661
