date,SrCa,sst
1985-01-01,8.914,29.31582956700346
1985-02-01,8.916,29.282676197282456
1985-03-01,8.91,29.38213630644543
1985-05-01,8.936,28.951142500072557
1985-06-01,9.005,27.807351244698364
1985-07-01,9.065,26.812750153068666
1985-08-01,9.007,27.774197874977393
1985-10-01,8.974,28.32122847537373
1985-11-01,8.929,29.067179294096018
1985-12-01,8.91,29.38213630644543
1986-01-01,8.907,29.43186636102692
1986-02-01,8.925,29.13348603353799
1986-03-01,8.9,29.54790315505038
1986-04-01,8.876,29.945743591702286
1986-05-01,8.895,29.630786579352872
1986-06-01,8.932,29.01744923951453
1986-08-01,9.055,26.978517001673616
1986-09-01,9.049,27.077977110836592
1986-10-01,9.025,27.475817547488464
1986-12-01,8.953,28.669338857444146
1987-01-01,8.917,29.26609951242197
1987-02-01,8.95,28.719068912025634
1987-03-01,8.926,29.116909348677506
1987-04-01,8.922,29.18321608811948
1987-05-01,8.917,29.26609951242197
1987-06-01,8.979,28.23834505107127
1987-07-01,9.032,27.359780753465003
1987-08-01,9.109,26.083376019206863
1987-09-01,9.064,26.829326837929152
1987-10-01,9.015,27.641584396093414
1987-11-01,8.978,28.254921735931756
1987-12-01,8.929,29.067179294096018
1988-01-01,8.925,29.13348603353799
1988-02-01,8.934,28.98429586979356
1988-03-01,8.89,29.71367000365533
1988-04-01,8.842,30.509350876959108
1988-05-01,8.848,30.40989076779613
1988-06-01,8.917,29.26609951242197
1988-07-01,8.987,28.105731572187292
1988-08-01,8.973,28.337805160234215
1988-09-01,8.941,28.868259075770066
1988-10-01,8.89,29.71367000365533
1988-11-01,8.925,29.13348603353799
1988-12-01,8.93,29.050602609235533
1989-01-01,8.943,28.835105706049095
1989-02-01,8.896,29.614209894492355
1989-04-01,8.942,28.85168239090958
1989-05-01,8.945,28.801952336328092
1989-06-01,8.957,28.60303211800214
1989-07-01,8.994,27.98969477816383
1989-08-01,9.027,27.442664177767494
1989-10-01,8.955,28.636185487723143
1989-11-01,8.92,29.216369457840482
1989-12-01,8.907,29.43186636102692
1990-01-01,8.918,29.249522827561485
1990-02-01,8.859,30.227547234330697
1990-03-01,8.875,29.96232027656277
1990-05-01,8.951,28.702492227165116
1990-06-01,9.015,27.641584396093414
1990-07-01,9.056,26.96194031681313
1990-08-01,9.044,27.16086053513905
1990-10-01,8.9,29.54790315505038
1990-11-01,8.838,30.57565761640111
1990-12-01,8.866,30.111510440307235
