Sr/Ca,sst
8.914,29.139340401141453
8.916,29.107556880417746
8.91,29.202907442588838
8.936,28.789721673180708
9.005,27.693190208212883
9.065,26.739684586501767
9.007,27.661406687489205
8.974,28.18583477943031
8.929,28.900963995713653
8.91,29.202907442588838
8.907,29.2505827236744
8.925,28.964531037161066
8.9,29.361825046207372
8.876,29.743227294891824
8.895,29.44128384801664
8.932,28.853288714628093
9.055,26.898602190120272
9.049,26.993952752291392
9.025,27.375355000975844
8.953,28.51956174702923
8.917,29.091665120055893
8.95,28.56723702811476
8.926,28.948639276799213
8.922,29.012206318246626
8.917,29.091665120055893
8.979,28.10637597762107
9.032,27.26411267844287
9.109,26.040447130580247
9.064,26.75557634686362
9.015,27.53427260459435
8.978,28.122267737982895
8.929,28.900963995713653
8.925,28.964531037161066
8.934,28.821505193904414
8.89,29.520742649825877
8.842,30.28354714719481
8.848,30.18819658502369
8.917,29.091665120055893
8.987,27.979241894726215
8.973,28.201726539792162
8.941,28.710262871371413
8.89,29.520742649825877
8.925,28.964531037161066
8.93,28.8850722353518
8.943,28.678479350647734
8.896,29.425392087654785
8.942,28.694371111009588
8.945,28.646695829924028
8.957,28.455994705581787
8.994,27.86799957219327
9.027,27.343571480252166
8.955,28.487778226305494
8.92,29.043989838970333
8.907,29.2505827236744
8.918,29.07577335969404
8.859,30.013387221043303
8.875,29.759119055253677
8.951,28.551345267752907
9.015,27.53427260459435
9.056,26.882710429758447
9.044,27.07341155410066
8.9,29.361825046207372
8.838,30.347114188642223
8.866,29.902144898510358
8.973,28.201726539792162
8.906,29.26647448403625
8.879,29.695552013806292
8.917,29.091665120055893
8.995,27.852107811831416
9.004,27.709081968574736
8.966,28.312968862325135
8.924,28.98042279752292
8.858,30.029278981405156
8.933,28.837396954266268
8.88,29.67966025344441
8.931,28.869180474989975
9.006,27.67729844785103
9.076,26.56487522252138
9.087,26.39006585854102
9.031,27.280004438804724
8.991,27.91567485327883
8.966,28.312968862325135
8.979,28.10637597762107
8.979,28.10637597762107
8.958,28.440102945219934
8.852,30.124629543576276
8.979,28.10637597762107
9.006,27.67729844785103
9.052,26.946277471205832
9.013,27.566056125318084
8.989,27.947458374002508
8.951,28.551345267752907
8.899,29.377716806569254
8.883,29.63198497235888
8.918,29.07577335969404
8.943,28.678479350647734
8.972,28.217618300154015
9.029,27.31178795952843
9.065,26.739684586501767
8.88,29.67966025344441
8.933,28.837396954266268
8.93,28.8850722353518
8.947,28.61491230920032
8.963,28.360644143410696
8.95,28.56723702811476
8.982,28.05870069653551
9.031,27.280004438804724
9.039,27.152870355909926
8.97,28.249401820877722
8.939,28.742046392095148
8.847,30.204088345385543
8.926,28.948639276799213
8.932,28.853288714628093
8.942,28.694371111009588
8.939,28.742046392095148
8.945,28.646695829924028
8.956,28.47188646594367
8.958,28.440102945219934
9.011,27.59783964604179
9.026,27.35946324061399
8.944,28.662587590285852
8.928,28.916855756075506
8.942,28.694371111009588
8.959,28.42421118485811
8.97,28.249401820877722
8.951,28.551345267752907
8.93,28.8850722353518
8.961,28.392427664134374
8.971,28.23351006051587
9.069,26.676117545054325
9.113,25.976880089132862
9.051,26.962169231567685
8.991,27.91567485327883
8.947,28.61491230920032
8.868,29.87036137778665
8.887,29.568417930911437
8.896,29.425392087654785
8.885,29.600201451635172
8.845,30.23587186610925
8.916,29.107556880417746
8.995,27.852107811831416
9.024,27.391246761337698
8.972,28.217618300154015
8.929,28.900963995713653
8.905,29.282366244398133
8.911,29.187015682227013
8.91,29.202907442588838
8.901,29.34593328584552
8.95,28.56723702811476
8.932,28.853288714628093
8.968,28.28118534160143
9.051,26.962169231567685
9.027,27.343571480252166
9.044,27.07341155410066
9.034,27.232329157719164
8.854,30.092846022852598
8.923,28.996314557884773
8.966,28.312968862325135
8.938,28.757938152456973
8.91,29.202907442588838
8.985,28.01102541544995
9.017,27.50248908387067
9.053,26.93038571084398
8.992,27.899783092916948
8.947,28.61491230920032
8.902,29.330041525483693
8.923,28.996314557884773
8.925,28.964531037161066
8.898,29.39360856693108
8.914,29.139340401141453
8.957,28.455994705581787
9.013,27.566056125318084
8.926,28.948639276799213
8.883,29.63198497235888
8.874,29.77501081561553
8.849,30.172304824661836
8.868,29.87036137778665
9.003,27.72497372893659
9.029,27.31178795952843
8.983,28.04280893617363
8.928,28.916855756075506
8.862,29.96571193995777
8.878,29.711443774168117
8.936,28.789721673180708
8.838,30.347114188642223
8.92,29.043989838970333
8.992,27.899783092916948
9.007,27.661406687489205
8.978,28.122267737982895
8.95,28.56723702811476
8.928,28.916855756075506
8.908,29.234690963312573
8.889,29.53663441018776
8.971,28.23351006051587
8.951,28.551345267752907
8.894,29.457175608378492
8.911,29.187015682227013
9.031,27.280004438804724
9.153,25.341209674658757
9.061,26.80325162794918
8.969,28.265293581239575
8.887,29.568417930911437
8.826,30.537815312984435
8.885,29.600201451635172
8.855,30.076954262490716
8.828,30.506031792260757
8.871,29.82268609670109
8.942,28.694371111009588
8.982,28.05870069653551
8.999,27.788540770384003
8.963,28.360644143410696
8.971,28.23351006051587
8.967,28.297077101963254
8.974,28.18583477943031
8.948,28.599020548838467
8.973,28.201726539792162
9.034,27.232329157719164
9.071,26.644334024330647
9.092,26.310607056731726
9.06,26.819143388311005
8.953,28.51956174702923
8.908,29.234690963312573
8.889,29.53663441018776
8.9,29.361825046207372
8.908,29.234690963312573
8.918,29.07577335969404
8.926,28.948639276799213
8.92,29.043989838970333
8.941,28.710262871371413
8.995,27.852107811831416
9.013,27.566056125318084
8.986,27.99513365508807
8.951,28.551345267752907
8.944,28.662587590285852
8.937,28.773829912818854
8.945,28.646695829924028
8.921,29.02809807860848
