date,SrCa,sst
1985-01-01,8.83,28.5929480397087
1985-02-01,8.822,28.74010130696366
1985-03-01,8.814,28.887254574218588
1985-05-01,8.84,28.409006455640025
1985-06-01,8.909,27.13980952556612
1985-07-01,8.949,26.40404318929141
1985-08-01,8.923,26.882291307869977
1985-10-01,8.877,27.728422594585894
1985-11-01,8.865,27.94915249546832
1985-12-01,8.847,28.280247346791953
1986-01-01,8.823,28.72170714855677
1986-02-01,8.859,28.05951744590953
1986-03-01,8.828,28.629736356522447
1986-04-01,8.796,29.218349425542225
1986-05-01,8.827,28.648130514929306
1986-06-01,8.874,27.783605069806498
1986-08-01,8.923,26.882291307869977
1986-09-01,8.961,26.18331328840899
1986-10-01,8.92,26.93747378309058
1986-12-01,8.817,28.832072098997983
1987-01-01,8.766,29.770174177748252
1987-02-01,8.888,27.52608685211036
1987-03-01,8.872,27.820393386620246
1987-04-01,8.84,28.409006455640025
1987-05-01,8.791,29.310320217576546
1987-06-01,8.856,28.114699921130136
1987-07-01,8.908,27.158203683973007
1987-08-01,8.957,26.256889922036454
1987-09-01,8.876,27.746816752992782
1987-10-01,8.875,27.76521091139964
1987-11-01,8.854,28.151488237943884
1987-12-01,8.825,28.684918831743055
1988-01-01,8.808,28.9976195246598
1988-02-01,8.797,29.199955267135334
1988-03-01,8.785,29.42068516801776
1988-04-01,8.807,29.016013683066657
1988-05-01,8.8,29.14477279191473
1988-06-01,8.88,27.673240119365285
1988-07-01,8.93,26.753532199021908
1988-08-01,8.862,28.004334970688923
1988-09-01,8.817,28.832072098997983
1988-10-01,8.787,29.38389685120401
1988-11-01,8.807,29.016013683066657
1988-12-01,8.828,28.629736356522447
1989-01-01,8.803,29.08959031669412
1989-02-01,8.794,29.25513774235594
1989-04-01,8.804,29.071196158287265
1989-05-01,8.847,28.280247346791953
1989-06-01,8.851,28.206670713164456
1989-07-01,8.905,27.213386159193615
1989-08-01,8.936,26.643167248580696
1989-10-01,8.847,28.280247346791953
1989-11-01,8.843,28.353823980419417
1989-12-01,8.824,28.70331299014991
1990-01-01,8.799,29.163166950321617
1990-02-01,8.779,29.53105011845897
1990-03-01,8.792,29.29192605916969
1990-05-01,8.874,27.783605069806498
1990-06-01,8.876,27.746816752992782
1990-07-01,8.909,27.13980952556612
1990-08-01,8.91,27.12141536715926
1990-10-01,8.811,28.942437049439196
1990-11-01,8.768,29.733385860934504
1990-12-01,8.802,29.107984475101013
1991-02-01,8.887,27.544481010517217
1991-03-01,8.851,28.206670713164456
1991-04-01,8.855,28.133094079536992
1991-05-01,8.866,27.93075833706146
1991-08-01,8.913,27.066232891938654
1991-09-01,8.887,27.544481010517217
1991-10-01,8.849,28.243459029978204
1991-11-01,8.823,28.72170714855677
1992-01-01,8.787,29.38389685120401
1992-03-01,8.776,29.586232593679576
1992-04-01,8.774,29.623020910493324
1992-05-01,8.779,29.53105011845897
1992-06-01,8.827,28.648130514929306
1992-07-01,8.878,27.710028436179034
1992-08-01,8.931,26.73513804061505
1992-09-01,8.902,27.26856863441422
1992-10-01,8.877,27.728422594585894
1992-11-01,8.815,28.86886041581173
1992-12-01,8.82,28.776889623777375
1993-02-01,8.888,27.52608685211036
1993-03-01,8.848,28.261853188385064
1993-04-01,8.839,28.42740061404688
1993-06-01,8.887,27.544481010517217
1993-07-01,8.923,26.882291307869977
1993-08-01,8.922,26.900685466276833
1993-09-01,8.91,27.12141536715926
1993-10-01,8.861,28.022729129095783
1993-12-01,8.8,29.14477279191473
1994-01-01,8.773,29.641415068900184
1994-02-01,8.752,30.027692395444394
1994-03-01,8.802,29.107984475101013
1994-04-01,8.833,28.537765564488094
1994-05-01,8.853,28.16988239635074
1994-06-01,8.879,27.691634277772177
1994-09-01,8.928,26.79032051583562
1994-12-01,8.803,29.08959031669412
1995-01-01,8.861,28.022729129095783
1995-02-01,8.871,27.838787545027106
1995-03-01,8.851,28.206670713164456
1995-04-01,8.841,28.390612297233165
1995-05-01,8.76,29.880539128189465
1995-06-01,8.883,27.618057644144713
1995-07-01,8.928,26.79032051583562
1995-08-01,8.922,26.900685466276833
1995-09-01,8.852,28.1882765547576
1995-10-01,8.848,28.261853188385064
1995-11-01,8.808,28.9976195246598
1995-12-01,8.807,29.016013683066657
1996-01-01,8.84,28.409006455640025
1996-02-01,8.822,28.74010130696366
1996-03-01,8.803,29.08959031669412
1996-04-01,8.836,28.48258308926749
1996-05-01,8.868,27.89397002024771
1996-06-01,8.875,27.76521091139964
1996-07-01,8.88,27.673240119365285
1996-08-01,8.862,28.004334970688923
1996-10-01,8.829,28.61134219811556
1996-11-01,8.814,28.887254574218588
1996-12-01,8.768,29.733385860934504
1997-01-01,8.81,28.960831207846052
1997-02-01,8.846,28.298641505198812
1997-03-01,8.813,28.905648732625448
1997-04-01,8.78,29.51265596005211
1997-05-01,8.811,28.942437049439196
1997-06-01,8.862,28.004334970688923
1997-07-01,8.912,27.08462705034551
1997-08-01,8.925,26.84550299105623
1997-09-01,8.878,27.710028436179034
1997-10-01,8.842,28.372218138826277
1997-11-01,8.785,29.42068516801776
1997-12-01,8.765,29.788568336155112
1998-01-01,8.776,29.586232593679576
1998-02-01,8.778,29.549444276865827
1998-03-01,8.775,29.604626752086435
1998-04-01,8.773,29.641415068900184
1998-05-01,8.803,29.08959031669412
1998-07-01,8.849,28.243459029978204
1998-08-01,8.866,27.93075833706146
1998-09-01,8.848,28.261853188385064
1998-10-01,8.79,29.328714375983438
1998-11-01,8.733,30.377181405174888
1998-12-01,8.758,29.917327445003213
1999-01-01,8.776,29.586232593679576
1999-02-01,8.786,29.402291009610902
1999-03-01,8.785,29.42068516801776
1999-04-01,8.8,29.14477279191473
1999-05-01,8.821,28.75849546537052
1999-06-01,8.845,28.31703566360567
1999-07-01,8.902,27.26856863441422
1999-08-01,8.936,26.643167248580696
1999-09-01,8.914,27.047838733531794
1999-11-01,8.726,30.505940514022956
1999-12-01,8.758,29.917327445003213
2000-02-01,8.811,28.942437049439196
2000-03-01,8.83,28.5929480397087
2000-04-01,8.836,28.48258308926749
2000-05-01,8.842,28.372218138826277
2000-06-01,8.872,27.820393386620246
2000-08-01,8.947,26.44083150610516
2000-09-01,8.842,28.372218138826277
2000-10-01,8.815,28.86886041581173
2000-11-01,8.806,29.03440784147355
2001-01-01,8.846,28.298641505198812
2001-03-01,8.822,28.74010130696366
2001-04-01,8.809,28.979225366252944
2001-05-01,8.828,28.629736356522447
2001-06-01,8.877,27.728422594585894
2001-08-01,8.899,27.323751109634824
2001-09-01,8.862,28.004334970688923
2001-10-01,8.827,28.648130514929306
2001-11-01,8.784,29.439079326424615
2002-01-01,8.766,29.770174177748252
2002-03-01,8.779,29.53105011845897
2002-07-01,8.931,26.73513804061505
2002-08-01,8.926,26.82710883264937
2002-10-01,8.799,29.163166950321617
2002-11-01,8.742,30.211633979513067
2002-12-01,8.714,30.72667041490538
2003-01-01,8.728,30.46915219720924
2003-02-01,8.741,30.23002813791996
2003-04-01,8.772,29.65980922730704
2003-06-01,8.861,28.022729129095783
2003-07-01,8.876,27.746816752992782
2003-08-01,8.899,27.323751109634824
2003-09-01,8.883,27.618057644144713
2003-10-01,8.834,28.519371406081238
2003-11-01,8.812,28.924042891032336
2003-12-01,8.731,30.413969721988636
2004-01-01,8.781,29.494261801645223
2004-02-01,8.831,28.574553881301842
2004-03-01,8.797,29.199955267135334
2004-04-01,8.763,29.82535665296886
2004-05-01,8.839,28.42740061404688
2004-06-01,8.873,27.80199922821339
2004-08-01,8.911,27.103021208752402
2004-09-01,8.867,27.91236417865457
2004-10-01,8.811,28.942437049439196
2004-11-01,8.768,29.733385860934504
2004-12-01,8.747,30.119663187478746
2005-01-01,8.798,29.181561108728477
2005-03-01,8.771,29.6782033857139
2005-04-01,8.738,30.285210613140567
2005-05-01,8.771,29.6782033857139
2005-06-01,8.821,28.75849546537052
2005-07-01,8.851,28.206670713164456
2005-09-01,8.879,27.691634277772177
2005-10-01,8.841,28.390612297233165
2005-11-01,8.814,28.887254574218588
2005-12-01,8.773,29.641415068900184
2006-03-01,8.845,28.31703566360567
2006-04-01,8.828,28.629736356522447
2006-05-01,8.837,28.46418893086063
2006-06-01,8.862,28.004334970688923
2006-07-01,8.942,26.532802298139483
2006-08-01,8.969,26.03616002115406
2006-09-01,8.947,26.44083150610516
2006-10-01,8.864,27.967546653875175
2006-11-01,8.764,29.806962494562
2006-12-01,8.774,29.623020910493324
2007-01-01,8.773,29.641415068900184
2007-02-01,8.775,29.604626752086435
2007-03-01,8.783,29.457473484831507
2007-04-01,8.792,29.29192605916969
2007-05-01,8.791,29.310320217576546
2007-06-01,8.845,28.31703566360567
2007-07-01,8.903,27.250174476007327
2007-09-01,8.895,27.397327743262288
2007-10-01,8.848,28.261853188385064
2007-11-01,8.78,29.51265596005211
2007-12-01,8.727,30.4875463556161
2008-01-01,8.777,29.56783843527272
2008-02-01,8.83,28.5929480397087
2008-03-01,8.781,29.494261801645223
2008-04-01,8.732,30.395575563581776
2008-05-01,8.791,29.310320217576546
2008-06-01,8.866,27.93075833706146
2008-07-01,8.935,26.661561406987552
2008-08-01,8.937,26.624773090173836
2008-09-01,8.892,27.452510218482896
2008-10-01,8.839,28.42740061404688
2008-12-01,8.756,29.95411576181693
2009-01-01,8.794,29.25513774235594
2009-03-01,8.77,29.696597544120788
2009-04-01,8.741,30.23002813791996
2009-05-01,8.762,29.843750811375717
2009-06-01,8.801,29.12637863350787
2009-07-01,8.849,28.243459029978204
2009-09-01,8.875,27.76521091139964
2009-10-01,8.834,28.519371406081238
2009-11-01,8.759,29.89893328659632
2009-12-01,8.78,29.51265596005211
2010-01-01,8.806,29.03440784147355
2010-02-01,8.777,29.56783843527272
2010-03-01,8.744,30.174845662699354
2010-04-01,8.765,29.788568336155112
2010-05-01,8.817,28.832072098997983
2010-06-01,8.859,28.05951744590953
2010-07-01,8.881,27.65484596095843
2010-08-01,8.853,28.16988239635074
2010-09-01,8.806,29.03440784147355
2010-10-01,8.8,29.14477279191473
2010-11-01,8.783,29.457473484831507
2011-01-01,8.801,29.12637863350787
2011-02-01,8.854,28.151488237943884
2011-03-01,8.876,27.746816752992782
2011-04-01,8.836,28.48258308926749
2011-06-01,8.901,27.286962792821075
2011-07-01,8.934,26.679955565394444
2011-08-01,8.94,26.56959061495323
