Sr/Ca,sst
8.84,27.381958037922104
8.83,27.462920075282284
8.83,27.462920075282284
8.89,26.97714785112116
8.92,26.73426173904062
8.92,26.73426173904062
8.89,26.97714785112116
8.87,27.13907192584155
8.88,27.058109888481354
8.9,26.89618581376098
8.85,27.30099600056191
8.85,27.30099600056191
8.85,27.30099600056191
8.85,27.30099600056191
8.85,27.30099600056191
8.87,27.13907192584155
8.91,26.8152237764008
8.93,26.653299701680425
8.92,26.73426173904062
8.91,26.8152237764008
8.9,26.89618581376098
8.9,26.89618581376098
8.86,27.22003396320173
8.81,27.624844150002644
8.79,27.786768224723033
8.86,27.22003396320173
8.93,26.653299701680425
8.94,26.572337664320244
8.92,26.73426173904062
8.91,26.8152237764008
8.9,26.89618581376098
8.88,27.058109888481354
8.8,27.70580618736284
8.81,27.624844150002644
8.8,27.70580618736284
8.8,27.70580618736284
8.83,27.462920075282284
8.85,27.30099600056191
8.86,27.22003396320173
8.86,27.22003396320173
8.87,27.13907192584155
8.83,27.462920075282284
8.77,27.948692299443408
8.76,28.02965433680359
8.78,27.867730262083214
8.81,27.624844150002644
8.84,27.381958037922104
8.87,27.13907192584155
8.87,27.13907192584155
8.85,27.30099600056191
8.85,27.30099600056191
8.84,27.381958037922104
8.82,27.543882112642464
8.83,27.462920075282284
8.81,27.624844150002644
8.82,27.543882112642464
8.83,27.462920075282284
8.83,27.462920075282284
8.85,27.30099600056191
8.87,27.13907192584155
8.84,27.381958037922104
8.83,27.462920075282284
8.83,27.462920075282284
8.83,27.462920075282284
8.89,26.97714785112116
8.92,26.73426173904062
8.89,26.97714785112116
8.87,27.13907192584155
8.83,27.462920075282284
8.81,27.624844150002644
8.82,27.543882112642464
8.81,27.624844150002644
8.79,27.786768224723033
8.76,28.02965433680359
8.72,28.353502486244324
8.73,28.272540448884143
8.75,28.11061637416377
8.76,28.02965433680359
8.82,27.543882112642464
8.84,27.381958037922104
8.84,27.381958037922104
8.82,27.543882112642464
8.79,27.786768224723033
8.74,28.19157841152395
8.73,28.272540448884143
8.75,28.11061637416377
8.8,27.70580618736284
8.82,27.543882112642464
8.83,27.462920075282284
8.81,27.624844150002644
8.8,27.70580618736284
8.8,27.70580618736284
8.8,27.70580618736284
8.8,27.70580618736284
8.79,27.786768224723033
8.78,27.867730262083214
8.81,27.624844150002644
8.85,27.30099600056191
8.88,27.058109888481354
8.88,27.058109888481354
8.89,26.97714785112116
8.89,26.97714785112116
8.87,27.13907192584155
8.84,27.381958037922104
8.8,27.70580618736284
8.78,27.867730262083214
8.74,28.19157841152395
8.78,27.867730262083214
8.8,27.70580618736284
8.84,27.381958037922104
8.86,27.22003396320173
8.8,27.70580618736284
8.74,28.19157841152395
8.73,28.272540448884143
8.73,28.272540448884143
8.75,28.11061637416377
8.76,28.02965433680359
8.76,28.02965433680359
8.76,28.02965433680359
8.78,27.867730262083214
8.79,27.786768224723033
8.8,27.70580618736284
8.77,27.948692299443408
8.75,28.11061637416377
8.76,28.02965433680359
8.76,28.02965433680359
8.77,27.948692299443408
8.8,27.70580618736284
8.82,27.543882112642464
8.84,27.381958037922104
8.85,27.30099600056191
8.83,27.462920075282284
8.81,27.624844150002644
8.77,27.948692299443408
8.71,28.434464523604504
8.74,28.19157841152395
8.8,27.70580618736284
8.83,27.462920075282284
8.84,27.381958037922104
8.81,27.624844150002644
8.79,27.786768224723033
8.78,27.867730262083214
8.78,27.867730262083214
8.78,27.867730262083214
8.78,27.867730262083214
8.78,27.867730262083214
8.79,27.786768224723033
8.79,27.786768224723033
8.84,27.381958037922104
8.88,27.058109888481354
8.89,26.97714785112116
8.84,27.381958037922104
8.77,27.948692299443408
8.76,28.02965433680359
8.76,28.02965433680359
8.76,28.02965433680359
8.79,27.786768224723033
8.81,27.624844150002644
8.8,27.70580618736284
8.79,27.786768224723033
8.8,27.70580618736284
8.79,27.786768224723033
8.77,27.948692299443408
8.77,27.948692299443408
8.77,27.948692299443408
8.77,27.948692299443408
8.76,28.02965433680359
8.74,28.19157841152395
8.77,27.948692299443408
8.81,27.624844150002644
8.84,27.381958037922104
8.84,27.381958037922104
8.85,27.30099600056191
8.87,27.13907192584155
8.84,27.381958037922104
8.75,28.11061637416377
8.67,28.758312673045253
8.7,28.5154265609647
8.74,28.19157841152395
8.77,27.948692299443408
8.79,27.786768224723033
8.8,27.70580618736284
8.82,27.543882112642464
8.78,27.867730262083214
8.72,28.353502486244324
8.7,28.5154265609647
8.71,28.434464523604504
8.73,28.272540448884143
8.76,28.02965433680359
8.79,27.786768224723033
8.83,27.462920075282284
8.82,27.543882112642464
8.81,27.624844150002644
8.76,28.02965433680359
8.75,28.11061637416377
8.73,28.272540448884143
8.72,28.353502486244324
8.74,28.19157841152395
8.76,28.02965433680359
8.78,27.867730262083214
8.81,27.624844150002644
8.82,27.543882112642464
8.82,27.543882112642464
8.82,27.543882112642464
8.81,27.624844150002644
8.8,27.70580618736284
8.77,27.948692299443408
8.75,28.11061637416377
8.75,28.11061637416377
8.76,28.02965433680359
8.81,27.624844150002644
