date,SrCa,sst
1985-01-01,8.84,27.23465986394559
1985-02-01,8.83,27.308791394730495
1985-03-01,8.83,27.308791394730495
1985-05-01,8.89,26.864002210021074
1985-06-01,8.92,26.64160761766637
1985-07-01,8.92,26.64160761766637
1985-08-01,8.89,26.864002210021074
1985-09-01,8.87,27.012265271590888
1985-10-01,8.88,26.938133740805974
1985-11-01,8.9,26.78987067923617
1986-01-01,8.85,27.16052833316069
1986-02-01,8.85,27.16052833316069
1986-03-01,8.85,27.16052833316069
1986-04-01,8.85,27.16052833316069
1986-05-01,8.85,27.16052833316069
1986-06-01,8.87,27.012265271590888
1986-07-01,8.91,26.71573914845127
1986-09-01,8.93,26.567476086881467
1986-10-01,8.92,26.64160761766637
1986-11-01,8.91,26.71573914845127
1986-12-01,8.9,26.78987067923617
1987-01-01,8.9,26.78987067923617
1987-02-01,8.86,27.08639680237579
1987-03-01,8.81,27.4570544563003
1987-04-01,8.79,27.605317517870112
1987-05-01,8.86,27.08639680237579
1987-07-01,8.93,26.567476086881467
1987-08-01,8.94,26.493344556096567
1987-09-01,8.92,26.64160761766637
1987-10-01,8.91,26.71573914845127
1987-11-01,8.9,26.78987067923617
1987-12-01,8.88,26.938133740805974
1988-02-01,8.8,27.5311859870852
1988-03-01,8.81,27.4570544563003
1988-04-01,8.8,27.5311859870852
1988-05-01,8.8,27.5311859870852
1988-06-01,8.83,27.308791394730495
1988-07-01,8.85,27.16052833316069
1988-08-01,8.86,27.08639680237579
1988-09-01,8.86,27.08639680237579
1988-10-01,8.87,27.012265271590888
1988-12-01,8.83,27.308791394730495
1989-02-01,8.77,27.753580579439916
1989-03-01,8.76,27.827712110224816
1989-04-01,8.78,27.679449048655012
1989-05-01,8.81,27.4570544563003
1989-06-01,8.84,27.23465986394559
1989-07-01,8.87,27.012265271590888
1989-08-01,8.87,27.012265271590888
1989-09-01,8.85,27.16052833316069
1989-10-01,8.85,27.16052833316069
1989-11-01,8.84,27.23465986394559
1989-12-01,8.82,27.382922925515395
1990-02-01,8.83,27.308791394730495
