Sr/Ca,sst
8.932,26.84119033537263
8.952,26.413549695849724
9.013,25.242140997059778
9.329,22.37808515373763
9.357,22.383374450160318
9.243,22.625532039697646
9.153,23.310527505900154
9.026,25.018370884200976
8.987,25.716954200976488
8.889,27.83348013435443
8.89,27.809273977416524
8.847,28.89871367507203
8.916,27.19879518963762
8.948,26.497356452348413
9.101,23.904905890010923
9.293,22.43325400034837
9.328,22.37867624671162
9.146,23.382067605799875
9.108,23.816421040342448
9.046,24.691860814725715
8.974,25.967997292033942
8.906,27.429291294885843
8.876,28.15305532447701
8.915,27.22160273230884
9.007,25.348485703502774
9.382,22.42373480362221
9.359,22.38536604273895
9.208,22.840143541150155
9.128,23.57813125537723
9.107,23.828900354582856
9.01,25.29507128242676
8.985,25.754984493564734
8.939,26.689068536572904
8.943,26.603325237242643
8.94,26.667552022455766
9.034,24.885184799303715
8.928,26.929300520385823
8.964,26.167293540566334
8.99,25.660312208517553
9.075,24.25664103846475
9.175,23.10284711312306
9.317,22.388728597951285
9.273,22.494027359165102
9.18,23.059278041663674
9.082,24.158365888929893
9.025,25.035261212667592
9.003,25.42045803159226
8.971,26.02722134160149
8.929,26.90719228484795
8.943,26.603325237242643
8.967,26.106939841014082
8.991,25.641539130076126
9.034,24.885184799303715
9.178,23.0765442916786
9.333,22.376258710403818
9.355,22.381598029006
9.29,22.44099828633216
9.162,23.22242046311885
9.042,24.755441457215966
9.01,25.29507128242676
8.968,26.086929526876247
8.939,26.689068536572904
8.925,26.99594798413682
8.929,26.90719228484795
8.977,25.909257378174516
9.039,24.803691764075666
9.155,23.290571613064913
9.365,22.392631849032114
9.291,22.43836306481444
9.194,22.944439091478216
9.09,24.04927900370285
8.974,25.967997292033942
8.954,26.371969074738445
8.904,27.476036030212526
8.876,28.15305532447701
8.9,27.570171015142932
9.088,24.07622796787109
9.245,22.615258861015718
9.361,22.38757280674463
9.348,22.37707502994408
9.247,22.60520085375947
9.138,23.46705529135579
8.974,25.967997292033942
8.903,27.499489087161237
8.907,27.405999616507415
8.923,27.040648590919773
8.933,26.819297271261348
8.978,25.889784992601108
9.004,25.40238426028509
9.1,23.91776175424593
9.257,22.55813838886479
9.353,22.38003677927736
9.335,22.375668245876113
9.281,22.46713595853089
9.23,22.69755250462731
9.202,22.883550605593882
9.095,23.982847968270107
9.092,24.02254521096029
9.028,24.984751605838028
8.945,26.560776344716032
8.903,27.499489087161237
8.922,27.063079583595936
8.97,26.04707027716995
9.051,24.61359535088286
9.118,23.694586505039297
9.233,22.680125504490206
9.371,22.401834198155484
9.298,22.42142271416924
9.196,22.928894212868727
8.979,25.870366399884006
8.976,25.928783556604685
8.958,26.289453346792016
8.923,27.040648590919773
8.931,26.863137192341128
8.919,27.130695318763173
8.998,25.511633780973625
9.046,24.691860814725715
9.2,22.898449969927242
9.289,22.443687300706188
9.306,22.405289884817194
9.217,22.77866396229092
9.152,23.32058614160178
9.078,24.21420036009704
8.984,25.774080329143544
8.903,27.499489087161237
8.845,28.951805967454675
8.843,29.005113431262544
8.89,27.809273977416524
8.909,27.359577638319024
9.045,24.707675286063477
9.173,23.120651291702416
9.313,22.39399778409461
9.242,22.63074931832307
