Sr/Ca,sst
8.997,26.2286432705791
9.104,24.79487324292316
9.113,24.674275763961433
9.19,23.642497332844542
9.14,24.31248332707628
9.099,24.861871842346318
9.012,26.027647472309567
8.893,27.62221413858113
8.865,27.997406295350913
8.977,26.496637668271788
8.921,27.247021981811372
8.968,26.617235147233515
9.091,24.969069601423413
9.184,23.722895652152346
9.25,22.83851413976643
9.241,22.959111618728144
9.152,24.15168668846067
9.171,23.8970920106526
8.971,26.577035987579606
8.914,27.340820021003807
8.895,27.59541469881188
8.986,26.376040189310075
9.22,23.240505736305465
9.176,23.830093411229413
9.211,23.361103215267192
9.106,24.768073803153868
9.065,25.31746231842392
8.84,28.332399292466803
8.839,28.34579901235142
8.923,27.22022254204208
9.064,25.33086203830854
9.148,24.205285567999198
9.205,23.441501534574996
9.238,22.999310778382053
9.18,23.776494531690886
8.988,26.34924074954081
9.005,26.121445511502003
8.917,27.3006208613499
8.86,28.0644048947741
8.837,28.372598452120698
8.879,27.809810216966028
8.922,27.233622261926712
8.985,26.38943990919472
8.997,26.2286432705791
9.056,25.438059797385634
9.126,24.50007940546118
9.132,24.41968108615336
9.181,23.763094811806255
9.171,23.8970920106526
9.179,23.789894251575504
9.087,25.02266848096194
9.062,25.35766147807783
8.98,26.45643850861788
8.948,26.885229544926204
8.981,26.44303878873326
8.936,27.046026183541827
8.89,27.662413298235037
8.946,26.912028984695482
9.077,25.156665679808285
9.152,24.15168668846067
9.182,23.74969509192161
9.255,22.771515540343245
9.269,22.58391946195836
9.26,22.704516940920072
9.177,23.816693691344796
9.11,24.71447492361534
9.065,25.31746231842392
9.031,25.773052794501496
8.946,26.912028984695482
8.953,26.818230945503046
8.951,26.845030385272295
9.086,25.03606820084657
9.18,23.776494531690886
9.272,22.54372030230445
9.283,22.396323383573474
9.263,22.664317781266178
9.16,24.044488929383576
9.074,25.196864839462194
9.023,25.88025055357859
8.996,26.242042990463716
8.991,26.309041589886903
9.045,25.58545671611661
9.071,25.237063999116103
9.184,23.722895652152346
9.235,23.039509938035962
9.243,22.932312178958867
9.228,23.133307977228398
9.188,23.66929677261379
9.183,23.736295372036977
9.121,24.567078004884337
9.018,25.94724915300175
9.049,25.531857836578084
9.242,22.9457118988435
9.308,22.0613303864576
9.201,23.495100414113537
9.179,23.789894251575504
9.089,24.995869041192663
9.022,25.89365027346321
8.994,26.268842430233008
8.98,26.45643850861788
9.066,25.30406259853926
9.19,23.642497332844542
9.234,23.05290965792058
9.311,22.02113122680369
9.262,22.677717501150795
9.185,23.7094959322677
9.105,24.7814735230385
9.059,25.397860637731725
8.892,27.635613858465774
8.995,26.255442710348376
9.062,25.35766147807783
9.096,24.902071002000227
9.177,23.816693691344796
9.247,22.878713299420326
9.178,23.803293971460135
9.192,23.61569789307525
9.16,24.044488929383576
9.131,24.433080806037992
9.064,25.33086203830854
9.043,25.612256155885888
8.985,26.38943990919472
8.918,27.287221141465267
8.885,27.729411897658224
9.09,24.98246932130803
9.177,23.816693691344796
9.194,23.588898453305973
9.175,23.843493131114045
9.193,23.602298173190633
9.082,25.089667080385098
8.992,26.295641870002257
8.925,27.193423102272803
8.882,27.769611057312133
8.884,27.742811617542856
9.037,25.692654475193677
9.148,24.205285567999198
