Sr/Ca,sst
9.189,27.154469682371747
9.312,26.7050265167128
9.324,26.661178402989975
9.247,26.94253713271143
9.132,27.36274822255517
8.991,27.87796355879835
8.935,28.08258808950486
8.907,28.184900354858122
9.011,27.804883369260317
9.133,27.359094213078265
9.255,26.913305056896213
9.284,26.807338782066054
9.18,27.187355767663867
9.093,27.505254592154344
8.938,28.071626061074156
8.949,28.031431956828236
8.917,28.1483602600891
8.915,28.155668279042906
9.167,27.234857890863594
9.286,26.800030763112254
9.266,26.873110952650293
9.164,27.2458199192943
9.059,27.629490914369015
8.964,27.976621814674708
8.873,28.309136677072793
8.864,28.342022762364905
8.902,28.203170402242634
9.118,27.413904355231793
9.158,27.267743976155714
8.905,28.19220837381193
8.856,28.37125483818013
8.852,28.38587087608773
8.933,28.089896108458667
9.061,27.622182895415207
9.212,27.070427464403004
9.308,26.719642554620407
9.281,26.81830081049676
9.041,27.695263084953247
8.982,27.91084964409047
8.995,27.86334752089075
8.959,27.99489186205922
8.94,28.064318042120355
9.069,27.59295081959999
9.297,26.759836658866327
9.122,27.399288317324185
9.039,27.702571103907054
9.194,27.136199634987236
9.264,26.8804189716041
9.125,27.38832628889348
8.992,27.874309549321445
8.91,28.173938326427418
8.893,28.236056487534746
9.036,27.71353313233776
9.209,27.081389492833708
9.234,26.990039255911157
9.088,27.523524639538856
8.986,27.89623360618286
8.913,28.162976297996707
8.949,28.031431956828236
9.027,27.746419217629878
