date,SrCa,sst
2004-01-25,9.069,25.328438683329843
2004-03-02,9.034,25.84316799745854
2004-04-07,9.122,24.633835089336838
2004-05-14,9.244,23.423317895708696
2004-07-26,9.327,22.90929220290342
2004-09-01,9.337,22.86427919186684
2004-10-01,9.278,23.182446651914073
2004-11-01,9.218,23.635891790048603
2004-12-01,9.184,23.95098303914203
2005-01-01,9.126,24.58555976511418
2005-01-31,9.09,25.040993919909575
2005-03-28,9.019,26.077409658268987
2005-05-20,9.162,24.177277143096788
2005-06-15,9.245,23.415633138495707
2005-07-11,9.335,22.872990735229738
2005-09-01,9.371,22.738448956285172
2005-10-01,9.358,22.781594325417778
2005-11-01,9.251,23.370288624682125
2005-12-01,9.158,24.220313408122095
2006-01-01,9.084,25.121483789173137
2006-03-02,8.993,26.50282033250961
2006-04-08,9.032,25.873927248277695
2006-06-02,9.137,24.455804167833328
2006-07-02,9.194,23.853943259685096
2006-08-01,9.263,23.283528891453326
2006-09-01,9.285,23.13807638150532
2006-09-24,9.256,23.33350204461484
2006-10-17,9.274,23.208601503969433
2006-11-08,9.204,23.760541715782313
2006-12-01,9.182,23.970827583300075
2006-12-24,9.109,24.794750143347915
2007-01-16,9.071,25.30037172682038
2007-02-07,9.036,25.812554276061114
2007-03-02,8.969,26.91733652205484
2007-05-02,9.008,26.254389553038934
2007-06-02,9.102,24.883943475780043
2007-07-02,9.178,24.01095325988224
2007-08-01,9.237,23.478129902157036
2007-09-01,9.259,23.31186668484101
2007-09-27,9.228,23.551222011474756
2007-10-23,9.204,23.760541715782313
2007-12-14,9.035,25.82784294558186
2008-01-09,8.966,26.97062453114726
2008-02-04,8.947,27.315719167707254
2008-03-02,8.927,27.693165798535663
2008-04-16,9.008,26.254389553038934
2008-06-01,9.082,25.14860480443866
2008-07-17,9.14,24.421180307132143
2008-09-01,9.203,23.769718149572657
2008-10-01,9.192,23.873060156732304
2008-10-31,9.163,24.16660903272941
2008-12-01,9.114,24.732132090848253
2009-01-01,9.024,25.99841954577712
2009-01-31,8.953,27.205323002190713
2009-03-28,8.947,27.315719167707254
2009-04-24,8.966,26.97062453114726
2009-05-20,9.02,26.0615388710598
2009-06-14,9.08,25.17587134912636
2009-07-11,9.16,24.198722510898303
2009-08-06,9.191,23.88267317878914
2009-09-01,9.219,23.627261091591414
2009-10-23,9.103,24.87109242408043
2009-11-18,9.042,25.72158628840226
2009-12-14,9.034,25.84316799745854
2010-02-04,8.993,26.50282033250961
2010-03-02,8.989,26.570451069879063
2010-05-02,9.023,26.014144803564264
2010-07-02,9.088,25.06767834690861
2010-09-01,9.15,24.308132291238476
2010-09-27,9.145,24.364201519741144
2010-10-23,9.117,24.69499784761507
2010-11-18,9.039,25.766906561631902
2010-12-14,8.962,27.042184562914784
2011-02-04,8.879,28.65841371676244
2011-03-02,8.862,29.020373605903032
2011-03-28,8.888,28.471044628697957
2011-04-24,8.933,27.57840375035443
2011-05-20,9.043,25.706552295370155
2011-07-11,9.139,24.43268521167703
2011-08-06,9.144,24.375524512508115
2011-09-01,9.173,24.061928958609435
2011-10-17,9.103,24.87109242408043
2011-12-01,9.012,26.18952387469051
2012-01-16,8.923,27.770401477767102
2012-03-02,8.848,29.326353191641203
2012-04-01,8.873,28.78496364813818
2012-05-01,8.909,28.045310531875153
2012-06-01,9.025,25.98273067034526
2012-07-02,9.111,24.76959377528152
2012-08-01,9.156,24.242049834767794
2012-09-01,9.171,24.082573914589055
2012-10-07,9.134,24.490755469734275
2012-11-13,9.084,25.121483789173137
2013-03-02,8.899,28.246040024617216
2013-04-09,8.966,26.97062453114726
2013-05-17,9.013,26.17339841099216
2013-06-24,9.017,26.109260379754645
2013-08-01,9.087,25.081075133941216
