date,d18O,sst
1985-01-01,-3.793141953,21.36531502143143
1985-02-01,-4.029101277,22.43051818062025
1985-03-01,-4.347937129,23.140333329329362
1985-04-01,-4.105150963,22.675973646054096
1985-05-01,-4.093093236,22.64023873603112
1985-06-01,-3.948935032,22.120128035418592
1985-07-01,-3.866701429,21.746656040710036
1985-08-01,-3.690450438,20.758304412995486
1985-09-01,-3.619366169,20.287179610153867
1985-11-01,-3.707415336,20.86458208529946
1985-12-01,-3.933165077,22.052829913482526
1986-02-01,-4.042270237,22.476437014324738
1986-03-01,-3.990172851,22.286414552320743
1986-04-01,-3.973676767,22.22157934206637
1986-05-01,-3.983369822,22.25994829656886
1986-06-01,-4.007805675,22.353235645867592
1986-08-01,-3.653063835,20.515713259882464
1986-09-01,-3.491115808,19.3317416515481
1986-10-01,-3.662715773,20.57944598851027
1986-11-01,-4.056811639,22.52547958357867
1986-12-01,-4.08466613,22.614551774519445
1987-01-01,-4.105918147,22.67820673450346
1987-03-01,-4.078785694,22.596280421600703
1987-04-01,-4.044418269,22.483791293499806
1987-05-01,-4.023365935,22.410072466937653
1987-06-01,-4.024020171,22.41241843903922
1987-07-01,-3.929752285,22.037995861416864
1987-08-01,-3.745088482,21.09209870775904
1987-10-01,-3.755755727,21.154393931771224
1987-11-01,-3.788559011,21.340079545350786
1987-12-01,-3.906083585,21.93247388112929
1988-01-01,-4.082043756,22.606438921146218
1988-02-01,-4.279964632,23.059332957858228
1988-03-01,-4.356151102,23.14754073430339
1988-04-01,-4.126209483,22.735507654304655
1988-05-01,-4.128909391,22.742875947433628
1988-06-01,-4.056932734,22.525880667826087
1988-08-01,-3.948680421,22.119057777672552
1988-09-01,-3.761833429,21.189467142491928
1988-11-01,-3.93349304,22.054250378779923
1988-12-01,-4.148495529,22.794528091682064
1989-01-01,-4.273469024,23.049597442311565
1989-02-01,-4.520869931,23.174595688546347
1989-03-01,-4.390264059,23.17151847324772
1989-04-01,-4.221095287,22.958384779154574
1989-05-01,-4.247634063,23.007431642634614
1989-06-01,-4.140981403,22.775086106903686
1989-07-01,-4.141235138,22.775750216294817
1989-09-01,-3.764833212,21.206665990558637
1989-10-01,-3.878498356,21.80365988200347
1989-11-01,-3.873867312,21.781419112795504
1989-12-01,-4.028724116,22.42918198754256
1990-01-01,-4.277563857,23.05577525783556
1990-02-01,-4.434341061,23.18828635066559
1990-03-01,-4.340405226,23.133235297352044
1990-04-01,-4.164152755,22.83354321163256
1990-05-01,-4.127602805,22.739317664126478
1990-06-01,-4.048845196,22.498827849117394
1990-08-01,-3.83566141,21.591184035194363
1990-09-01,-3.504902363,19.44095678086827
1990-12-01,-4.168016083,22.842858939219486
1991-01-01,-4.158978932,22.82087462562502
1991-02-01,-4.233552737,22.982131105717748
1991-03-01,-4.429409813,23.187206516157513
1991-04-01,-4.424735717,23.185997831502675
1991-05-01,-4.26184093,23.031300288890343
1991-06-01,-4.071931113,22.57462224775017
1991-07-01,-3.848684043,21.657378952255144
1991-09-01,-3.670403,20.629655817151548
1991-10-01,-3.793417328,21.366825826601836
1991-11-01,-3.957128723,22.154284740941744
1991-12-01,-4.197836586,22.910623154872532
1992-01-01,-4.193264925,22.90071054782156
1992-03-01,-4.073687906,22.580210058838322
1992-04-01,-4.083514154,22.61099488561948
1992-05-01,-4.140189835,22.773010896130348
1992-06-01,-3.99872555,22.31914601879799
1992-07-01,-3.98263335,22.257060252683715
1992-08-01,-4.004470857,22.340794714452493
1992-09-01,-3.494165897,19.356039078616284
1992-11-01,-3.78440473,21.31705474971868
1992-12-01,-4.025690246,22.418391017110352
1993-01-01,-3.973054371,22.21908917344697
1993-02-01,-3.965954388,22.19045644831328
1993-03-01,-3.978059366,22.23902339107776
1993-04-01,-4.027090312,22.423380252557298
1993-05-01,-4.031305715,22.438304517444028
1993-06-01,-3.970054427,22.20704176279399
1993-07-01,-3.88731287,21.845503146394865
1993-08-01,-3.844995424,21.638771448671417
1993-11-01,-4.061061567,22.539483594941178
1993-12-01,-4.228416577,22.972495667301942
1994-02-01,-4.403189616,23.17809624742973
1994-03-01,-4.409539546,23.180822914005528
1994-04-01,-4.460488373,23.190660634477116
1994-05-01,-4.567157932,23.14191717323086
1994-06-01,-4.673827491,22.999320443733634
1994-07-01,-4.78049705,22.762870445985477
1994-08-01,-4.887166609,22.432567179986336
1994-09-01,-4.993836168,22.008410645736234
