Reef,Site,Latitude,Longitude
Browse Island,BRS05,-14.11,123.54
,BRS07,-14.12,123.55
Cocos (Keeling) Islands,DAR Long,-12.09,96.88
,DAR3,-12.10,96.88
Ningaloo Reef,Tantabiddi (08TNT & 13TNT),-21.91,113.97
,Bundegi (08BND & 13BND),-21.87,114.16
,TNT07C,-21.89,113.96
,BUN05A,-21.84,114.18
Houtman Abrolhos,HAB10A,-28.46,113.75
,HAB05B,-28.46,113.77
Scott Reef,SCOTT_RPO_1,-14.06,121.78
,SCOTT_SL4,-14.02,121.86
,SCOTT_SS3,-13.64,122.03
,SCOTTNR1,-13.99,121.88
,SCOTTSL1,-14.08,121.95
,SCOTTSL2,-14.19,121.80
,SCOTTSL3,-14.07,121.78
,SCOTTSS1,-14.08,121.98
,SCOTTSS2,-13.92,121.92
