Reef,Site,Latitude,Longitude
Browse Island,BRS05,-14.11,123.54
Browse Island,BRS07,-14.12,123.55
Cocos (Keeling) Islands,DAR Long,-12.09,96.88
Cocos (Keeling) Islands,DAR3,-12.1,96.88
Ningaloo Reef,Tantabiddi (08TNT & 13TNT),-21.91,113.97
Ningaloo Reef,Bundegi (08BND & 13BND),-21.87,114.16
Ningaloo Reef,TNT07C,-21.89,113.96
Ningaloo Reef,BUN05A,-21.84,114.18
Houtman Abrolhos,HAB10A,-28.46,113.75
Houtman Abrolhos,HAB05B,-28.46,113.77
Scott Reef,SCOTT_RPO_1,-14.06,121.78
Scott Reef,SCOTT_SL4,-14.02,121.86
Scott Reef,SCOTT_SS3,-13.64,122.03
Scott Reef,SCOTTNR1,-13.99,121.88
Scott Reef,SCOTTSL1,-14.08,121.95
Scott Reef,SCOTTSL2,-14.19,121.8
Scott Reef,SCOTTSL3,-14.07,121.78
Scott Reef,SCOTTSS1,-14.08,121.98
Scott Reef,SCOTTSS2,-13.92,121.92
