year,Bundegi Sr/Ca
1961,9.13565966
1962,9.093387487
1963,9.137093826
1964,9.140016494
1965,9.158020119
1966,9.081544629
1967,9.074366213
1968,9.086990475
1969,9.104824192
1970,9.116124355
1971,9.110269746
1972,9.135107479
1973,9.114409049
1974,9.108253475
1975,9.107373796
1976,9.079133108
1977,9.104854092
1978,9.120470379
1979,9.098256447
1980,9.094382555
1981,9.150030293
1982,9.071413729
1983,9.071646208
1984,9.108227079
1985,9.11508831
1986,9.165622573
1987,9.149088715
1988,9.178971823
1989,9.127656214
1990,9.147732841
1991,9.148747462
1992,9.163894324
1993,9.148164326
1994,9.085881784
1995,9.08575647
1996,9.108801542
1997,9.073904702
1998,9.084957108
1999,9.044577191
2000,9.069855691
2001,9.059075122
2002,9.070488356
2003,9.05717185
2004,9.096109259
2005,9.085966454
2006,9.076137072
2007,9.036968829
2008,9.056367717
