sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,Bundegi_DHM
28.410736593434205,-21.87,114.156,1998-04-01,08BND,Coral Core (CCI),28.419901124775947,1998 Apr,-0.009164531341742332,0
28.252175929160057,-21.87,114.156,1998-05-01,08BND,Coral Core (CCI),28.419901124775947,1998 May,-0.1677251956158905,0
27.817710425338735,-21.87,114.156,1998-06-01,08BND,Coral Core (CCI),28.419901124775947,1998 Jun,-0.6021906994372124,0
NA,NA,NA,1998-07-01,08BND,Coral Core (CCI),NA,1998 Jul,0,NA
26.751955757206176,-21.87,114.156,1998-08-01,08BND,Coral Core (CCI),28.419901124775947,1998 Aug,-1.6679453675697715,0
26.79929498031362,-21.87,114.156,1998-09-01,08BND,Coral Core (CCI),28.419901124775947,1998 Sep,-1.6206061444623288,0
27.100464532160895,-21.87,114.156,1998-10-01,08BND,Coral Core (CCI),28.419901124775947,1998 Oct,-1.3194365926150518,0
NA,NA,NA,1998-11-01,08BND,Coral Core (CCI),NA,1998 Nov,0,NA
27.86426453287562,-21.87,114.156,1998-12-01,08BND,Coral Core (CCI),28.419901124775947,1998 Dec,-0.5556365919003277,0
28.778586468230376,-21.87,114.156,1999-01-01,08BND,Coral Core (CCI),28.419901124775947,1999 Jan,0.3586853434544288,0.3586853434544288
28.769614076621085,-21.87,114.156,1999-02-01,08BND,Coral Core (CCI),28.419901124775947,1999 Feb,0.34971295184513806,0.7083982952995669
29.173389880225383,-21.87,114.156,1999-03-01,08BND,Coral Core (CCI),28.419901124775947,1999 Mar,0.7534887554494354,1.4618870507490023
28.543314176623863,-21.87,114.156,1999-04-01,08BND,Coral Core (CCI),28.419901124775947,1999 Apr,0.12341305184791551,1.5853001025969178
28.283251500706974,-21.87,114.156,1999-05-01,08BND,Coral Core (CCI),28.419901124775947,1999 May,-0.13664962406897274,0
27.321356016120102,-21.87,114.156,1999-06-01,08BND,Coral Core (CCI),28.419901124775947,1999 Jun,-1.0985451086558449,0
26.77311244000395,-21.87,114.156,1999-07-01,08BND,Coral Core (CCI),28.419901124775947,1999 Jul,-1.6467886847719981,0
NA,NA,NA,1999-08-01,08BND,Coral Core (CCI),NA,1999 Aug,0,NA
26.752195323374092,-21.87,114.156,1999-09-01,08BND,Coral Core (CCI),28.419901124775947,1999 Sep,-1.6677058014018549,0
27.127066849045548,-21.87,114.156,1999-10-01,08BND,Coral Core (CCI),28.419901124775947,1999 Oct,-1.2928342757303994,0
27.288487548861895,-21.87,114.156,1999-11-01,08BND,Coral Core (CCI),28.419901124775947,1999 Nov,-1.1314135759140527,0
27.613525041043708,-21.87,114.156,1999-12-01,08BND,Coral Core (CCI),28.419901124775947,1999 Dec,-0.8063760837322391,0
28.08694955233948,-21.87,114.156,2000-01-01,08BND,Coral Core (CCI),28.419901124775947,2000 Jan,-0.33295157243646756,0
28.62876119643014,-21.87,114.156,2000-02-01,08BND,Coral Core (CCI),28.419901124775947,2000 Feb,0.2088600716541933,0.2088600716541933
28.897037780370372,-21.87,114.156,2000-03-01,08BND,Coral Core (CCI),28.419901124775947,2000 Mar,0.47713665559442475,0.685996727248618
28.551769362170617,-21.87,114.156,2000-04-01,08BND,Coral Core (CCI),28.419901124775947,2000 Apr,0.13186823739467002,0.8178649646432881
NA,NA,NA,2000-05-01,08BND,Coral Core (CCI),NA,2000 May,0,NA
