sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,Tantabiddi_DHM
26.228643270579113,-21.91,113.97,1996-04-01,08TNT,Coral Core (CCI),27.60823314836034,1996 Apr,-1.3795898777812283,0
24.794873242923178,-21.91,113.97,1996-05-01,08TNT,Coral Core (CCI),27.60823314836034,1996 May,-2.8133599054371636,0
NA,NA,NA,1996-06-01,08TNT,Coral Core (CCI),NA,1996 Jun,0,NA
24.674275763961457,-21.91,113.97,1996-07-01,08TNT,Coral Core (CCI),27.60823314836034,1996 Jul,-2.9339573843988838,0
NA,NA,NA,1996-08-01,08TNT,Coral Core (CCI),NA,1996 Aug,0,NA
23.642497332844556,-21.91,113.97,1996-09-01,08TNT,Coral Core (CCI),27.60823314836034,1996 Sep,-3.965735815515785,0
24.312483327076293,-21.91,113.97,1996-10-01,08TNT,Coral Core (CCI),27.60823314836034,1996 Oct,-3.2957498212840477,0
24.861871842346336,-21.91,113.97,1996-11-01,08TNT,Coral Core (CCI),27.60823314836034,1996 Nov,-2.7463613060140055,0
26.02764747230958,-21.91,113.97,1996-12-01,08TNT,Coral Core (CCI),27.60823314836034,1996 Dec,-1.5805856760507595,0
27.622214138581143,-21.91,113.97,1997-01-01,08TNT,Coral Core (CCI),27.60823314836034,1997 Jan,0.01398099022080146,0.01398099022080146
NA,NA,NA,1997-02-01,08TNT,Coral Core (CCI),NA,1997 Feb,0,NA
27.997406295350935,-21.91,113.97,1997-03-01,08TNT,Coral Core (CCI),27.60823314836034,1997 Mar,0.38917314699059347,0.38917314699059347
26.49663766827181,-21.91,113.97,1997-04-01,08TNT,Coral Core (CCI),27.60823314836034,1997 Apr,-1.111595480088532,0
27.247021981811383,-21.91,113.97,1997-05-01,08TNT,Coral Core (CCI),27.60823314836034,1997 May,-0.3612111665489586,0
26.61723514723353,-21.91,113.97,1997-06-01,08TNT,Coral Core (CCI),27.60823314836034,1997 Jun,-0.9909980011268118,0
24.969069601423428,-21.91,113.97,1997-07-01,08TNT,Coral Core (CCI),27.60823314836034,1997 Jul,-2.6391635469369135,0
23.72289565215237,-21.91,113.97,1997-08-01,08TNT,Coral Core (CCI),27.60823314836034,1997 Aug,-3.8853374962079705,0
22.89881287924731,-21.91,113.97,1997-09-01,08TNT,Coral Core (CCI),27.60823314836034,1997 Sep,-4.709420269113032,0
24.15168668846069,-21.91,113.97,1997-10-01,08TNT,Coral Core (CCI),27.60823314836034,1997 Oct,-3.456546459899652,0
23.897092010652624,-21.91,113.97,1997-11-01,08TNT,Coral Core (CCI),27.60823314836034,1997 Nov,-3.711141137707717,0
NA,NA,NA,1997-12-01,08TNT,Coral Core (CCI),NA,1997 Dec,0,NA
26.577035987579624,-21.91,113.97,1998-01-01,08TNT,Coral Core (CCI),27.60823314836034,1998 Jan,-1.0311971607807173,0
27.340820021003825,-21.91,113.97,1998-02-01,08TNT,Coral Core (CCI),27.60823314836034,1998 Feb,-0.2674131273565159,0
27.595414698811897,-21.91,113.97,1998-03-01,08TNT,Coral Core (CCI),27.60823314836034,1998 Mar,-0.012818449548444022,0
NA,NA,NA,1998-04-01,08TNT,Coral Core (CCI),NA,1998 Apr,0,NA
26.37604018931009,-21.91,113.97,1998-05-01,08TNT,Coral Core (CCI),27.60823314836034,1998 May,-1.232192959050252,0
NA,NA,NA,1998-06-01,08TNT,Coral Core (CCI),NA,1998 Jun,0,NA
NA,NA,NA,1998-07-01,08TNT,Coral Core (CCI),NA,1998 Jul,0,NA
NA,NA,NA,1998-08-01,08TNT,Coral Core (CCI),NA,1998 Aug,0,NA
23.24050573630549,-21.91,113.97,1998-09-01,08TNT,Coral Core (CCI),27.60823314836034,1998 Sep,-4.367727412054851,0
23.83009341122944,-21.91,113.97,1998-10-01,08TNT,Coral Core (CCI),27.60823314836034,1998 Oct,-3.7781397371309,0
