sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,Tantabiddi_DHM
26.319173720383645,-21.91,113.97,1996-04-01,08TNT,Coral Core (NOAA),27.87600302357453,1996 Apr,-1.5568293031908844,0
NA,NA,NA,1996-05-01,08TNT,Coral Core (NOAA),NA,1996 May,0,NA
24.874862367737208,-21.91,113.97,1996-06-01,08TNT,Coral Core (NOAA),27.87600302357453,1996 Jun,-3.0011406558373217,0
24.75337823527161,-21.91,113.97,1996-07-01,08TNT,Coral Core (NOAA),27.87600302357453,1996 Jul,-3.122624788302918,0
NA,NA,NA,1996-08-01,08TNT,Coral Core (NOAA),NA,1996 Aug,0,NA
23.714013990843796,-21.91,113.97,1996-09-01,08TNT,Coral Core (NOAA),27.87600302357453,1996 Sep,-4.161989032730734,0
24.388925837874837,-21.91,113.97,1996-10-01,08TNT,Coral Core (NOAA),27.87600302357453,1996 Oct,-3.487077185699693,0
24.942353552440295,-21.91,113.97,1996-11-01,08TNT,Coral Core (NOAA),27.87600302357453,1996 Nov,-2.9336494711342347,0
NA,NA,NA,1996-12-01,08TNT,Coral Core (NOAA),NA,1996 Dec,0,NA
26.116700166274327,-21.91,113.97,1997-01-01,08TNT,Coral Core (NOAA),27.87600302357453,1997 Jan,-1.7593028573002023,0
27.722990362208225,-21.91,113.97,1997-02-01,08TNT,Coral Core (NOAA),27.87600302357453,1997 Feb,-0.15301266136630431,0
28.100940996545617,-21.91,113.97,1997-03-01,08TNT,Coral Core (NOAA),27.87600302357453,1997 Mar,0.22493797297108742,0
26.589138459196064,-21.91,113.97,1997-04-01,08TNT,Coral Core (NOAA),27.87600302357453,1997 Apr,-1.2868645643784653,0
27.345039727870855,-21.91,113.97,1997-05-01,08TNT,Coral Core (NOAA),27.87600302357453,1997 May,-0.5309632957036747,0
26.71062259166166,-21.91,113.97,1997-06-01,08TNT,Coral Core (NOAA),27.87600302357453,1997 Jun,-1.1653804319128689,0
25.050339447965285,-21.91,113.97,1997-07-01,08TNT,Coral Core (NOAA),27.87600302357453,1997 Jul,-2.8256635756092443,0
23.795003412487517,-21.91,113.97,1997-08-01,08TNT,Coral Core (NOAA),27.87600302357453,1997 Aug,-4.080999611087012,0
22.904119774406524,-21.91,113.97,1997-09-01,08TNT,Coral Core (NOAA),27.87600302357453,1997 Sep,-4.971883249168005,0
23.02560390687212,-21.91,113.97,1997-10-01,08TNT,Coral Core (NOAA),27.87600302357453,1997 Oct,-4.850399116702409,0
24.226946994587394,-21.91,113.97,1997-11-01,08TNT,Coral Core (NOAA),27.87600302357453,1997 Nov,-3.649056028987136,0
23.970480492715595,-21.91,113.97,1997-12-01,08TNT,Coral Core (NOAA),27.87600302357453,1997 Dec,-3.905522530858935,0
26.6701278808398,-21.91,113.97,1998-01-01,08TNT,Coral Core (NOAA),27.87600302357453,1998 Jan,-1.2058751427347296,0
27.439527386455197,-21.91,113.97,1998-02-01,08TNT,Coral Core (NOAA),27.87600302357453,1998 Feb,-0.436475637119333,0
27.695993888326996,-21.91,113.97,1998-03-01,08TNT,Coral Core (NOAA),27.87600302357453,1998 Mar,-0.18000913524753415,0
NA,NA,NA,1998-04-01,08TNT,Coral Core (NOAA),NA,1998 Apr,0,NA
26.467654326730468,-21.91,113.97,1998-05-01,08TNT,Coral Core (NOAA),27.87600302357453,1998 May,-1.4083486968440617,0
NA,NA,NA,1998-06-01,08TNT,Coral Core (NOAA),NA,1998 Jun,0,NA
NA,NA,NA,1998-07-01,08TNT,Coral Core (NOAA),NA,1998 Jul,0,NA
NA,NA,NA,1998-08-01,08TNT,Coral Core (NOAA),NA,1998 Aug,0,NA
23.309066882625142,-21.91,113.97,1998-09-01,08TNT,Coral Core (NOAA),27.87600302357453,1998 Sep,-4.566936140949387,0
23.90298930801248,-21.91,113.97,1998-10-01,08TNT,Coral Core (NOAA),27.87600302357453,1998 Oct,-3.9730137155620504,0
