sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,13BND_DHM
23.54346822720875,-21.87,114.156,2005-06-01,13BND,Coral Core (NOAA),28.316129032258065,2005 Jun,-4.772660805049316,0
21.98692940685845,-21.87,114.156,2005-07-01,13BND,Coral Core (NOAA),28.316129032258065,2005 Jul,-6.329199625399614,0
NA,NA,NA,2005-08-01,13BND,Coral Core (NOAA),NA,2005 Aug,0,NA
21.83507196097061,-21.87,114.156,2005-09-01,13BND,Coral Core (NOAA),28.316129032258065,2005 Sep,-6.481057071287456,0
22.809490572084215,-21.87,114.156,2005-10-01,13BND,Coral Core (NOAA),28.316129032258065,2005 Oct,-5.50663846017385,0
24.26479109517598,-21.87,114.156,2005-11-01,13BND,Coral Core (NOAA),28.316129032258065,2005 Nov,-4.051337937082085,0
26.049116084358047,-21.87,114.156,2005-12-01,13BND,Coral Core (NOAA),28.316129032258065,2005 Dec,-2.2670129479000174,0
26.757784165167937,-21.87,114.156,2006-01-01,13BND,Coral Core (NOAA),28.316129032258065,2006 Jan,-1.5583448670901277,0
NA,NA,NA,2006-02-01,13BND,Coral Core (NOAA),NA,2006 Feb,0,NA
27.112118205572884,-21.87,114.156,2006-03-01,13BND,Coral Core (NOAA),28.316129032258065,2006 Mar,-1.204010826685181,0
NA,NA,NA,2006-04-01,13BND,Coral Core (NOAA),NA,2006 Apr,0,NA
25.79602034121166,-21.87,114.156,2006-05-01,13BND,Coral Core (NOAA),28.316129032258065,2006 May,-2.5201086910464063,0
24.252136308018663,-21.87,114.156,2006-06-01,13BND,Coral Core (NOAA),28.316129032258065,2006 Jun,-4.063992724239402,0
22.708252274825657,-21.87,114.156,2006-07-01,13BND,Coral Core (NOAA),28.316129032258065,2006 Jul,-5.6078767574324075,0
NA,NA,NA,2006-08-01,13BND,Coral Core (NOAA),NA,2006 Aug,0,NA
22.999312379444014,-21.87,114.156,2006-09-01,13BND,Coral Core (NOAA),28.316129032258065,2006 Sep,-5.316816652814051,0
24.75832779431144,-21.87,114.156,2006-10-01,13BND,Coral Core (NOAA),28.316129032258065,2006 Oct,-3.5578012379466237,0
NA,NA,NA,2006-11-01,13BND,Coral Core (NOAA),NA,2006 Nov,0,NA
26.71981980369597,-21.87,114.156,2006-12-01,13BND,Coral Core (NOAA),28.316129032258065,2006 Dec,-1.5963092285620952,0
26.58061714496546,-21.87,114.156,2007-01-01,13BND,Coral Core (NOAA),28.316129032258065,2007 Jan,-1.7355118872926063,0
26.98557033399969,-21.87,114.156,2007-02-01,13BND,Coral Core (NOAA),28.316129032258065,2007 Feb,-1.3305586982583755,0
27.010879908314337,-21.87,114.156,2007-03-01,13BND,Coral Core (NOAA),28.316129032258065,2007 Mar,-1.305249123943728,0
NA,NA,NA,2007-04-01,13BND,Coral Core (NOAA),NA,2007 Apr,0,NA
NA,NA,NA,2007-05-01,13BND,Coral Core (NOAA),NA,2007 May,0,NA
NA,NA,NA,2007-06-01,13BND,Coral Core (NOAA),NA,2007 Jun,0,NA
23.821873544669785,-21.87,114.156,2007-07-01,13BND,Coral Core (NOAA),28.316129032258065,2007 Jul,-4.49425548758828,0
NA,NA,NA,2007-08-01,13BND,Coral Core (NOAA),NA,2007 Aug,0,NA
22.315953872948754,-21.87,114.156,2007-09-01,13BND,Coral Core (NOAA),28.316129032258065,2007 Sep,-6.000175159309311,0
22.569049616095143,-21.87,114.156,2007-10-01,13BND,Coral Core (NOAA),28.316129032258065,2007 Oct,-5.747079416162922,0
23.85983790614175,-21.87,114.156,2007-11-01,13BND,Coral Core (NOAA),28.316129032258065,2007 Nov,-4.456291126116316,0
25.18859055766032,-21.87,114.156,2007-12-01,13BND,Coral Core (NOAA),28.316129032258065,2007 Dec,-3.1275384745977455,0
26.966588153263714,-21.87,114.156,2008-01-01,13BND,Coral Core (NOAA),28.316129032258065,2008 Jan,-1.3495408789943504,0
NA,NA,NA,2008-02-01,13BND,Coral Core (NOAA),NA,2008 Feb,0,NA
27.656274053337626,-21.87,114.156,2008-03-01,13BND,Coral Core (NOAA),28.316129032258065,2008 Mar,-0.6598549789204391,0
27.175392141359495,-21.87,114.156,2008-04-01,13BND,Coral Core (NOAA),28.316129032258065,2008 Apr,-1.1407368908985696,0
NA,NA,NA,2008-05-01,13BND,Coral Core (NOAA),NA,2008 May,0,NA
24.44195811537844,-21.87,114.156,2008-06-01,13BND,Coral Core (NOAA),28.316129032258065,2008 Jun,-3.874170916879624,0
NA,NA,NA,2008-07-01,13BND,Coral Core (NOAA),NA,2008 Jul,0,NA
NA,NA,NA,2008-08-01,13BND,Coral Core (NOAA),NA,2008 Aug,0,NA
NA,NA,NA,2008-09-01,13BND,Coral Core (NOAA),NA,2008 Sep,0,NA
23.935766629085663,-21.87,114.156,2008-10-01,13BND,Coral Core (NOAA),28.316129032258065,2008 Oct,-4.380362403172402,0
NA,NA,NA,2008-11-01,13BND,Coral Core (NOAA),NA,2008 Nov,0,NA
27.13742777988753,-21.87,114.156,2008-12-01,13BND,Coral Core (NOAA),28.316129032258065,2008 Dec,-1.1787012523705336,0
27.757512350596187,-21.87,114.156,2009-01-01,13BND,Coral Core (NOAA),28.316129032258065,2009 Jan,-0.5586166816618778,0
NA,NA,NA,2009-02-01,13BND,Coral Core (NOAA),NA,2009 Feb,0,NA
27.808131499225468,-21.87,114.156,2009-03-01,13BND,Coral Core (NOAA),28.316129032258065,2009 Mar,-0.5079975330325972,0
26.78309373948258,-21.87,114.156,2009-04-01,13BND,Coral Core (NOAA),28.316129032258065,2009 Apr,-1.5330352927754838,0
NA,NA,NA,2009-05-01,13BND,Coral Core (NOAA),NA,2009 May,0,NA
25.163280983345672,-21.87,114.156,2009-06-01,13BND,Coral Core (NOAA),28.316129032258065,2009 Jun,-3.152848048912393,0
23.25240812259041,-21.87,114.156,2009-07-01,13BND,Coral Core (NOAA),28.316129032258065,2009 Jul,-5.063720909667655,0
NA,NA,NA,2009-08-01,13BND,Coral Core (NOAA),NA,2009 Aug,0,NA
22.208388182111527,-21.87,114.156,2009-09-01,13BND,Coral Core (NOAA),28.316129032258065,2009 Sep,-6.107740850146538,0
NA,NA,NA,2009-10-01,13BND,Coral Core (NOAA),NA,2009 Oct,0,NA
25.416376726492047,-21.87,114.156,2009-11-01,13BND,Coral Core (NOAA),28.316129032258065,2009 Nov,-2.899752305766018,0
26.163009168773925,-21.87,114.156,2009-12-01,13BND,Coral Core (NOAA),28.316129032258065,2009 Dec,-2.1531198634841395,0
25.998496935728767,-21.87,114.156,2010-01-01,13BND,Coral Core (NOAA),28.316129032258065,2010 Jan,-2.317632096529298,0
