sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,DARL_DHM
27.381958037922104,-12.0875,96.875,1985-01-01,DAR Long,Coral Core (CCI),27.641036557474692,1985 Jan,-0.2590785195525882,0
27.462920075282284,-12.0875,96.875,1985-02-01,DAR Long,Coral Core (CCI),27.641036557474692,1985 Feb,-0.17811648219240794,0
27.462920075282284,-12.0875,96.875,1985-03-01,DAR Long,Coral Core (CCI),27.641036557474692,1985 Mar,-0.17811648219240794,0
NA,NA,NA,1985-04-01,DARL,Coral Core (CCI),NA,1985 Apr,0,0
26.97714785112116,-12.0875,96.875,1985-05-01,DAR Long,Coral Core (CCI),27.641036557474692,1985 May,-0.6638887063535321,0
26.73426173904062,-12.0875,96.875,1985-06-01,DAR Long,Coral Core (CCI),27.641036557474692,1985 Jun,-0.9067748184340729,0
26.73426173904062,-12.0875,96.875,1985-07-01,DAR Long,Coral Core (CCI),27.641036557474692,1985 Jul,-0.9067748184340729,0
26.97714785112116,-12.0875,96.875,1985-08-01,DAR Long,Coral Core (CCI),27.641036557474692,1985 Aug,-0.6638887063535321,0
27.13907192584155,-12.0875,96.875,1985-09-01,DAR Long,Coral Core (CCI),27.641036557474692,1985 Sep,-0.5019646316331432,0
27.05810988848135,-12.0875,96.875,1985-10-01,DAR Long,Coral Core (CCI),27.641036557474692,1985 Oct,-0.5829266689933412,0
26.89618581376098,-12.0875,96.875,1985-11-01,DAR Long,Coral Core (CCI),27.641036557474692,1985 Nov,-0.7448507437137124,0
NA,NA,NA,1985-12-01,DARL,Coral Core (CCI),NA,1985 Dec,0,0
27.30099600056191,-12.0875,96.875,1986-01-01,DAR Long,Coral Core (CCI),27.641036557474692,1986 Jan,-0.3400405569127827,0
27.30099600056191,-12.0875,96.875,1986-02-01,DAR Long,Coral Core (CCI),27.641036557474692,1986 Feb,-0.3400405569127827,0
27.30099600056191,-12.0875,96.875,1986-03-01,DAR Long,Coral Core (CCI),27.641036557474692,1986 Mar,-0.3400405569127827,0
27.30099600056191,-12.0875,96.875,1986-04-01,DAR Long,Coral Core (CCI),27.641036557474692,1986 Apr,-0.3400405569127827,0
27.30099600056191,-12.0875,96.875,1986-05-01,DAR Long,Coral Core (CCI),27.641036557474692,1986 May,-0.3400405569127827,0
27.13907192584155,-12.0875,96.875,1986-06-01,DAR Long,Coral Core (CCI),27.641036557474692,1986 Jun,-0.5019646316331432,0
26.8152237764008,-12.0875,96.875,1986-07-01,DAR Long,Coral Core (CCI),27.641036557474692,1986 Jul,-0.8258127810738927,0
