X1,parameter,site,site_id,subsite,subsite_id,series,series_id,lat,lon,depth,serial_num,from_date,thru_date,time,uncal_val,cal_val,qc_val,qc_flag,parameter_id,date,mean_SST
0,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-09T00:00:00Z,21.33,21.35,21.35,2,1,2018-02-09,21.35
144,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-10T00:00:00Z,20.69,20.7094,20.7094,2,1,2018-02-10,20.7094
288,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-11T00:00:00Z,20.7,20.7194,20.7194,2,1,2018-02-11,20.7194
432,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-12T00:00:00Z,20.98,20.9997,20.9997,2,1,2018-02-12,20.9997
576,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-13T00:00:00Z,20.96,20.9797,20.9797,2,1,2018-02-13,20.9797
720,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-14T00:00:00Z,24.56,24.5829,24.5829,2,1,2018-02-14,24.5829
864,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-15T00:00:00Z,30.6,30.6284,30.6284,2,1,2018-02-15,30.6284
1008,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-16T00:00:00Z,28.5,28.5265,28.5265,1,1,2018-02-16,28.5265
1152,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-17T00:00:00Z,28.32,28.3463,28.3463,1,1,2018-02-17,28.3463
1296,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-18T00:00:00Z,27.92,27.946,27.946,2,1,2018-02-18,27.946
1440,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-19T00:00:00Z,26.88,26.905,26.905,1,1,2018-02-19,26.905
1584,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-20T00:00:00Z,26.87,26.895,26.895,1,1,2018-02-20,26.895
1728,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-21T00:00:00Z,26.58,26.6047,26.6047,1,1,2018-02-21,26.6047
1872,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-22T00:00:00Z,27.21,27.2353,27.2353,1,1,2018-02-22,27.2353
2016,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-23T00:00:00Z,26.99,27.0151,27.0151,1,1,2018-02-23,27.0151
2160,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-24T00:00:00Z,27.0,27.0251,27.0251,1,1,2018-02-24,27.0251
2304,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-25T00:00:00Z,26.95,26.9751,26.9751,1,1,2018-02-25,26.9751
2448,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-26T00:00:00Z,26.89,26.915,26.915,1,1,2018-02-26,26.915
2592,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-27T00:00:00Z,26.79,26.8149,26.8149,1,1,2018-02-27,26.8149
2736,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-02-28T00:00:00Z,27.04,27.0652,27.0652,2,1,2018-02-28,27.0652
2880,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-01T00:00:00Z,26.65,26.6748,26.6748,2,1,2018-03-01,26.6748
3024,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-02T00:00:00Z,26.93,26.9551,26.9551,1,1,2018-03-02,26.9551
3168,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-03T00:00:00Z,27.55,27.5756,27.5756,2,1,2018-03-03,27.5756
3312,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-04T00:00:00Z,27.32,27.3454,27.3454,2,1,2018-03-04,27.3454
3456,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-05T00:00:00Z,27.97,27.996,27.996,1,1,2018-03-05,27.996
3600,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-06T00:00:00Z,27.75,27.7758,27.7758,2,1,2018-03-06,27.7758
3744,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-07T00:00:00Z,28.23,28.2562,28.2562,1,1,2018-03-07,28.2562
3888,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-08T00:00:00Z,27.83,27.8559,27.8559,1,1,2018-03-08,27.8559
4032,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-09T00:00:00Z,27.47,27.4955,27.4955,1,1,2018-03-09,27.4955
4176,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-10T00:00:00Z,27.71,27.7358,27.7358,1,1,2018-03-10,27.7358
4320,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-11T00:00:00Z,28.16,28.1862,28.1862,1,1,2018-03-11,28.1862
4464,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-12T00:00:00Z,28.41,28.4364,28.4364,1,1,2018-03-12,28.4364
4608,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-13T00:00:00Z,28.76,28.7867,28.7867,1,1,2018-03-13,28.7867
4752,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-14T00:00:00Z,29.06,29.087,29.087,2,1,2018-03-14,29.087
4896,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-15T00:00:00Z,28.98,29.0069,29.0069,2,1,2018-03-15,29.0069
5040,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-16T00:00:00Z,28.63,28.6566,28.6566,1,1,2018-03-16,28.6566
5184,Water Temperature,Ningaloo Reef,8,BUNDEGI_BR,14858,BUNDEGI_BR,14858,-21.8632,114.1602,3,358537,2018-02-08,2019-02-06,2018-03-17T00:00:00Z,27.76,27.7858,27.7858,2,1,2018-03-17,27.7858
