X1,parameter,site,site_id,subsite,subsite_id,series,series_id,lat,lon,depth,serial_num,from_date,thru_date,time,uncal_val,cal_val,qc_val,qc_flag,parameter_id,date,mean_SST
0,Water Temperature,Scott Reef,1098,SCOTTSS1,3991,SCOTTSS1,3991,-14.0788,121.978,7,SST-6379,2008-03-16,2008-10-19,2008-03-17T00:41:16Z,NA,29.9322,29.9322,1,1,2008-03-17,29.9322
24,Water Temperature,Scott Reef,1098,SCOTTSS1,3991,SCOTTSS1,3991,-14.0788,121.978,7,SST-6379,2008-03-16,2008-10-19,2008-03-18T00:41:16Z,NA,29.7742,29.7742,1,1,2008-03-18,29.7742
48,Water Temperature,Scott Reef,1098,SCOTTSS1,3991,SCOTTSS1,3991,-14.0788,121.978,7,SST-6379,2008-03-16,2008-10-19,2008-03-19T00:41:16Z,NA,30.1297,30.1297,1,1,2008-03-19,30.1297
72,Water Temperature,Scott Reef,1098,SCOTTSS1,3991,SCOTTSS1,3991,-14.0788,121.978,7,SST-6379,2008-03-16,2008-10-19,2008-03-20T00:41:16Z,NA,30.6038,30.6038,1,1,2008-03-20,30.6038
96,Water Temperature,Scott Reef,1098,SCOTTSS1,3991,SCOTTSS1,3991,-14.0788,121.978,7,SST-6379,2008-03-16,2008-10-19,2008-03-21T00:41:16Z,NA,30.3272,30.3272,1,1,2008-03-21,30.3272
120,Water Temperature,Scott Reef,1098,SCOTTSS1,3991,SCOTTSS1,3991,-14.0788,121.978,7,SST-6379,2008-03-16,2008-10-19,2008-03-22T00:41:16Z,NA,30.3272,30.3272,1,1,2008-03-22,30.3272
144,Water Temperature,Scott Reef,1098,SCOTTSS1,3991,SCOTTSS1,3991,-14.0788,121.978,7,SST-6379,2008-03-16,2008-10-19,2008-03-23T00:41:16Z,NA,30.7223,30.7223,1,1,2008-03-23,30.7223
168,Water Temperature,Scott Reef,1098,SCOTTSS1,3991,SCOTTSS1,3991,-14.0788,121.978,7,SST-6379,2008-03-16,2008-10-19,2008-03-24T00:41:16Z,NA,30.4655,30.4655,1,1,2008-03-24,30.4655
192,Water Temperature,Scott Reef,1098,SCOTTSS1,3991,SCOTTSS1,3991,-14.0788,121.978,7,SST-6379,2008-03-16,2008-10-19,2008-03-25T00:41:16Z,NA,30.7618,30.7618,1,1,2008-03-25,30.7618
216,Water Temperature,Scott Reef,1098,SCOTTSS1,3991,SCOTTSS1,3991,-14.0788,121.978,7,SST-6379,2008-03-16,2008-10-19,2008-03-26T00:41:16Z,NA,30.821,30.821,1,1,2008-03-26,30.821
240,Water Temperature,Scott Reef,1098,SCOTTSS1,3991,SCOTTSS1,3991,-14.0788,121.978,7,SST-6379,2008-03-16,2008-10-19,2008-03-27T00:41:16Z,NA,31.058,31.058,1,1,2008-03-27,31.058
