...1,parameter,site,site_id,subsite,subsite_id,series,series_id,lat,lon,depth,serial_num,from_date,thru_date,time,uncal_val,cal_val,qc_val,qc_flag,parameter_id,date,mean_SST
0,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-03T02:56:32Z,NA,25.427,25.427,1,1,2007-04-03,30.06742857142857
43,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-04T00:26:32Z,NA,30.1412,30.1412,1,1,2007-04-04,30.331833333333332
91,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-05T00:26:32Z,NA,30.299,30.299,1,1,2007-04-05,30.395527083333334
139,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-06T00:26:32Z,NA,30.1806,30.1806,1,1,2007-04-06,30.302252083333332
187,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-07T00:26:32Z,NA,30.1609,30.1609,1,1,2007-04-07,30.22335625
235,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-08T00:26:32Z,NA,30.2003,30.2003,1,1,2007-04-08,30.490033333333333
283,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-09T00:26:32Z,NA,30.4173,30.4173,1,1,2007-04-09,30.463735416666665
331,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-10T00:26:32Z,NA,30.3187,30.3187,1,1,2007-04-10,30.44524375
379,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-11T00:26:32Z,NA,30.2792,30.2792,1,1,2007-04-11,30.47442708333333
427,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-12T00:26:32Z,NA,30.4568,30.4568,1,1,2007-04-12,30.529908333333335
475,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-13T00:26:32Z,NA,30.5159,30.5159,1,1,2007-04-13,30.624816666666668
523,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-14T00:26:32Z,NA,30.6934,30.6934,1,1,2007-04-14,30.758360416666665
571,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-15T00:26:32Z,NA,30.8315,30.8315,1,1,2007-04-15,30.774389583333335
619,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-16T00:26:32Z,NA,30.7132,30.7132,1,1,2007-04-16,30.716866666666668
667,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-17T00:26:32Z,NA,30.6934,30.6934,1,1,2007-04-17,30.69097916666667
715,Water Temperature,Scott Reef,1098,SCOTTSS2,3990,SCOTTSS2,3990,-13.9238,121.915,6,SST-6381,2006-07-09,2007-06-21,2007-04-18T00:26:32Z,NA,30.6737,30.6737,1,1,2007-04-18,30.725077083333332
