X1,parameter,site,site_id,subsite,subsite_id,series,series_id,lat,lon,depth,serial_num,from_date,thru_date,time,uncal_val,cal_val,qc_val,qc_flag,parameter_id,date,mean_SST
0,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-09-24T00:01:59Z,NA,26.7996,26.7996,1,1,2003-09-24,26.837613472222223
720,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-09-25T00:01:59Z,NA,26.8977,26.8977,1,1,2003-09-25,26.99297746870654
1439,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-09-26T00:00:00Z,NA,26.9651,26.9651,2,1,2003-09-26,27.004143273231623
2160,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-09-27T00:01:59Z,NA,27.2087,27.2087,2,1,2003-09-27,26.95501402777778
2880,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-09-28T00:01:59Z,NA,27.1572,27.1572,1,1,2003-09-28,26.99534347222222
3600,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-09-29T00:01:59Z,NA,27.3357,27.3357,1,1,2003-09-29,27.019362916666665
4320,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-09-30T00:01:59Z,NA,27.3898,27.3898,1,1,2003-09-30,27.088318194444444
5040,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-10-01T00:01:59Z,NA,27.3226,27.3226,2,1,2003-10-01,27.136429027777776
5760,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-10-02T00:01:59Z,NA,27.3628,27.3628,2,1,2003-10-02,27.15340263888889
6480,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-10-03T00:01:59Z,NA,26.8867,26.8867,2,1,2003-10-03,27.243800277777776
7200,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-10-04T00:01:59Z,NA,27.3784,27.3784,1,1,2003-10-04,27.361456805555555
7920,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-10-05T00:01:59Z,NA,27.3077,27.3077,2,1,2003-10-05,27.296409583333332
8640,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-10-06T00:01:59Z,NA,26.9465,26.9465,2,1,2003-10-06,27.351362777777776
9360,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-10-07T00:01:59Z,NA,27.4235,27.4235,2,1,2003-10-07,27.54232888888889
10080,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-10-08T00:01:59Z,NA,27.6653,27.6653,1,1,2003-10-08,27.47778236111111
10800,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-10-09T00:01:59Z,NA,27.5055,27.5055,2,1,2003-10-09,27.355019583333334
11520,Water Temperature,Scott Reef,1098,SCOTT_RPO_1,6220,SCOTT_RPO_1,6220,-14.0574,121.783,1.2,SST-0,2003-09-23,2003-12-12,2003-10-10T00:01:59Z,NA,27.496,27.496,2,1,2003-10-10,27.335102503477053
