X1,parameter,site,site_id,subsite,subsite_id,series,series_id,lat,lon,depth,serial_num,from_date,thru_date,time,uncal_val,cal_val,qc_val,qc_flag,parameter_id,date,mean_SST
0,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-15T00:10:52Z,NA,29.7644,29.7644,1,1,2008-03-15,29.910225
24,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-16T00:10:52Z,NA,29.6252,29.6252,1,1,2008-03-16,29.893658333333335
48,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-17T00:10:52Z,NA,29.5457,29.5457,1,1,2008-03-17,30.096658333333334
72,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-18T00:10:52Z,NA,30.2019,30.2019,1,1,2008-03-18,30.069325
96,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-19T00:10:52Z,NA,29.9036,29.9036,1,1,2008-03-19,30.391629166666668
120,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-20T00:10:52Z,NA,30.2814,30.2814,1,1,2008-03-20,30.3477125
144,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-21T00:10:52Z,NA,30.182,30.182,1,1,2008-03-21,30.563975
168,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-22T00:10:52Z,NA,30.4604,30.4604,1,1,2008-03-22,30.643520833333334
192,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-23T00:10:52Z,NA,30.4803,30.4803,1,1,2008-03-23,30.472841666666667
216,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-24T00:10:52Z,NA,30.6195,30.6195,1,1,2008-03-24,30.863079166666665
240,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-25T00:10:52Z,NA,30.7189,30.7189,1,1,2008-03-25,30.707308333333334
264,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-26T00:10:52Z,NA,30.6394,30.6394,1,1,2008-03-26,30.747091666666666
288,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-27T00:10:52Z,NA,30.6791,30.6791,1,1,2008-03-27,30.911129166666665
312,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-28T00:10:52Z,NA,30.9575,30.9575,1,1,2008-03-28,30.9815625
336,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-29T00:10:52Z,NA,30.8183,30.8183,1,1,2008-03-29,30.860595833333335
360,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-30T00:10:52Z,NA,30.7388,30.7388,1,1,2008-03-30,30.806741666666667
384,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-03-31T00:10:52Z,NA,30.5002,30.5002,1,1,2008-03-31,30.789325
408,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-04-01T00:10:52Z,NA,30.4803,30.4803,1,1,2008-04-01,30.816675
432,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-04-02T00:10:52Z,NA,30.6791,30.6791,1,1,2008-04-02,31.00725
456,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-04-03T00:10:52Z,NA,30.878,30.878,1,1,2008-04-03,31.177925
480,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-04-04T00:10:52Z,NA,31.0768,31.0768,1,1,2008-04-04,31.1348375
504,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-04-05T00:10:52Z,NA,30.8382,30.8382,1,1,2008-04-05,30.5159125
528,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-04-06T00:10:52Z,NA,30.5201,30.5201,1,1,2008-04-06,30.876329166666668
552,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-04-07T00:10:52Z,NA,30.8183,30.8183,1,1,2008-04-07,30.761166666666668
576,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-04-08T00:10:52Z,NA,30.6394,30.6394,1,1,2008-04-08,30.805904166666668
600,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-04-09T00:10:52Z,NA,30.9973,30.9973,1,1,2008-04-09,30.964983333333333
624,Water Temperature,Scott Reef,1098,SCOTT_SL4,3992,SCOTT_SL4,3992,-14.0237,121.8604,9,SST-6380,2008-03-14,2008-10-16,2008-04-10T00:10:52Z,NA,30.9178,30.9178,1,1,2008-04-10,31.100041666666666
