X1,parameter,site,site_id,subsite,subsite_id,series,series_id,lat,lon,depth,serial_num,from_date,thru_date,time,uncal_val,cal_val,qc_val,qc_flag,parameter_id,date,mean_SST
0,Water Temperature,Tandabiddi,2404,TANDFL1,11978,TANDFL1,11978,-21.9085,113.9636,4,SU-10036,2011-12-30,2012-05-03,2011-12-31T00:00:16Z,24.43,24.1646,24.1646,1,1,2011-12-31,24.1646
288,Water Temperature,Tandabiddi,2404,TANDFL1,11978,TANDFL1,11978,-21.9085,113.9636,4,SU-10036,2011-12-30,2012-05-03,2012-01-01T00:00:16Z,23.99,23.7264,23.7264,1,1,2012-01-01,23.7264
576,Water Temperature,Tandabiddi,2404,TANDFL1,11978,TANDFL1,11978,-21.9085,113.9636,4,SU-10036,2011-12-30,2012-05-03,2012-01-02T00:00:16Z,24.01,23.7464,23.7464,1,1,2012-01-02,23.7464
864,Water Temperature,Tandabiddi,2404,TANDFL1,11978,TANDFL1,11978,-21.9085,113.9636,4,SU-10036,2011-12-30,2012-05-03,2012-01-03T00:00:16Z,24.74,24.4733,24.4733,1,1,2012-01-03,24.4733
1152,Water Temperature,Tandabiddi,2404,TANDFL1,11978,TANDFL1,11978,-21.9085,113.9636,4,SU-10036,2011-12-30,2012-05-03,2012-01-04T00:00:16Z,24.85,24.5828,24.5828,2,1,2012-01-04,24.5828
1440,Water Temperature,Tandabiddi,2404,TANDFL1,11978,TANDFL1,11978,-21.9085,113.9636,4,SU-10036,2011-12-30,2012-05-03,2012-01-05T00:00:16Z,24.91,24.6426,24.6426,1,1,2012-01-05,24.6426
1728,Water Temperature,Tandabiddi,2404,TANDFL1,11978,TANDFL1,11978,-21.9085,113.9636,4,SU-10036,2011-12-30,2012-05-03,2012-01-06T00:00:16Z,25.84,25.5686,25.5686,1,1,2012-01-06,25.5686
2016,Water Temperature,Tandabiddi,2404,TANDFL1,11978,TANDFL1,11978,-21.9085,113.9636,4,SU-10036,2011-12-30,2012-05-03,2012-01-07T00:00:16Z,25.05,24.782,24.782,2,1,2012-01-07,24.782
2304,Water Temperature,Tandabiddi,2404,TANDFL1,11978,TANDFL1,11978,-21.9085,113.9636,4,SU-10036,2011-12-30,2012-05-03,2012-01-08T00:00:16Z,24.45,24.1845,24.1845,1,1,2012-01-08,24.1845
2592,Water Temperature,Tandabiddi,2404,TANDFL1,11978,TANDFL1,11978,-21.9085,113.9636,4,SU-10036,2011-12-30,2012-05-03,2012-01-09T00:00:16Z,25.68,25.409300000000002,25.409300000000002,1,1,2012-01-09,25.409300000000002
