sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,date
29.580000000000002,-14.121,123.5467277,1985-01-01,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.6,-14.121,123.5467277,1985-01-02,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.63,-14.121,123.5467277,1985-01-03,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.69,-14.121,123.5467277,1985-01-04,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.740000000000002,-14.121,123.5467277,1985-01-05,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.82,-14.121,123.5467277,1985-01-06,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.62,-14.121,123.5467277,1985-01-07,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.51,-14.121,123.5467277,1985-01-08,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.47,-14.121,123.5467277,1985-01-09,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.82,-14.121,123.5467277,1985-01-10,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.82,-14.121,123.5467277,1985-01-11,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.36,-14.121,123.5467277,1985-01-12,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
28.93,-14.121,123.5467277,1985-01-13,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.21,-14.121,123.5467277,1985-01-14,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.34,-14.121,123.5467277,1985-01-15,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.28,-14.121,123.5467277,1985-01-16,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.25,-14.121,123.5467277,1985-01-17,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.150000000000002,-14.121,123.5467277,1985-01-18,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
28.46,-14.121,123.5467277,1985-01-19,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
28.98,-14.121,123.5467277,1985-01-20,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
28.93,-14.121,123.5467277,1985-01-21,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
29.09,-14.121,123.5467277,1985-01-22,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jan
