sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,recenter_year,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
26.08,-21.836,114.178,1985-01-01,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.8749805351229583,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
25.99,-21.836,114.178,1985-01-02,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.9649805351229581,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.12,-21.836,114.178,1985-01-03,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.8349805351229556,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.63,-21.836,114.178,1985-01-04,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.3249805351229575,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.38,-21.836,114.178,1985-01-05,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.5749805351229575,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.29,-21.836,114.178,1985-01-06,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.6649805351229574,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.18,-21.836,114.178,1985-01-07,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.7749805351229568,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.15,-21.836,114.178,1985-01-08,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.804980535122958,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.41,-21.836,114.178,1985-01-09,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.5449805351229564,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.72,-21.836,114.178,1985-01-10,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.2349805351229577,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.53,-21.836,114.178,1985-01-11,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.4249805351229554,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.31,-21.836,114.178,1985-01-12,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.6449805351229578,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
25.82,-21.836,114.178,1985-01-13,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.1349805351229563,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.36,-21.836,114.178,1985-01-14,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.5949805351229571,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.45,-21.836,114.178,1985-01-15,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.5049805351229573,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
26.07,-21.836,114.178,1985-01-16,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.8849805351229563,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
25.63,-21.836,114.178,1985-01-17,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.3249805351229575,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
25.39,-21.836,114.178,1985-01-18,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.564980535122956,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
25.05,-21.836,114.178,1985-01-19,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.904980535122956,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
24.86,-21.836,114.178,1985-01-20,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-3.094980535122957,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
24.71,-21.836,114.178,1985-01-21,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-3.2449805351229557,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
25.6,-21.836,114.178,1985-01-22,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.354980535122955,0,0,27.954980535122957,1988.2857,1985_to_1993,0,0,1,0
