sst,Latitude,Longitude,Date,Data_Type,Site,Reef_Site,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,year,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,DHW_value,accum_DHW_12weeks
26.1,-21.87,114.156,1985-01-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.5234474725003118,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
26.02,-21.87,114.156,1985-01-02,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.4434474725003099,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
26.14,-21.87,114.156,1985-01-03,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.5634474725003109,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
26.64,-21.87,114.156,1985-01-04,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,1.063447472500311,0,0,1988,25.57655252749969,1985_to_1990,1.063447472500311,0.15192106750004442,1,1.1519210675000444,0
26.41,-21.87,114.156,1985-01-05,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.8334474725003105,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
26.34,-21.87,114.156,1985-01-06,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.7634474725003102,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
26.25,-21.87,114.156,1985-01-07,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.6734474725003103,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
26.24,-21.87,114.156,1985-01-08,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.6634474725003088,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
26.5,-21.87,114.156,1985-01-09,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.9234474725003103,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
26.8,-21.87,114.156,1985-01-10,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,1.223447472500311,0,0,1988,25.57655252749969,1985_to_1990,1.223447472500311,0.1747782103571873,1,1.1747782103571873,0
26.62,-21.87,114.156,1985-01-11,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,1.0434474725003113,0,0,1988,25.57655252749969,1985_to_1990,1.0434474725003113,0.1490639246429016,1,1.1490639246429015,0
26.4,-21.87,114.156,1985-01-12,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.8234474725003089,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
25.92,-21.87,114.156,1985-01-13,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.34344747250031205,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
26.48,-21.87,114.156,1985-01-14,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.9034474725003108,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
26.6,-21.87,114.156,1985-01-15,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,1.0234474725003118,0,0,1988,25.57655252749969,1985_to_1990,1.0234474725003118,0.14620678178575883,1,1.1462067817857589,0
26.27,-21.87,114.156,1985-01-16,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.6934474725003099,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
25.89,-21.87,114.156,1985-01-17,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.3134474725003109,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
25.67,-21.87,114.156,1985-01-18,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.09344747250031205,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
25.35,-21.87,114.156,1985-01-19,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-0.22655252749968824,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
25.13,-21.87,114.156,1985-01-20,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-0.44655252749969065,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
24.97,-21.87,114.156,1985-01-21,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-0.6065525274996908,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
25.84,-21.87,114.156,1985-01-22,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.2634474725003102,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
25.81,-21.87,114.156,1985-01-23,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.23344747250030906,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
26.1,-21.87,114.156,1985-01-24,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.5234474725003118,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
25.61,-21.87,114.156,1985-01-25,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,0.03344747250030977,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
25,-21.87,114.156,1985-01-26,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-0.5765525274996897,0,0,1988,25.57655252749969,1985_to_1990,0,0,1,0,0
