sst,Latitude,Longitude,Date,end_date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,recenter_year,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
29.7,-14.0793,121.948,1985-01-06,2020-12-09,Scott Reef,SCOTTSL1,29.679999336600304,2019-01-01,-0.008605774940424027,0,0,29.708605774940423,1988.2857,1985_to_1993,0,0,1,0
29.76,-14.0793,121.948,1985-01-07,2020-12-09,Scott Reef,SCOTTSL1,29.679999336600304,2019-01-01,0.05139422505957825,0,0,29.708605774940423,1988.2857,1985_to_1993,0,0,1,0
29.68,-14.0793,121.948,1985-01-08,2020-12-09,Scott Reef,SCOTTSL1,29.679999336600304,2019-01-01,-0.0286057749404236,0,0,29.708605774940423,1988.2857,1985_to_1993,0,0,1,0
29.76,-14.0793,121.948,1985-01-09,2020-12-09,Scott Reef,SCOTTSL1,29.679999336600304,2019-01-01,0.05139422505957825,0,0,29.708605774940423,1988.2857,1985_to_1993,0,0,1,0
30.03,-14.0793,121.948,1985-01-10,2020-12-09,Scott Reef,SCOTTSL1,29.679999336600304,2019-01-01,0.3213942250595778,0,0,29.708605774940423,1988.2857,1985_to_1993,0,0,1,0
30.18,-14.0793,121.948,1985-01-11,2020-12-09,Scott Reef,SCOTTSL1,29.679999336600304,2019-01-01,0.4713942250595764,0,0,29.708605774940423,1988.2857,1985_to_1993,0,0,1,0
29.6,-14.0793,121.948,1985-01-12,2020-12-09,Scott Reef,SCOTTSL1,29.679999336600304,2019-01-01,-0.1086057749404219,0,0,29.708605774940423,1988.2857,1985_to_1993,0,0,1,0
29.16,-14.0793,121.948,1985-01-13,2020-12-09,Scott Reef,SCOTTSL1,29.679999336600304,2019-01-01,-0.5486057749404232,0,0,29.708605774940423,1988.2857,1985_to_1993,0,0,1,0
29.36,-14.0793,121.948,1985-01-14,2020-12-09,Scott Reef,SCOTTSL1,29.679999336600304,2019-01-01,-0.3486057749404239,0,0,29.708605774940423,1988.2857,1985_to_1993,0,0,1,0
29.9,-14.0793,121.948,1985-01-15,2020-12-09,Scott Reef,SCOTTSL1,29.679999336600304,2019-01-01,0.19139422505957526,0,0,29.708605774940423,1988.2857,1985_to_1993,0,0,1,0
