sst,Latitude,Longitude,Date,end_date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,recenter_year,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
29.69,-13.9238,121.915,1985-01-06,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.027808126024378765,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.74,-13.9238,121.915,1985-01-07,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.022191873975618392,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.65,-13.9238,121.915,1985-01-08,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.06780812602438147,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.73,-13.9238,121.915,1985-01-09,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.012191873975620382,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
30.04,-13.9238,121.915,1985-01-10,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.3221918739756191,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
30.22,-13.9238,121.915,1985-01-11,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.5021918739756188,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.63,-13.9238,121.915,1985-01-12,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.08780812602438104,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.16,-13.9238,121.915,1985-01-13,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.5578081260243799,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.35,-13.9238,121.915,1985-01-14,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.3678081260243786,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.87,-13.9238,121.915,1985-01-15,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.15219187397562095,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.88,-13.9238,121.915,1985-01-16,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.16219187397561896,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.89,-13.9238,121.915,1985-01-17,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.17219187397562052,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.66,-13.9238,121.915,1985-01-18,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.0578081260243799,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.1,-13.9238,121.915,1985-01-19,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.6178081260243786,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.17,-13.9238,121.915,1985-01-20,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.5478081260243783,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.21,-13.9238,121.915,1985-01-21,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.5078081260243792,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.32,-13.9238,121.915,1985-01-22,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.39780812602437976,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.44,-13.9238,121.915,1985-01-23,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.27780812602437877,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.27,-13.9238,121.915,1985-01-24,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.44780812602438047,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
28.73,-13.9238,121.915,1985-01-25,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.9878081260243796,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
28.39,-13.9238,121.915,1985-01-26,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-1.3278081260243795,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
28.35,-13.9238,121.915,1985-01-27,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-1.3678081260243786,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
28.66,-13.9238,121.915,1985-01-28,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-1.05780812602438,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.82,-13.9238,121.915,1985-01-29,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.10219187397562024,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.71,-13.9238,121.915,1985-01-30,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.007808126024379192,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
29.73,-13.9238,121.915,1985-01-31,2020-12-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.012191873975620382,0,0,29.71780812602438,1988.2857,1985_to_1993,0,0,1,0
