sst,Latitude,Longitude,Date,end_date,site,subsite,date
29.69,-14.0574,121.783,1985-01-06,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-06
29.76,-14.0574,121.783,1985-01-07,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-07
29.650000000000002,-14.0574,121.783,1985-01-08,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-08
29.72,-14.0574,121.783,1985-01-09,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-09
29.990000000000002,-14.0574,121.783,1985-01-10,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-10
30.14,-14.0574,121.783,1985-01-11,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-11
29.55,-14.0574,121.783,1985-01-12,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-12
29.11,-14.0574,121.783,1985-01-13,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-13
29.32,-14.0574,121.783,1985-01-14,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-14
29.93,-14.0574,121.783,1985-01-15,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-15
29.94,-14.0574,121.783,1985-01-16,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-16
29.95,-14.0574,121.783,1985-01-17,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-17
29.68,-14.0574,121.783,1985-01-18,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-18
29.060000000000002,-14.0574,121.783,1985-01-19,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-19
29.01,-14.0574,121.783,1985-01-20,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-20
29.03,-14.0574,121.783,1985-01-21,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-21
29.14,-14.0574,121.783,1985-01-22,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-22
29.240000000000002,-14.0574,121.783,1985-01-23,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-23
29.03,-14.0574,121.783,1985-01-24,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-24
28.51,-14.0574,121.783,1985-01-25,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-25
28.2,-14.0574,121.783,1985-01-26,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-26
28.16,-14.0574,121.783,1985-01-27,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-27
28.5,-14.0574,121.783,1985-01-28,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-28
29.55,-14.0574,121.783,1985-01-29,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-29
29.36,-14.0574,121.783,1985-01-30,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-30
29.32,-14.0574,121.783,1985-01-31,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Jan-31
29.400000000000002,-14.0574,121.783,1985-02-01,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-01
29.330000000000002,-14.0574,121.783,1985-02-02,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-02
29.2,-14.0574,121.783,1985-02-03,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-03
29.2,-14.0574,121.783,1985-02-04,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-04
30.080000000000002,-14.0574,121.783,1985-02-05,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-05
30.63,-14.0574,121.783,1985-02-06,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-06
30.67,-14.0574,121.783,1985-02-07,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-07
30.560000000000002,-14.0574,121.783,1985-02-08,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-08
29.94,-14.0574,121.783,1985-02-09,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-09
29.78,-14.0574,121.783,1985-02-10,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-10
29.67,-14.0574,121.783,1985-02-11,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-11
29.78,-14.0574,121.783,1985-02-12,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-12
29.69,-14.0574,121.783,1985-02-13,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-13
29.66,-14.0574,121.783,1985-02-14,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-14
29.560000000000002,-14.0574,121.783,1985-02-15,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-15
29.57,-14.0574,121.783,1985-02-16,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-16
29.57,-14.0574,121.783,1985-02-17,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-17
29.8,-14.0574,121.783,1985-02-18,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-18
29.97,-14.0574,121.783,1985-02-19,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-19
29.98,-14.0574,121.783,1985-02-20,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-20
29.8,-14.0574,121.783,1985-02-21,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-21
28.740000000000002,-14.0574,121.783,1985-02-22,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-22
28.330000000000002,-14.0574,121.783,1985-02-23,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-23
28.61,-14.0574,121.783,1985-02-24,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-24
28.71,-14.0574,121.783,1985-02-25,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-25
28.6,-14.0574,121.783,1985-02-26,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-26
28.03,-14.0574,121.783,1985-02-27,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-27
28.3,-14.0574,121.783,1985-02-28,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Feb-28
28.37,-14.0574,121.783,1985-03-01,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-01
28.5,-14.0574,121.783,1985-03-02,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-02
29.04,-14.0574,121.783,1985-03-03,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-03
28.95,-14.0574,121.783,1985-03-04,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-04
28.77,-14.0574,121.783,1985-03-05,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-05
28.97,-14.0574,121.783,1985-03-06,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-06
29.14,-14.0574,121.783,1985-03-07,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-07
28.96,-14.0574,121.783,1985-03-08,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-08
28.75,-14.0574,121.783,1985-03-09,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-09
28.92,-14.0574,121.783,1985-03-10,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-10
29.1,-14.0574,121.783,1985-03-11,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-11
29.490000000000002,-14.0574,121.783,1985-03-12,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-12
29.35,-14.0574,121.783,1985-03-13,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-13
28.490000000000002,-14.0574,121.783,1985-03-14,2021-06-06,Scott Reef,SCOTT_RPO_1,1985-Mar-14
