sst,Latitude,Longitude,Date,end_date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,recenter_year,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
29.7,-14.0237,121.8604,1985-01-06,2020-12-09,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,-0.019761315989445194,0,0,29.719761315989444,1988.2857,1985_to_1993,0,0,1,0
29.76,-14.0237,121.8604,1985-01-07,2020-12-09,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.04023868401055708,0,0,29.719761315989444,1988.2857,1985_to_1993,0,0,1,0
29.66,-14.0237,121.8604,1985-01-08,2020-12-09,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,-0.05976131598944434,0,0,29.719761315989444,1988.2857,1985_to_1993,0,0,1,0
29.74,-14.0237,121.8604,1985-01-09,2020-12-09,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.020238684010553953,0,0,29.719761315989444,1988.2857,1985_to_1993,0,0,1,0
30.02,-14.0237,121.8604,1985-01-10,2020-12-09,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.3002386840105551,0,0,29.719761315989444,1988.2857,1985_to_1993,0,0,1,0
30.19,-14.0237,121.8604,1985-01-11,2020-12-09,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.4702386840105568,0,0,29.719761315989444,1988.2857,1985_to_1993,0,0,1,0
29.6,-14.0237,121.8604,1985-01-12,2020-12-09,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,-0.11976131598944306,0,0,29.719761315989444,1988.2857,1985_to_1993,0,0,1,0
29.15,-14.0237,121.8604,1985-01-13,2020-12-09,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,-0.5697613159894459,0,0,29.719761315989444,1988.2857,1985_to_1993,0,0,1,0
29.35,-14.0237,121.8604,1985-01-14,2020-12-09,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,-0.36976131598944306,0,0,29.719761315989444,1988.2857,1985_to_1993,0,0,1,0
29.91,-14.0237,121.8604,1985-01-15,2020-12-09,Scott Reef,SCOTT_SL4,29.679999336600304,2019-01-01,0.19023868401055566,0,0,29.719761315989444,1988.2857,1985_to_1993,0,0,1,0
