sst,Latitude,Longitude,Date,end_date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
29.69,-13.6369,122.0267,1985-01-06,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.07294044665012223,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.75,-13.6369,122.0267,1985-01-07,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.012940446650123505,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.63,-13.6369,122.0267,1985-01-08,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.1329404466501245,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.67,-13.6369,122.0267,1985-01-09,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.0929404466501218,0,0,29.762940446650124,1985_to_1990,0,0,1,0
30.01,-13.6369,122.0267,1985-01-10,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.24705955334987806,0,0,29.762940446650124,1985_to_1990,0,0,1,0
30.19,-13.6369,122.0267,1985-01-11,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.4270595533498778,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.65,-13.6369,122.0267,1985-01-12,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.11294044665012493,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.12,-13.6369,122.0267,1985-01-13,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.6429404466501225,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.32,-13.6369,122.0267,1985-01-14,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.4429404466501232,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.77,-13.6369,122.0267,1985-01-15,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.007059553349876069,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.77,-13.6369,122.0267,1985-01-16,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.007059553349876069,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.77,-13.6369,122.0267,1985-01-17,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.007059553349876069,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.61,-13.6369,122.0267,1985-01-18,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.15294044665012407,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.08,-13.6369,122.0267,1985-01-19,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.6829404466501252,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.31,-13.6369,122.0267,1985-01-20,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.4529404466501248,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.38,-13.6369,122.0267,1985-01-21,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.3829404466501245,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.52,-13.6369,122.0267,1985-01-22,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.24294044665012393,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.64,-13.6369,122.0267,1985-01-23,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.12294044665012294,0,0,29.762940446650124,1985_to_1990,0,0,1,0
29.5,-13.6369,122.0267,1985-01-24,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.2629404466501235,0,0,29.762940446650124,1985_to_1990,0,0,1,0
28.9,-13.6369,122.0267,1985-01-25,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.8629404466501249,0,0,29.762940446650124,1985_to_1990,0,0,1,0
28.54,-13.6369,122.0267,1985-01-26,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-1.2229404466501244,0,0,29.762940446650124,1985_to_1990,0,0,1,0
28.51,-13.6369,122.0267,1985-01-27,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-1.252940446650122,0,0,29.762940446650124,1985_to_1990,0,0,1,0
28.82,-13.6369,122.0267,1985-01-28,2021-06-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.9429404466501232,0,0,29.762940446650124,1985_to_1990,0,0,1,0
