sst,Latitude,Longitude,Date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,year,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,DHW_value,accum_DHW_12weeks
29.71,-14.0788,121.978,1985-01-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.7788209165386597,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.76,-14.0788,121.978,1985-01-07,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.8288209165386604,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.69,-14.0788,121.978,1985-01-08,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.7588209165386601,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.76,-14.0788,121.978,1985-01-09,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.8288209165386604,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
30.03,-14.0788,121.978,1985-01-10,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,1.09882091653866,0,0,1990,28.93117908346134,1985_to_1990,1.09882091653866,0.15697441664838,1,1.15697441664838,0
30.19,-14.0788,121.978,1985-01-11,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,1.2588209165386601,0,0,1990,28.93117908346134,1985_to_1990,1.2588209165386601,0.17983155950552288,1,1.1798315595055229,0
29.61,-14.0788,121.978,1985-01-12,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.6788209165386583,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.17,-14.0788,121.978,1985-01-13,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.23882091653866055,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.36,-14.0788,121.978,1985-01-14,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.4288209165386583,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.89,-14.0788,121.978,1985-01-15,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.9588209165386594,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.91,-14.0788,121.978,1985-01-16,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.978820916538659,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.91,-14.0788,121.978,1985-01-17,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.978820916538659,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.67,-14.0788,121.978,1985-01-18,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.7388209165386606,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.09,-14.0788,121.978,1985-01-19,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.1588209165386587,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.13,-14.0788,121.978,1985-01-20,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.19882091653865785,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.15,-14.0788,121.978,1985-01-21,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.21882091653865743,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.26,-14.0788,121.978,1985-01-22,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.3288209165386604,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.37,-14.0788,121.978,1985-01-23,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.43882091653865984,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
29.21,-14.0788,121.978,1985-01-24,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.2788209165386597,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
28.69,-14.0788,121.978,1985-01-25,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.24117908346133987,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
28.37,-14.0788,121.978,1985-01-26,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.5611790834613402,0,0,1990,28.93117908346134,1985_to_1990,0,0,1,0,0
