sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,recenter_year,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
25.93,-21.893,113.963,1985-01-01,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-1.9696221036184127,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
25.81,-21.893,113.963,1985-01-02,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-2.0896221036184137,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
25.87,-21.893,113.963,1985-01-03,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-2.0296221036184114,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
26.4,-21.893,113.963,1985-01-04,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-1.4996221036184139,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
26.11,-21.893,113.963,1985-01-05,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-1.789622103618413,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
25.98,-21.893,113.963,1985-01-06,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-1.919622103618412,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
25.83,-21.893,113.963,1985-01-07,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-2.069622103618414,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
25.79,-21.893,113.963,1985-01-08,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-2.1096221036184133,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
26.07,-21.893,113.963,1985-01-09,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-1.8296221036184122,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
26.39,-21.893,113.963,1985-01-10,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-1.5096221036184119,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
26.21,-21.893,113.963,1985-01-11,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-1.6896221036184116,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
25.98,-21.893,113.963,1985-01-12,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-1.919622103618412,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
25.42,-21.893,113.963,1985-01-13,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-2.4796221036184107,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
25.93,-21.893,113.963,1985-01-14,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-1.9696221036184127,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
25.98,-21.893,113.963,1985-01-15,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-1.919622103618412,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
25.59,-21.893,113.963,1985-01-16,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,TNT07C,28.009999373927712,2019-01-01,-2.3096221036184126,0,0,27.899622103618412,1988.2857,1985_to_1993,0,0,1,0
