sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
25.84,-21.9,113.97,1985-01-01,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.324833333333334,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.72,-21.9,113.97,1985-01-02,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.444833333333335,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.77,-21.9,113.97,1985-01-03,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.3948333333333345,0,0,28.164833333333334,1985_to_1990,0,0,1,0
26.31,-21.9,113.97,1985-01-04,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-1.8548333333333353,0,0,28.164833333333334,1985_to_1990,0,0,1,0
26.02,-21.9,113.97,1985-01-05,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.1448333333333345,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.92,-21.9,113.97,1985-01-06,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.2448333333333323,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.78,-21.9,113.97,1985-01-07,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.384833333333333,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.75,-21.9,113.97,1985-01-08,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.414833333333334,0,0,28.164833333333334,1985_to_1990,0,0,1,0
26.01,-21.9,113.97,1985-01-09,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.1548333333333325,0,0,28.164833333333334,1985_to_1990,0,0,1,0
26.33,-21.9,113.97,1985-01-10,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-1.8348333333333358,0,0,28.164833333333334,1985_to_1990,0,0,1,0
26.16,-21.9,113.97,1985-01-11,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.004833333333334,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.93,-21.9,113.97,1985-01-12,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.2348333333333343,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.38,-21.9,113.97,1985-01-13,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.784833333333335,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.89,-21.9,113.97,1985-01-14,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.2748333333333335,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.94,-21.9,113.97,1985-01-15,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.2248333333333328,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.58,-21.9,113.97,1985-01-16,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.5848333333333358,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.09,-21.9,113.97,1985-01-17,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.074833333333334,0,0,28.164833333333334,1985_to_1990,0,0,1,0
24.82,-21.9,113.97,1985-01-18,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.3448333333333338,0,0,28.164833333333334,1985_to_1990,0,0,1,0
24.39,-21.9,113.97,1985-01-19,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.7748333333333335,0,0,28.164833333333334,1985_to_1990,0,0,1,0
24.17,-21.9,113.97,1985-01-20,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.9948333333333323,0,0,28.164833333333334,1985_to_1990,0,0,1,0
23.99,-21.9,113.97,1985-01-21,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-4.174833333333336,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.02,-21.9,113.97,1985-01-22,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.1448333333333345,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.05,-21.9,113.97,1985-01-23,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.1148333333333333,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.41,-21.9,113.97,1985-01-24,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.754833333333334,0,0,28.164833333333334,1985_to_1990,0,0,1,0
24.96,-21.9,113.97,1985-01-25,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.204833333333333,0,0,28.164833333333334,1985_to_1990,0,0,1,0
24.44,-21.9,113.97,1985-01-26,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.7248333333333328,0,0,28.164833333333334,1985_to_1990,0,0,1,0
23.81,-21.9,113.97,1985-01-27,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-4.354833333333335,0,0,28.164833333333334,1985_to_1990,0,0,1,0
24.59,-21.9,113.97,1985-01-28,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.574833333333334,0,0,28.164833333333334,1985_to_1990,0,0,1,0
24.69,-21.9,113.97,1985-01-29,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.4748333333333328,0,0,28.164833333333334,1985_to_1990,0,0,1,0
24.84,-21.9,113.97,1985-01-30,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.324833333333334,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.07,-21.9,113.97,1985-01-31,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.0948333333333338,0,0,28.164833333333334,1985_to_1990,0,0,1,0
24.42,-21.9,113.97,1985-02-01,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-3.7448333333333323,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.66,-21.9,113.97,1985-02-02,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.504833333333334,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.73,-21.9,113.97,1985-02-03,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.4348333333333336,0,0,28.164833333333334,1985_to_1990,0,0,1,0
25.79,-21.9,113.97,1985-02-04,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-2.374833333333335,0,0,28.164833333333334,1985_to_1990,0,0,1,0
26.35,-21.9,113.97,1985-02-05,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-1.8148333333333326,0,0,28.164833333333334,1985_to_1990,0,0,1,0
26.83,-21.9,113.97,1985-02-06,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-1.3348333333333358,0,0,28.164833333333334,1985_to_1990,0,0,1,0
27.03,-21.9,113.97,1985-02-07,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-1.134833333333333,0,0,28.164833333333334,1985_to_1990,0,0,1,0
27.2,-21.9,113.97,1985-02-08,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-0.9648333333333348,0,0,28.164833333333334,1985_to_1990,0,0,1,0
27.21,-21.9,113.97,1985-02-09,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-0.9548333333333332,0,0,28.164833333333334,1985_to_1990,0,0,1,0
27.28,-21.9,113.97,1985-02-10,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-0.8848333333333329,0,0,28.164833333333334,1985_to_1990,0,0,1,0
27.34,-21.9,113.97,1985-02-11,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-0.8248333333333342,0,0,28.164833333333334,1985_to_1990,0,0,1,0
27.37,-21.9,113.97,1985-02-12,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-0.7948333333333331,0,0,28.164833333333334,1985_to_1990,0,0,1,0
28.06,-21.9,113.97,1985-02-13,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,-0.10483333333333533,0,0,28.164833333333334,1985_to_1990,0,0,1,0
28.99,-21.9,113.97,1985-02-14,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,0.8251666666666644,1.0000006256252512,0.14285723223217875,28.164833333333334,1985_to_1990,0,0,1,0
28.87,-21.9,113.97,1985-02-15,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,0.7051666666666669,0,0,28.164833333333334,1985_to_1990,0,0,1,0
28.78,-21.9,113.97,1985-02-16,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,0.6151666666666671,0,0,28.164833333333334,1985_to_1990,0,0,1,0
29.25,-21.9,113.97,1985-02-17,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,1.085166666666666,1.2600006256252527,0.18000008937503612,28.164833333333334,1985_to_1990,1.085166666666666,0.15502380952380942,1,0.15502380952380942
29.38,-21.9,113.97,1985-02-18,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,1.215166666666665,1.3900006256252517,0.19857151794646452,28.164833333333334,1985_to_1990,1.215166666666665,0.17359523809523786,1,0.32861904761904726
29.4,-21.9,113.97,1985-02-19,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,1.2351666666666645,1.4100006256252513,0.20142866080360733,28.164833333333334,1985_to_1990,1.2351666666666645,0.17645238095238064,1,0.505071428571428
30.47,-21.9,113.97,1985-02-20,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,2.305166666666665,2.4800006256252516,0.35428580366075024,28.164833333333334,1985_to_1990,2.305166666666665,0.32930952380952355,1,0.8343809523809514
30.76,-21.9,113.97,1985-02-21,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,2.5951666666666675,2.7700006256252543,0.39571437508932206,28.164833333333334,1985_to_1990,2.5951666666666675,0.37073809523809537,1,1.2051190476190468
30.24,-21.9,113.97,1985-02-22,2021-06-01,Coral Core d18O Proxy,Ningaloo Reef,TNT,27.989999374374747,2019-01-01,2.0751666666666644,2.250000625625251,0.3214286608036073,28.164833333333334,1985_to_1990,2.0751666666666644,0.29645238095238063,1,1.5015714285714274
