date,SrCa,sst
1985-01-01,8.83,28.834357372479644
1985-02-01,8.822,28.976255926846534
1985-03-01,8.814,29.114174274473044
1985-05-01,8.84,28.65138701379192
1985-06-01,8.909,27.219390703360204
1985-07-01,8.949,26.253672122605167
1985-08-01,8.923,26.89270791301442
1985-10-01,8.877,27.920321846635034
1985-11-01,8.865,28.166752672558687
1985-12-01,8.847,28.51960741425637
1986-01-01,8.823,28.95873627510673
1986-02-01,8.859,28.286609786083318
1986-03-01,8.828,28.870205155453277
1986-04-01,8.796,29.409937925736358
1986-05-01,8.827,28.88803576084456
1986-06-01,8.874,27.982769127975644
1986-08-01,8.923,26.89270791301442
1986-09-01,8.961,25.944553040518258
1986-10-01,8.92,26.9637375151392
1986-12-01,8.817,29.062921324590206
1987-01-01,8.766,29.858100018680034
1987-02-01,8.888,27.68655979548612
1987-03-01,8.872,28.0240896952173
1987-04-01,8.84,28.65138701379192
1987-05-01,8.791,29.48851852853886
1987-06-01,8.856,28.34569876798605
1987-07-01,8.908,27.242258757907166
1987-08-01,8.957,26.048587786232474
1987-09-01,8.876,27.94119979781226
1987-10-01,8.875,27.962015558258827
1987-11-01,8.854,28.384780468935787
1987-12-01,8.825,28.92351039943651
1988-01-01,8.808,29.21500102451955
1988-02-01,8.797,29.39403523298506
1988-03-01,8.785,29.580762957800744
1988-04-01,8.807,29.23158781530401
1988-05-01,8.8,29.345954010349942
1988-06-01,8.88,27.857314848722126
1988-07-01,8.93,26.72479549916261
1988-08-01,8.862,28.22696108760738
1988-09-01,8.817,29.062921324590206
1988-10-01,8.787,29.550263577634723
1988-11-01,8.807,29.23158781530401
1988-12-01,8.828,28.870205155453277
1989-01-01,8.803,29.29731307114116
1989-02-01,8.794,29.441556739048337
1989-04-01,8.804,29.280975043277067
1989-05-01,8.847,28.51960741425637
1989-06-01,8.851,28.44293658988363
1989-07-01,8.905,27.310489777167277
1989-08-01,8.936,26.578445134521644
1989-10-01,8.847,28.51960741425637
