date,SrCa,sst
1996-04-01,8.997,26.2286432705791
1996-05-22,9.104,24.79487324292316
1996-07-12,9.113,24.674275763961433
1996-09-01,9.19,23.642497332844542
1996-10-07,9.14,24.31248332707628
1996-11-13,9.099,24.861871842346318
1996-12-19,9.012,26.027647472309567
1997-01-25,8.893,27.62221413858113
1997-03-02,8.865,27.997406295350913
1997-04-02,8.977,26.496637668271788
1997-05-02,8.921,27.247021981811372
1997-06-02,8.968,26.617235147233515
1997-07-02,9.091,24.969069601423413
1997-08-01,9.184,23.722895652152346
1997-09-01,9.25,22.83851413976643
1997-09-27,9.241,22.959111618728144
1997-10-23,9.152,24.15168668846067
1997-11-18,9.171,23.8970920106526
1998-01-09,8.971,26.577035987579606
1998-02-04,8.914,27.340820021003807
1998-03-02,8.895,27.59541469881188
1998-05-02,8.986,26.376040189310075
1998-09-01,9.22,23.240505736305465
1998-10-01,9.176,23.830093411229413
1998-11-01,9.211,23.361103215267192
1998-12-01,9.106,24.768073803153868
1999-01-01,9.065,25.31746231842392
1999-03-02,8.84,28.332399292466803
1999-04-02,8.839,28.34579901235142
1999-05-02,8.923,27.22022254204208
1999-06-02,9.064,25.33086203830854
1999-07-02,9.148,24.205285567999198
1999-08-01,9.205,23.441501534574996
1999-09-01,9.238,22.999310778382053
1999-09-24,9.18,23.776494531690886
1999-12-01,8.988,26.34924074954081
1999-12-24,9.005,26.121445511502003
2000-01-16,8.917,27.3006208613499
2000-02-08,8.86,28.0644048947741
2000-03-02,8.837,28.372598452120698
2000-03-24,8.879,27.809810216966028
2000-04-16,8.922,27.233622261926712
2000-05-09,8.985,26.38943990919472
2000-06-01,8.997,26.2286432705791
2000-06-24,9.056,25.438059797385634
2000-07-17,9.126,24.50007940546118
2000-08-09,9.132,24.41968108615336
2000-09-01,9.181,23.763094811806255
2000-10-07,9.171,23.8970920106526
2000-10-26,9.179,23.789894251575504
2000-11-13,9.087,25.02266848096194
2000-12-01,9.062,25.35766147807783
2000-12-19,8.98,26.45643850861788
2001-01-07,8.948,26.885229544926204
2001-01-25,8.981,26.44303878873326
2001-02-12,8.936,27.046026183541827
2001-03-02,8.89,27.662413298235037
2001-04-02,8.946,26.912028984695482
2001-05-02,9.077,25.156665679808285
2001-06-02,9.152,24.15168668846067
2001-07-02,9.182,23.74969509192161
2001-08-01,9.255,22.771515540343245
2001-09-01,9.269,22.58391946195836
2001-10-01,9.26,22.704516940920072
2001-11-01,9.177,23.816693691344796
2001-12-01,9.11,24.71447492361534
2002-01-01,9.065,25.31746231842392
2002-01-31,9.031,25.773052794501496
2002-03-02,8.946,26.912028984695482
2002-04-02,8.953,26.818230945503046
2002-05-02,8.951,26.845030385272295
2002-06-02,9.086,25.03606820084657
2002-07-02,9.18,23.776494531690886
2002-08-01,9.272,22.54372030230445
2002-09-01,9.283,22.396323383573474
2002-09-27,9.263,22.664317781266178
2002-11-18,9.16,24.044488929383576
2002-12-14,9.074,25.196864839462194
2003-01-09,9.023,25.88025055357859
2003-02-04,8.996,26.242042990463716
2003-03-02,8.991,26.309041589886903
2003-04-08,9.045,25.58545671611661
2003-05-14,9.071,25.237063999116103
2003-06-20,9.184,23.722895652152346
2003-07-26,9.235,23.039509938035962
2003-10-01,9.243,22.932312178958867
2003-11-01,9.228,23.133307977228398
2003-12-01,9.188,23.66929677261379
2004-01-01,9.183,23.736295372036977
2004-01-31,9.121,24.567078004884337
2004-03-02,9.018,25.94724915300175
2004-05-01,9.049,25.531857836578084
2004-07-02,9.242,22.9457118988435
2004-09-01,9.308,22.0613303864576
2004-10-01,9.201,23.495100414113537
2004-10-31,9.179,23.789894251575504
2004-12-01,9.089,24.995869041192663
2005-01-01,9.022,25.89365027346321
2005-01-31,8.994,26.268842430233008
2005-03-28,8.98,26.45643850861788
2005-05-20,9.066,25.30406259853926
2005-06-14,9.19,23.642497332844542
2005-07-11,9.234,23.05290965792058
2005-09-01,9.311,22.02113122680369
2005-10-01,9.262,22.677717501150795
2005-11-01,9.185,23.7094959322677
2005-12-01,9.105,24.7814735230385
2006-01-01,9.059,25.397860637731725
2006-03-02,8.892,27.635613858465774
2006-04-08,8.995,26.255442710348376
2006-05-14,9.062,25.35766147807783
2006-06-20,9.096,24.902071002000227
2006-07-26,9.177,23.816693691344796
2006-09-01,9.247,22.878713299420326
2006-09-21,9.178,23.803293971460135
2006-10-11,9.192,23.61569789307525
2006-11-01,9.16,24.044488929383576
2006-11-21,9.131,24.433080806037992
2006-12-11,9.064,25.33086203830854
2007-01-01,9.043,25.612256155885888
2007-01-21,8.985,26.38943990919472
2007-02-10,8.918,27.287221141465267
2007-03-02,8.885,27.729411897658224
2007-06-02,9.09,24.98246932130803
2007-07-17,9.177,23.816693691344796
2007-09-01,9.194,23.588898453305973
2007-09-27,9.175,23.843493131114045
2007-10-23,9.193,23.602298173190633
2007-12-14,9.082,25.089667080385098
2008-01-09,8.992,26.295641870002257
2008-02-04,8.925,27.193423102272803
2008-03-02,8.882,27.769611057312133
2008-04-01,8.884,27.742811617542856
2008-06-01,9.037,25.692654475193677
2008-07-02,9.148,24.205285567999198
