Date,SrCa,sst,end_date,Latitude,Longitude,mmm_from_sst,mmm_from_sst_year_range,Site
1985-01-01,8.914,29.139340401141453,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1985-02-01,8.916,29.107556880417743,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1985-03-01,8.91,29.20290744258884,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1985-05-01,8.936,28.789721673180708,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1985-06-01,9.005,27.693190208212883,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1985-07-01,9.065,26.739684586501767,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1985-08-01,9.007,27.661406687489205,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1985-10-01,8.974,28.18583477943031,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1985-11-01,8.929,28.900963995713653,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1985-12-01,8.91,29.20290744258884,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1986-01-01,8.907,29.2505827236744,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1986-02-01,8.925,28.964531037161063,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1986-03-01,8.9,29.361825046207372,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1986-04-01,8.876,29.743227294891824,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1986-05-01,8.895,29.44128384801664,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1986-06-01,8.932,28.853288714628093,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1986-08-01,9.055,26.898602190120272,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1986-09-01,9.049,26.993952752291392,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1986-10-01,9.025,27.375355000975844,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1986-12-01,8.953,28.51956174702923,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1987-01-01,8.917,29.091665120055893,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1987-02-01,8.95,28.56723702811476,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
1987-03-01,8.926,28.948639276799213,2011-08-01,-14.105,123.5356924,29.433337967835712,1985_to_1990,BRS05
