sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
26.08,-21.836,114.178,1985-01-01,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.185913978494625,0,0,28.265913978494623,1985_to_1990,0,0,1,0
25.99,-21.836,114.178,1985-01-02,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.275913978494625,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.12,-21.836,114.178,1985-01-03,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.1459139784946224,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.63,-21.836,114.178,1985-01-04,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.6359139784946244,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.38,-21.836,114.178,1985-01-05,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.8859139784946244,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.29,-21.836,114.178,1985-01-06,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.9759139784946242,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.18,-21.836,114.178,1985-01-07,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.0859139784946237,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.15,-21.836,114.178,1985-01-08,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.115913978494625,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.41,-21.836,114.178,1985-01-09,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.8559139784946233,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.72,-21.836,114.178,1985-01-10,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.5459139784946245,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.53,-21.836,114.178,1985-01-11,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.7359139784946223,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.31,-21.836,114.178,1985-01-12,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.9559139784946247,0,0,28.265913978494623,1985_to_1990,0,0,1,0
25.82,-21.836,114.178,1985-01-13,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.445913978494623,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.36,-21.836,114.178,1985-01-14,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.905913978494624,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.45,-21.836,114.178,1985-01-15,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.815913978494624,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.07,-21.836,114.178,1985-01-16,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.195913978494623,0,0,28.265913978494623,1985_to_1990,0,0,1,0
25.63,-21.836,114.178,1985-01-17,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.6359139784946244,0,0,28.265913978494623,1985_to_1990,0,0,1,0
25.39,-21.836,114.178,1985-01-18,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.875913978494623,0,0,28.265913978494623,1985_to_1990,0,0,1,0
25.05,-21.836,114.178,1985-01-19,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-3.2159139784946227,0,0,28.265913978494623,1985_to_1990,0,0,1,0
24.86,-21.836,114.178,1985-01-20,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-3.405913978494624,0,0,28.265913978494623,1985_to_1990,0,0,1,0
24.71,-21.836,114.178,1985-01-21,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-3.5559139784946225,0,0,28.265913978494623,1985_to_1990,0,0,1,0
25.6,-21.836,114.178,1985-01-22,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.665913978494622,0,0,28.265913978494623,1985_to_1990,0,0,1,0
25.62,-21.836,114.178,1985-01-23,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.6459139784946224,0,0,28.265913978494623,1985_to_1990,0,0,1,0
25.95,-21.836,114.178,1985-01-24,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.315913978494624,0,0,28.265913978494623,1985_to_1990,0,0,1,0
25.5,-21.836,114.178,1985-01-25,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.7659139784946234,0,0,28.265913978494623,1985_to_1990,0,0,1,0
24.89,-21.836,114.178,1985-01-26,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-3.375913978494623,0,0,28.265913978494623,1985_to_1990,0,0,1,0
24.2,-21.836,114.178,1985-01-27,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-4.065913978494624,0,0,28.265913978494623,1985_to_1990,0,0,1,0
24.97,-21.836,114.178,1985-01-28,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-3.2959139784946245,0,0,28.265913978494623,1985_to_1990,0,0,1,0
25.01,-21.836,114.178,1985-01-29,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-3.255913978494622,0,0,28.265913978494623,1985_to_1990,0,0,1,0
25.12,-21.836,114.178,1985-01-30,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-3.1459139784946224,0,0,28.265913978494623,1985_to_1990,0,0,1,0
25.32,-21.836,114.178,1985-01-31,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.945913978494623,0,0,28.265913978494623,1985_to_1990,0,0,1,0
24.69,-21.836,114.178,1985-02-01,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-3.575913978494622,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.09,-21.836,114.178,1985-02-02,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.1759139784946235,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.11,-21.836,114.178,1985-02-03,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.155913978494624,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.21,-21.836,114.178,1985-02-04,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-2.0559139784946225,0,0,28.265913978494623,1985_to_1990,0,0,1,0
26.81,-21.836,114.178,1985-02-05,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-1.4559139784946247,0,0,28.265913978494623,1985_to_1990,0,0,1,0
27.33,-21.836,114.178,1985-02-06,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-0.9359139784946251,0,0,28.265913978494623,1985_to_1990,0,0,1,0
27.55,-21.836,114.178,1985-02-07,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-0.7159139784946227,0,0,28.265913978494623,1985_to_1990,0,0,1,0
27.73,-21.836,114.178,1985-02-08,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-0.535913978494623,0,0,28.265913978494623,1985_to_1990,0,0,1,0
27.68,-21.836,114.178,1985-02-09,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-0.5859139784946237,0,0,28.265913978494623,1985_to_1990,0,0,1,0
27.71,-21.836,114.178,1985-02-10,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-0.5559139784946225,0,0,28.265913978494623,1985_to_1990,0,0,1,0
27.74,-21.836,114.178,1985-02-11,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-0.525913978494625,0,0,28.265913978494623,1985_to_1990,0,0,1,0
27.71,-21.836,114.178,1985-02-12,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,-0.5559139784946225,0,0,28.265913978494623,1985_to_1990,0,0,1,0
28.37,-21.836,114.178,1985-02-13,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,0.1040860215053776,0,0,28.265913978494623,1985_to_1990,0,0,1,0
29.29,-21.836,114.178,1985-02-14,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,1.0240860215053758,1.3400006247311822,0.19142866067588318,28.265913978494623,1985_to_1990,1.0240860215053758,0.14629800307219654,1,0.14629800307219654
29.07,-21.836,114.178,1985-02-15,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,0.8040860215053769,1.1200006247311833,0.1600000892473119,28.265913978494623,1985_to_1990,0,0,1,0.14629800307219654
28.95,-21.836,114.178,1985-02-16,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,0.6840860215053759,1.0000006247311823,0.1428572321044546,28.265913978494623,1985_to_1990,0,0,1,0.14629800307219654
29.49,-21.836,114.178,1985-02-17,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,1.224086021505375,1.5400006247311815,0.22000008924731165,28.265913978494623,1985_to_1990,1.224086021505375,0.174869431643625,1,0.32116743471582154
29.63,-21.836,114.178,1985-02-18,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,1.3640860215053756,1.680000624731182,0.24000008924731173,28.265913978494623,1985_to_1990,1.3640860215053756,0.19486943164362508,1,0.5160368663594466
29.66,-21.836,114.178,1985-02-19,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,1.3940860215053767,1.7100006247311832,0.24428580353302617,28.265913978494623,1985_to_1990,1.3940860215053767,0.19915514592933953,1,0.7151920122887861
30.59,-21.836,114.178,1985-02-20,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,2.3240860215053765,2.640000624731183,0.377142946390169,28.265913978494623,1985_to_1990,2.3240860215053765,0.33201228878648237,1,1.0472043010752685
30.94,-21.836,114.178,1985-02-21,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,BUN05A,27.949999375268817,2019-01-01,2.674086021505378,2.9900006247311843,0.4271429463901692,28.265913978494623,1985_to_1990,2.674086021505378,0.3820122887864826,1,1.429216589861751
