sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,recenter_year,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
26.1,-21.87,114.156,1985-01-01,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.9023999408955419,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.02,-21.87,114.156,1985-01-02,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.9823999408955437,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.14,-21.87,114.156,1985-01-03,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.8623999408955427,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.64,-21.87,114.156,1985-01-04,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.3623999408955427,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.41,-21.87,114.156,1985-01-05,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.5923999408955432,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.34,-21.87,114.156,1985-01-06,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.6623999408955434,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.25,-21.87,114.156,1985-01-07,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.7523999408955433,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.24,-21.87,114.156,1985-01-08,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.7623999408955449,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.5,-21.87,114.156,1985-01-09,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.5023999408955433,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.8,-21.87,114.156,1985-01-10,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.2023999408955426,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.62,-21.87,114.156,1985-01-11,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.3823999408955423,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.4,-21.87,114.156,1985-01-12,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.6023999408955447,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
25.92,-21.87,114.156,1985-01-13,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-2.0823999408955416,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.48,-21.87,114.156,1985-01-14,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.5223999408955429,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.6,-21.87,114.156,1985-01-15,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.4023999408955419,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
26.27,-21.87,114.156,1985-01-16,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-1.7323999408955437,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
25.89,-21.87,114.156,1985-01-17,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-2.1123999408955427,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
25.67,-21.87,114.156,1985-01-18,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-2.3323999408955416,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
25.35,-21.87,114.156,1985-01-19,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-2.652399940895542,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
25.13,-21.87,114.156,1985-01-20,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-2.8723999408955443,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
24.97,-21.87,114.156,1985-01-21,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-3.0323999408955444,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
25.84,-21.87,114.156,1985-01-22,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-2.1623999408955434,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
25.81,-21.87,114.156,1985-01-23,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Bundegi (13BND),27.99999937415123,2019-01-01,-2.1923999408955446,0,0,28.002399940895543,1988.2857,1985_to_1993,0,0,1,0
