sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,recenter_year,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
27.25,-12.095,96.8805,1985-01-01,2021-06-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-1.3353808751096494,0,0,28.58538087510965,1988.2857,1985_to_1993,0,0,1,0
27.2,-12.095,96.8805,1985-01-02,2021-06-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-1.3853808751096501,0,0,28.58538087510965,1988.2857,1985_to_1993,0,0,1,0
27.18,-12.095,96.8805,1985-01-03,2021-06-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-1.4053808751096497,0,0,28.58538087510965,1988.2857,1985_to_1993,0,0,1,0
27.22,-12.095,96.8805,1985-01-04,2021-06-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-1.3653808751096506,0,0,28.58538087510965,1988.2857,1985_to_1993,0,0,1,0
27.27,-12.095,96.8805,1985-01-05,2021-06-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-1.3153808751096498,0,0,28.58538087510965,1988.2857,1985_to_1993,0,0,1,0
28.27,-12.095,96.8805,1985-01-06,2021-06-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.31538087510964985,0,0,28.58538087510965,1988.2857,1985_to_1993,0,0,1,0
27.95,-12.095,96.8805,1985-01-07,2021-06-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.6353808751096501,0,0,28.58538087510965,1988.2857,1985_to_1993,0,0,1,0
27.75,-12.095,96.8805,1985-01-08,2021-06-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.8353808751096494,0,0,28.58538087510965,1988.2857,1985_to_1993,0,0,1,0
27.98,-12.095,96.8805,1985-01-09,2021-06-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.605380875109649,0,0,28.58538087510965,1988.2857,1985_to_1993,0,0,1,0
27.98,-12.095,96.8805,1985-01-10,2021-06-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.605380875109649,0,0,28.58538087510965,1988.2857,1985_to_1993,0,0,1,0
27.9,-12.095,96.8805,1985-01-11,2021-06-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.6853808751096508,0,0,28.58538087510965,1988.2857,1985_to_1993,0,0,1,0
