sst,Latitude,Longitude,Date,end_date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,recenter_year,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
29.69,-13.9851,121.8769,1985-01-06,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,-0.03387331371213165,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.75,-13.9851,121.8769,1985-01-07,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.026126686287867074,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.66,-13.9851,121.8769,1985-01-08,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,-0.06387331371213278,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.73,-13.9851,121.8769,1985-01-09,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.0061266862878675,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
30.03,-13.9851,121.8769,1985-01-10,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.3061266862878682,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
30.2,-13.9851,121.8769,1985-01-11,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.47612668628786636,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.62,-13.9851,121.8769,1985-01-12,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,-0.10387331371213193,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.15,-13.9851,121.8769,1985-01-13,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,-0.5738733137121343,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.35,-13.9851,121.8769,1985-01-14,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,-0.3738733137121315,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.89,-13.9851,121.8769,1985-01-15,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.16612668628786764,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.91,-13.9851,121.8769,1985-01-16,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.18612668628786722,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.92,-13.9851,121.8769,1985-01-17,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,0.19612668628786878,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.67,-13.9851,121.8769,1985-01-18,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,-0.05387331371213122,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.09,-13.9851,121.8769,1985-01-19,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,-0.6338733137121331,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.13,-13.9851,121.8769,1985-01-20,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,-0.5938733137121339,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.16,-13.9851,121.8769,1985-01-21,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,-0.5638733137121328,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.27,-13.9851,121.8769,1985-01-22,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,-0.45387331371213335,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.38,-13.9851,121.8769,1985-01-23,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,-0.3438733137121339,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
29.19,-13.9851,121.8769,1985-01-24,2020-12-09,Scott Reef,SCOTTNR1,29.689999336376786,2019-01-01,-0.5338733137121316,0,0,29.723873313712133,1988.2857,1985_to_1993,0,0,1,0
