sst,Latitude,Longitude,Date,end_date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
29.7,-14.1884,121.799,1985-01-06,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.08314102564102654,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.78,-14.1884,121.799,1985-01-07,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.0031410256410246973,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.69,-14.1884,121.799,1985-01-08,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.09314102564102456,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.75,-14.1884,121.799,1985-01-09,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.033141025641025834,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.99,-14.1884,121.799,1985-01-10,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,0.2068589743589726,0,0,29.783141025641026,1985_to_1990,0,0,1,0
30.14,-14.1884,121.799,1985-01-11,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,0.35685897435897473,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.54,-14.1884,121.799,1985-01-12,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.2431410256410267,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.12,-14.1884,121.799,1985-01-13,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.6631410256410248,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.33,-14.1884,121.799,1985-01-14,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.45314102564102754,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.95,-14.1884,121.799,1985-01-15,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,0.16685897435897346,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.98,-14.1884,121.799,1985-01-16,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,0.1968589743589746,0,0,29.783141025641026,1985_to_1990,0,0,1,0
30,-14.1884,121.799,1985-01-17,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,0.21685897435897417,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.67,-14.1884,121.799,1985-01-18,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.11314102564102413,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.02,-14.1884,121.799,1985-01-19,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.7631410256410263,0,0,29.783141025641026,1985_to_1990,0,0,1,0
28.91,-14.1884,121.799,1985-01-20,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.8731410256410257,0,0,29.783141025641026,1985_to_1990,0,0,1,0
28.93,-14.1884,121.799,1985-01-21,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.8531410256410261,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.03,-14.1884,121.799,1985-01-22,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.7531410256410247,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.13,-14.1884,121.799,1985-01-23,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.6531410256410268,0,0,29.783141025641026,1985_to_1990,0,0,1,0
28.94,-14.1884,121.799,1985-01-24,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.8431410256410246,0,0,29.783141025641026,1985_to_1990,0,0,1,0
28.44,-14.1884,121.799,1985-01-25,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-1.3431410256410246,0,0,29.783141025641026,1985_to_1990,0,0,1,0
28.14,-14.1884,121.799,1985-01-26,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-1.6431410256410253,0,0,29.783141025641026,1985_to_1990,0,0,1,0
28.11,-14.1884,121.799,1985-01-27,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-1.6731410256410264,0,0,29.783141025641026,1985_to_1990,0,0,1,0
28.44,-14.1884,121.799,1985-01-28,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-1.3431410256410246,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.39,-14.1884,121.799,1985-01-29,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.39314102564102527,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.21,-14.1884,121.799,1985-01-30,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.573141025641025,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.18,-14.1884,121.799,1985-01-31,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.6031410256410261,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.26,-14.1884,121.799,1985-02-01,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.5231410256410243,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.2,-14.1884,121.799,1985-02-02,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.5831410256410265,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.09,-14.1884,121.799,1985-02-03,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.693141025641026,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.1,-14.1884,121.799,1985-02-04,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.6831410256410244,0,0,29.783141025641026,1985_to_1990,0,0,1,0
30.03,-14.1884,121.799,1985-02-05,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,0.2468589743589753,0,0,29.783141025641026,1985_to_1990,0,0,1,0
30.59,-14.1884,121.799,1985-02-06,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,0.806858974358974,0,0,29.783141025641026,1985_to_1990,0,0,1,0
30.65,-14.1884,121.799,1985-02-07,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,0.8668589743589727,0,0,29.783141025641026,1985_to_1990,0,0,1,0
30.55,-14.1884,121.799,1985-02-08,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,0.7668589743589749,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.92,-14.1884,121.799,1985-02-09,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,0.13685897435897587,0,0,29.783141025641026,1985_to_1990,0,0,1,0
29.76,-14.1884,121.799,1985-02-10,2021-06-06,Scott Reef,SCOTTSL2,29.70999933592975,2019-01-01,-0.02314102564102427,0,0,29.783141025641026,1985_to_1990,0,0,1,0
