sst,Latitude,Longitude,Date,end_date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
29.71,-14.0788,121.978,1985-01-06,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.06590984284532553,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.76,-14.0788,121.978,1985-01-07,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.015909842845324818,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.69,-14.0788,121.978,1985-01-08,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.0859098428453251,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.76,-14.0788,121.978,1985-01-09,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.015909842845324818,0,0,29.775909842845326,1985_to_1990,0,0,1,0
30.03,-14.0788,121.978,1985-01-10,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.25409015715467476,0,0,29.775909842845326,1985_to_1990,0,0,1,0
30.19,-14.0788,121.978,1985-01-11,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.4140901571546749,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.61,-14.0788,121.978,1985-01-12,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.16590984284532695,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.17,-14.0788,121.978,1985-01-13,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.6059098428453247,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.36,-14.0788,121.978,1985-01-14,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.41590984284532695,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.89,-14.0788,121.978,1985-01-15,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.11409015715467419,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.91,-14.0788,121.978,1985-01-16,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.13409015715467376,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.91,-14.0788,121.978,1985-01-17,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.13409015715467376,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.67,-14.0788,121.978,1985-01-18,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.10590984284532468,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.09,-14.0788,121.978,1985-01-19,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.6859098428453265,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.13,-14.0788,121.978,1985-01-20,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.6459098428453274,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.15,-14.0788,121.978,1985-01-21,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.6259098428453278,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.26,-14.0788,121.978,1985-01-22,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.5159098428453248,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.37,-14.0788,121.978,1985-01-23,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.4059098428453254,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.21,-14.0788,121.978,1985-01-24,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.5659098428453255,0,0,29.775909842845326,1985_to_1990,0,0,1,0
28.69,-14.0788,121.978,1985-01-25,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-1.085909842845325,0,0,29.775909842845326,1985_to_1990,0,0,1,0
28.37,-14.0788,121.978,1985-01-26,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-1.4059098428453254,0,0,29.775909842845326,1985_to_1990,0,0,1,0
28.31,-14.0788,121.978,1985-01-27,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-1.4659098428453277,0,0,29.775909842845326,1985_to_1990,0,0,1,0
28.61,-14.0788,121.978,1985-01-28,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-1.165909842845327,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.56,-14.0788,121.978,1985-01-29,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.21590984284532766,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.41,-14.0788,121.978,1985-01-30,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.36590984284532624,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.42,-14.0788,121.978,1985-01-31,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.3559098428453247,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.46,-14.0788,121.978,1985-02-01,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.31590984284532553,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.42,-14.0788,121.978,1985-02-02,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.3559098428453247,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.31,-14.0788,121.978,1985-02-03,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.46590984284532766,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.25,-14.0788,121.978,1985-02-04,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.5259098428453264,0,0,29.775909842845326,1985_to_1990,0,0,1,0
30.11,-14.0788,121.978,1985-02-05,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.33409015715467305,0,0,29.775909842845326,1985_to_1990,0,0,1,0
30.67,-14.0788,121.978,1985-02-06,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.8940901571546753,0,0,29.775909842845326,1985_to_1990,0,0,1,0
30.75,-14.0788,121.978,1985-02-07,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.9740901571546736,1.0700006633996964,0.15285723762852804,29.775909842845326,1985_to_1990,0,0,1,0
30.67,-14.0788,121.978,1985-02-08,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.8940901571546753,0,0,29.775909842845326,1985_to_1990,0,0,1,0
30.04,-14.0788,121.978,1985-02-09,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.26409015715467277,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.85,-14.0788,121.978,1985-02-10,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,0.07409015715467504,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.7,-14.0788,121.978,1985-02-11,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.07590984284532709,0,0,29.775909842845326,1985_to_1990,0,0,1,0
29.77,-14.0788,121.978,1985-02-12,2021-06-06,Scott Reef,SCOTTSS1,29.679999336600304,2019-01-01,-0.005909842845326807,0,0,29.775909842845326,1985_to_1990,0,0,1,0
