sst,Latitude,Longitude,Date,end_date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,mmm_from_sst,recenter_year,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,accum_DHW_12weeks
29.69,-13.6369,122.0267,1985-01-06,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.025101700192617926,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.75,-13.6369,122.0267,1985-01-07,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.034898299807380795,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.63,-13.6369,122.0267,1985-01-08,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.0851017001926202,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.67,-13.6369,122.0267,1985-01-09,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.0451017001926175,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
30.01,-13.6369,122.0267,1985-01-10,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.29489829980738236,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
30.19,-13.6369,122.0267,1985-01-11,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.4748982998073821,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.65,-13.6369,122.0267,1985-01-12,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.06510170019262063,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.12,-13.6369,122.0267,1985-01-13,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.5951017001926182,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.32,-13.6369,122.0267,1985-01-14,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.3951017001926189,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.77,-13.6369,122.0267,1985-01-15,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.05489829980738037,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.77,-13.6369,122.0267,1985-01-16,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.05489829980738037,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.77,-13.6369,122.0267,1985-01-17,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.05489829980738037,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.61,-13.6369,122.0267,1985-01-18,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.10510170019261977,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.08,-13.6369,122.0267,1985-01-19,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.6351017001926209,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.31,-13.6369,122.0267,1985-01-20,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.4051017001926205,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.38,-13.6369,122.0267,1985-01-21,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.3351017001926202,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.52,-13.6369,122.0267,1985-01-22,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.19510170019261963,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.64,-13.6369,122.0267,1985-01-23,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.07510170019261864,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.5,-13.6369,122.0267,1985-01-24,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.2151017001926192,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
28.9,-13.6369,122.0267,1985-01-25,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.8151017001926206,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
28.54,-13.6369,122.0267,1985-01-26,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-1.17510170019262,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
28.51,-13.6369,122.0267,1985-01-27,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-1.2051017001926176,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
28.82,-13.6369,122.0267,1985-01-28,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.8951017001926189,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.8,-13.6369,122.0267,1985-01-29,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.0848982998073815,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.67,-13.6369,122.0267,1985-01-30,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,-0.0451017001926175,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
29.74,-13.6369,122.0267,1985-01-31,2020-12-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.02489829980737923,0,0,29.71510170019262,1988.2857,1985_to_1993,0,0,1,0
