sst,Latitude,Longitude,Date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,year,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,DHW_value,dhw_threshold,accum_DHW_12weeks
29.69,-13.9238,121.915,1985-01-06,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.7475295698924747,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.74,-13.9238,121.915,1985-01-07,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.7975295698924718,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.65,-13.9238,121.915,1985-01-08,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.707529569892472,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.73,-13.9238,121.915,1985-01-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.7875295698924738,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
30.04,-13.9238,121.915,1985-01-10,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,1.0975295698924725,0,0,1990,28.942470430107527,1985_to_1990,1.0975295698924725,0.15678993855606752,1,0
30.22,-13.9238,121.915,1985-01-11,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,1.2775295698924722,0,0,1990,28.942470430107527,1985_to_1990,1.2775295698924722,0.18250422427035318,1,0
29.63,-13.9238,121.915,1985-01-12,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.6875295698924724,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.16,-13.9238,121.915,1985-01-13,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.21752956989247352,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.35,-13.9238,121.915,1985-01-14,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.4075295698924748,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.87,-13.9238,121.915,1985-01-15,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.9275295698924744,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.88,-13.9238,121.915,1985-01-16,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.9375295698924724,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.89,-13.9238,121.915,1985-01-17,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.9475295698924739,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.66,-13.9238,121.915,1985-01-18,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.7175295698924735,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.1,-13.9238,121.915,1985-01-19,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.1575295698924748,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.17,-13.9238,121.915,1985-01-20,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.22752956989247508,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.21,-13.9238,121.915,1985-01-21,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.26752956989247423,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.32,-13.9238,121.915,1985-01-22,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.37752956989247366,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.44,-13.9238,121.915,1985-01-23,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.49752956989247465,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.27,-13.9238,121.915,1985-01-24,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.32752956989247295,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
28.73,-13.9238,121.915,1985-01-25,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.2124704301075262,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
28.39,-13.9238,121.915,1985-01-26,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.5524704301075261,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
28.35,-13.9238,121.915,1985-01-27,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.5924704301075252,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
28.66,-13.9238,121.915,1985-01-28,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.2824704301075265,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.82,-13.9238,121.915,1985-01-29,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.8775295698924737,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.71,-13.9238,121.915,1985-01-30,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.7675295698924742,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.73,-13.9238,121.915,1985-01-31,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.7875295698924738,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.75,-13.9238,121.915,1985-02-01,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.8075295698924734,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.67,-13.9238,121.915,1985-02-02,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.7275295698924751,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.49,-13.9238,121.915,1985-02-03,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.5475295698924718,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.43,-13.9238,121.915,1985-02-04,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.4875295698924731,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
30.26,-13.9238,121.915,1985-02-05,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,1.317529569892475,0,0,1990,28.942470430107527,1985_to_1990,1.317529569892475,0.18821850998463927,1,0
30.77,-13.9238,121.915,1985-02-06,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,1.827529569892473,1.090000663399696,0.15571438048567085,1990,28.942470430107527,1985_to_1990,1.827529569892473,0.26107565284178186,1,0
30.82,-13.9238,121.915,1985-02-07,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,1.8775295698924737,1.1400006633996966,0.16285723762852808,1990,28.942470430107527,1985_to_1990,1.8775295698924737,0.2682185099846391,1,0
30.72,-13.9238,121.915,1985-02-08,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,1.7775295698924722,1.0400006633996952,0.1485715233428136,1990,28.942470430107527,1985_to_1990,1.7775295698924722,0.25393279569892463,1,0
30.1,-13.9238,121.915,1985-02-09,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,1.1575295698924748,0,0,1990,28.942470430107527,1985_to_1990,1.1575295698924748,0.1653613671274964,1,0
29.92,-13.9238,121.915,1985-02-10,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.9775295698924751,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.79,-13.9238,121.915,1985-02-11,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.8475295698924725,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.87,-13.9238,121.915,1985-02-12,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.9275295698924744,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.75,-13.9238,121.915,1985-02-13,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.8075295698924734,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.72,-13.9238,121.915,1985-02-14,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.7775295698924722,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.59,-13.9238,121.915,1985-02-15,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.6475295698924732,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.63,-13.9238,121.915,1985-02-16,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.6875295698924724,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.65,-13.9238,121.915,1985-02-17,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.707529569892472,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
29.89,-13.9238,121.915,1985-02-18,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,0.9475295698924739,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
30.07,-13.9238,121.915,1985-02-19,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,1.1275295698924737,0,0,1990,28.942470430107527,1985_to_1990,1.1275295698924737,0.16107565284178196,1,0
30.11,-13.9238,121.915,1985-02-20,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,1.1675295698924728,0,0,1990,28.942470430107527,1985_to_1990,1.1675295698924728,0.16678993855606755,1,0
29.95,-13.9238,121.915,1985-02-21,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,1.0075295698924727,0,0,1990,28.942470430107527,1985_to_1990,1.0075295698924727,0.14393279569892467,1,0
28.8,-13.9238,121.915,1985-02-22,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.14247043010752591,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
28.36,-13.9238,121.915,1985-02-23,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.5824704301075272,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
28.65,-13.9238,121.915,1985-02-24,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.29247043010752805,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
28.79,-13.9238,121.915,1985-02-25,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.15247043010752748,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
28.7,-13.9238,121.915,1985-02-26,Scott Reef,SCOTTSS2,29.679999336600304,2019-01-01,-0.24247043010752733,0,0,1990,28.942470430107527,1985_to_1990,0,0,1,0
