sst,Latitude,Longitude,Date,site,subsite,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,year,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,DHW_value,dhw_threshold,accum_DHW_12weeks
29.69,-13.6369,122.0267,1985-01-06,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.73222017409114315,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.75,-13.6369,122.0267,1985-01-07,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.7922201740911419,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.63,-13.6369,122.0267,1985-01-08,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.6722201740911409,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.67,-13.6369,122.0267,1985-01-09,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.7122201740911436,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
30.01,-13.6369,122.0267,1985-01-10,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,1.0522201740911434,0,0,1990,28.957779825908858,1985_to_1990,1.0522201740911434,0.15031716772730622,1,0
30.19,-13.6369,122.0267,1985-01-11,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,1.2322201740911432,0,0,1990,28.957779825908858,1985_to_1990,1.2322201740911432,0.17603145344159188,1,0
29.65,-13.6369,122.0267,1985-01-12,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.69222017409114045,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.12,-13.6369,122.0267,1985-01-13,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.16222017409114287,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.32,-13.6369,122.0267,1985-01-14,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.36222017409114216,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.77,-13.6369,122.0267,1985-01-15,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.8122201740911414,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.77,-13.6369,122.0267,1985-01-16,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.8122201740911414,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.77,-13.6369,122.0267,1985-01-17,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.8122201740911414,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.61,-13.6369,122.0267,1985-01-18,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.6522201740911413,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.08,-13.6369,122.0267,1985-01-19,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.12222017409114017,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.31,-13.6369,122.0267,1985-01-20,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.3522201740911406,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.38,-13.6369,122.0267,1985-01-21,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.4222201740911409,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.52,-13.6369,122.0267,1985-01-22,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.5622201740911414,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
29.64,-13.6369,122.0267,1985-01-23,Scott Reef,SCOTT_SS3,29.70999933592975,2019-01-01,0.6822201740911424,0,0,1990,28.957779825908858,1985_to_1990,0,0,1,0
