X1,parameter,site,site_id,subsite,subsite_id,series,series_id,lat,lon,depth,serial_num,from_date,thru_date,time,uncal_val,cal_val,qc_val,qc_flag,parameter_id,date,mean_SST
0,Water Temperature,Bundegi,2401,BUNDFL1,11975,BUNDFL1,11975,-21.8704,114.1572,3.7,SU-10040,2011-12-16,2012-12-01,2011-12-17T00:02:31Z,26.72,27.0848,27.0848,1,1,2011-12-17,27.0848
288,Water Temperature,Bundegi,2401,BUNDFL1,11975,BUNDFL1,11975,-21.8704,114.1572,3.7,SU-10040,2011-12-16,2012-12-01,2011-12-18T00:02:31Z,26.79,27.1579,27.1579,2,1,2011-12-18,27.1579
576,Water Temperature,Bundegi,2401,BUNDFL1,11975,BUNDFL1,11975,-21.8704,114.1572,3.7,SU-10040,2011-12-16,2012-12-01,2011-12-19T00:02:31Z,26.34,26.6884,26.6884,1,1,2011-12-19,26.6884
864,Water Temperature,Bundegi,2401,BUNDFL1,11975,BUNDFL1,11975,-21.8704,114.1572,3.7,SU-10040,2011-12-16,2012-12-01,2011-12-20T00:02:31Z,26.91,27.2831,27.2831,1,1,2011-12-20,27.2831
1152,Water Temperature,Bundegi,2401,BUNDFL1,11975,BUNDFL1,11975,-21.8704,114.1572,3.7,SU-10040,2011-12-16,2012-12-01,2011-12-21T00:02:31Z,26.81,27.1787,27.1787,1,1,2011-12-21,27.1787
1440,Water Temperature,Bundegi,2401,BUNDFL1,11975,BUNDFL1,11975,-21.8704,114.1572,3.7,SU-10040,2011-12-16,2012-12-01,2011-12-22T00:02:31Z,27.4,27.7943,27.7943,1,1,2011-12-22,27.7943
1728,Water Temperature,Bundegi,2401,BUNDFL1,11975,BUNDFL1,11975,-21.8704,114.1572,3.7,SU-10040,2011-12-16,2012-12-01,2011-12-23T00:02:31Z,27.6,28.003,28.003,1,1,2011-12-23,28.003
2016,Water Temperature,Bundegi,2401,BUNDFL1,11975,BUNDFL1,11975,-21.8704,114.1572,3.7,SU-10040,2011-12-16,2012-12-01,2011-12-24T00:02:31Z,27.93,28.3473,28.3473,1,1,2011-12-24,28.3473
2304,Water Temperature,Bundegi,2401,BUNDFL1,11975,BUNDFL1,11975,-21.8704,114.1572,3.7,SU-10040,2011-12-16,2012-12-01,2011-12-25T00:02:31Z,28.3,28.7333,28.7333,1,1,2011-12-25,28.7333
2592,Water Temperature,Bundegi,2401,BUNDFL1,11975,BUNDFL1,11975,-21.8704,114.1572,3.7,SU-10040,2011-12-16,2012-12-01,2011-12-26T00:02:31Z,27.81,28.2221,28.2221,1,1,2011-12-26,28.2221
