X1,parameter,site,site_id,subsite,subsite_id,series,series_id,lat,lon,depth,serial_num,from_date,thru_date,time,uncal_val,cal_val,qc_val,qc_flag,parameter_id,date,mean_SST
0,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048400,2012-04-11,2014-02-27,2012-04-12T05:00:00Z,22.968,23.0077,23.0077,1,1,2012-04-12,23.0077
76,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048400,2012-04-11,2014-02-27,2012-04-13T00:00:00Z,22.561,22.6028,22.6028,1,1,2012-04-13,22.6028
173,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-14T00:00:00Z,22.513,22.4955,22.4955,1,1,2012-04-14,22.4955
269,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-15T00:00:00Z,22.178,22.1617,22.1617,1,1,2012-04-15,22.1617
365,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-16T00:00:00Z,22.202,22.1856,22.1856,1,1,2012-04-16,22.1856
461,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-17T00:00:00Z,22.298,22.2813,22.2813,1,1,2012-04-17,22.2813
557,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-18T00:00:00Z,22.609,22.5912,22.5912,1,1,2012-04-18,22.5912
653,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-19T00:00:00Z,23.28,23.2598,23.2598,1,1,2012-04-19,23.2598
749,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-20T00:00:00Z,23.184,23.1642,23.1642,1,1,2012-04-20,23.1642
845,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-21T00:00:00Z,22.058,22.0421,22.0421,1,1,2012-04-21,22.0421
941,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-22T00:00:00Z,22.226,22.2095,22.2095,1,1,2012-04-22,22.2095
1037,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-23T00:00:00Z,21.533,21.5189,21.5189,1,1,2012-04-23,21.5189
1133,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-24T00:00:00Z,20.507,20.4965,20.4965,1,1,2012-04-24,20.4965
1229,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-25T00:00:00Z,20.293,20.2833,20.2833,1,1,2012-04-25,20.2833
1325,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-26T00:00:00Z,20.484,20.4736,20.4736,2,1,2012-04-26,20.4736
1421,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-27T00:00:00Z,21.557,21.5429,21.5429,1,1,2012-04-27,21.5429
1517,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-28T00:00:00Z,21.772,21.7571,21.7571,1,1,2012-04-28,21.7571
1613,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-29T00:00:00Z,21.963,21.9474,21.9474,1,1,2012-04-29,21.9474
1709,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-04-30T00:00:00Z,22.058,22.0421,22.0421,1,1,2012-04-30,22.0421
1805,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-05-01T00:00:00Z,21.413,21.3994,21.3994,1,1,2012-05-01,21.3994
1901,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-05-02T00:00:00Z,20.341,20.3311,20.3311,1,1,2012-05-02,20.3311
1997,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-05-03T00:00:00Z,21.413,21.3994,21.3994,1,1,2012-05-03,21.3994
2093,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-05-04T00:00:00Z,22.154,22.1378,22.1378,1,1,2012-05-04,22.1378
2189,Water Temperature,Nth Fishermans Is,2822,NTHFISHFL1,12637,NTHFISHFL1,12637,-30.1272,114.9957,NA,10048399,2012-04-11,2014-02-27,2012-05-05T00:00:00Z,21.987,21.9713,21.9713,1,1,2012-05-05,21.9713
